lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,vt_originations,states_with_originations,priority_match
549300TLGCPJTEG3WN76,,,,unmatched,3686,2737,2632,VT:2632;NH:43;MI:43;MA:19,medium
254900AX2RRO2WMRP742,,,,unmatched,1003,771,771,VT:771,medium
549300T2FOBK6WY4B349,,,,unmatched,1197,771,740,VT:740;NY:8;NH:8;FL:4;NC:2;MD:2;PA:1;MA:1;KY:1;NJ:1,medium
549300EMNDEK4BA8WB53,,,,unmatched,8399,6547,644,NH:806;FL:742;PA:717;NJ:658;VT:644;MA:523;GA:375;VA:364;NC:314;MD:228,high
549300I3PFIO81O8JD40,,,,unmatched,842,700,533,VT:533;NH:165;RI:1;ME:1,medium
254900JKWAH734HBIE78,,,,unmatched,1310,927,500,VT:500;NH:417;ME:9;MA:1,medium
549300DQMFK1KT7KEB48,,,,unmatched,734,631,458,VT:458;ME:68;MA:59;NH:38;CT:8,medium
5493005RDTT7HVODH436,,,,unmatched,7187,4913,402,NY:3851;PA:591;VT:402;MA:54;NH:13;FL:1;NJ:1,high
WWB2V0FCW3A0EE3ZJN75,,,,unmatched,40592,23443,352,NY:7073;MD:3115;PA:3099;CT:2398;MA:1690;NJ:1501;VA:901;DE:767;VT:352;FL:342,high
549300F0QYLUOR9SYB86,,,,unmatched,390,369,310,VT:310;NH:56;MA:3,low
549300OQ3UC55Y6EPP22,,,,unmatched,318,271,262,VT:262;NH:9,low
549300D7AV8NGI6N3S98,,,,unmatched,330,225,225,VT:225,low
5493006WZJUEUK1TVM53,,,,unmatched,208,165,165,VT:165,low
5493004R22HRZXTXSR64,,,,unmatched,156,116,116,VT:116,low
549300KO4HWF5JO6UV73,,,,unmatched,148,116,79,VT:79;NH:37,low
549300VR3QTN4GZYUR03,,,,unmatched,972,579,65,NH:282;ME:223;VT:65;MA:7;FL:2,medium
254900F9ZTVTX763V835,,,,unmatched,3196,2432,61,NJ:1831;FL:210;PA:148;VT:61;IN:53;NY:29;CA:19;NC:17;SC:14;CT:8,high
549300NIQBROW7MLXI19,,,,unmatched,58,58,58,VT:58,low
5493009BOQDC6PCFR785,,,,unmatched,4244,2740,57,NY:1922;PA:480;CT:113;MA:85;NH:74;VT:57;ME:7;FL:2,high
254900P7WLDQD9IUL038,,,,unmatched,3882,2074,36,NH:1321;MA:184;ME:126;FL:43;GA:41;VT:36;NC:32;CA:29;VA:25;WA:24,medium
549300CHBB3GN7JFXU86,,,,unmatched,655,474,33,MA:394;FL:35;VT:33;NH:4;RI:3;ME:2;CT:1;AL:1;TX:1,medium
