year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,VT,50001,,549300TLGCPJTEG3WN76,,170,122,7,19.06,168,0,2,0,0,120,0,2,0,0,national
2025,VT,50001,,254900AX2RRO2WMRP742,,168,121,28,18.91,168,0,0,0,0,121,0,0,0,0,national
2025,VT,50001,,5493004R22HRZXTXSR64,,112,83,6,12.97,110,0,0,2,0,83,0,0,0,0,national
2025,VT,50001,,5493005RDTT7HVODH436,,45,28,6,4.38,45,0,0,0,0,28,0,0,0,0,national
2025,VT,50001,,549300DQMFK1KT7KEB48,,27,26,0,4.06,26,0,1,0,0,25,0,1,0,0,national
2025,VT,50001,,549300FGXN1K3HLB1R50,,43,24,13,3.75,37,6,0,0,0,21,3,0,0,0,national
2025,VT,50001,,DRMSV1Q0EKMEXLAU1P80,,36,20,12,3.12,36,0,0,0,0,20,0,0,0,0,national
2025,VT,50001,,WWB2V0FCW3A0EE3ZJN75,,28,20,6,3.12,26,2,0,0,0,18,2,0,0,0,national
2025,VT,50001,,549300EMNDEK4BA8WB53,,22,19,1,2.97,20,2,0,0,0,17,2,0,0,0,national
2025,VT,50001,,549300GKFNPRWNS0GF29,,25,18,3,2.81,15,5,3,2,0,12,4,1,1,0,national
2025,VT,50001,,549300I3PFIO81O8JD40,,20,15,1,2.34,19,1,0,0,0,15,0,0,0,0,national
2025,VT,50001,,549300T2FOBK6WY4B349,,21,14,1,2.19,21,0,0,0,0,14,0,0,0,0,national
2025,VT,50001,,549300KO4HWF5JO6UV73,,12,9,1,1.41,12,0,0,0,0,9,0,0,0,0,national
2025,VT,50001,,254900JKWAH734HBIE78,,9,6,1,0.94,9,0,0,0,0,6,0,0,0,0,national
2025,VT,50001,,549300NIQBROW7MLXI19,,6,6,0,0.94,6,0,0,0,0,6,0,0,0,0,national
2025,VT,50001,,549300XQVJ1XBNFA5536,,12,6,3,0.94,12,0,0,0,0,6,0,0,0,0,national
2025,VT,50001,,RVDPPPGHCGZ40J4VQ731,,8,6,0,0.94,2,3,3,0,0,1,2,3,0,0,national
2025,VT,50001,,549300D7AV8NGI6N3S98,,13,5,1,0.78,13,0,0,0,0,5,0,0,0,0,national
2025,VT,50001,,549300DD5QQUHO6PCH70,,10,5,2,0.78,1,0,9,0,0,0,0,5,0,0,national
2025,VT,50001,,549300LBCBNR1OT00651,,6,5,1,0.78,2,2,2,0,0,2,2,1,0,0,national
2025,VT,50001,,549300LYRWPSYPK6S325,,13,5,1,0.78,2,5,6,0,0,1,2,2,0,0,national
2025,VT,50001,,549300S5NLOTO329NX77,,4,4,0,0.62,4,0,0,0,0,4,0,0,0,0,national
2025,VT,50001,,HUX2X73FUCYHUVH1BK78,,9,4,4,0.62,8,1,0,0,0,4,0,0,0,0,national
2025,VT,50001,,03D0JEWFDFUS0SEEKG89,,4,3,1,0.47,4,0,0,0,0,3,0,0,0,0,national
2025,VT,50001,,5493003GQDUH26DNNH17,,5,3,0,0.47,3,0,2,0,0,2,0,1,0,0,national
2025,VT,50001,,5493009BOQDC6PCFR785,,4,3,1,0.47,4,0,0,0,0,3,0,0,0,0,national
2025,VT,50001,,549300AQ3T62GXDU7D76,,3,3,0,0.47,2,1,0,0,0,2,1,0,0,0,national
2025,VT,50001,,549300E2UX99HKDBR481,,14,3,2,0.47,7,6,1,0,0,2,1,0,0,0,national
2025,VT,50001,,549300F0QYLUOR9SYB86,,3,3,0,0.47,3,0,0,0,0,3,0,0,0,0,national
2025,VT,50001,,549300FNXYY540N23N64,,14,3,7,0.47,10,4,0,0,0,1,2,0,0,0,national
2025,VT,50001,,549300MGPZBLQDIL7538,,4,3,0,0.47,2,2,0,0,0,1,2,0,0,0,national
2025,VT,50001,,549300XY701IELCE5Q08,,9,3,3,0.47,8,0,1,0,0,2,0,1,0,0,national
2025,VT,50001,,C5654JQHZUHN0772B561,,3,3,0,0.47,1,0,2,0,0,1,0,2,0,0,national
2025,VT,50001,,549300DD4R4SYK5RAQ92,,4,2,0,0.31,3,1,0,0,0,2,0,0,0,0,national
2025,VT,50001,,549300R9S3MVDV4MGF56,,3,2,1,0.31,1,2,0,0,0,1,1,0,0,0,national
2025,VT,50001,,549300YIQ7S7Z8PIHE53,,14,2,12,0.31,13,1,0,0,0,1,1,0,0,0,national
2025,VT,50001,,7H6GLXDRUGQFU57RNE97,,5,2,1,0.31,5,0,0,0,0,2,0,0,0,0,national
2025,VT,50001,,213800XR2TCBQJSF1X93,,1,1,0,0.16,1,0,0,0,0,1,0,0,0,0,national
2025,VT,50001,,2549004FXPNKCLIN8250,,2,1,1,0.16,2,0,0,0,0,1,0,0,0,0,national
