year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,VT,549300TLGCPJTEG3WN76,,3529,2632,50007:1213; 50023:350; 50011:312; 50021:126; 50001:122,2626,0,6,0,0,99.77,0.0,0.23,national
2025,VT,549300FGXN1K3HLB1R50,,1182,786,50021:120; 50007:109; 50027:96; 50023:88; 50011:80,593,134,59,0,0,75.45,17.05,7.51,national
2025,VT,254900AX2RRO2WMRP742,,1003,771,50007:305; 50011:176; 50001:121; 50023:38; 50015:36,771,0,0,0,0,100.0,0.0,0.0,national
2025,VT,549300T2FOBK6WY4B349,,1135,740,50019:151; 50007:141; 50023:128; 50005:104; 50015:72,740,0,0,0,0,100.0,0.0,0.0,national
2025,VT,549300EMNDEK4BA8WB53,,761,644,50007:177; 50027:138; 50021:63; 50023:56; 50011:44,538,67,38,1,0,83.54,10.4,5.9,national
2025,VT,549300I3PFIO81O8JD40,,641,533,50007:133; 50015:70; 50019:70; 50005:68; 50011:63,507,22,4,0,0,95.12,4.13,0.75,national
2025,VT,254900JKWAH734HBIE78,,717,500,50027:272; 50017:70; 50007:44; 50021:31; 50025:19,500,0,0,0,0,100.0,0.0,0.0,national
2025,VT,549300DQMFK1KT7KEB48,,525,458,50007:225; 50023:66; 50011:29; 50001:26; 50005:21,445,0,9,4,0,97.16,0.0,1.97,national
2025,VT,5493005RDTT7HVODH436,,607,402,50007:90; 50021:84; 50023:32; 50005:29; 50001:28,402,0,0,0,0,100.0,0.0,0.0,national
2025,VT,DRMSV1Q0EKMEXLAU1P80,,826,397,50007:115; 50027:62; 50021:47; 50003:29; 50023:27,394,3,0,0,0,99.24,0.76,0.0,national
2025,VT,WWB2V0FCW3A0EE3ZJN75,,617,352,50007:92; 50021:45; 50025:44; 50027:38; 50003:30,334,12,6,0,0,94.89,3.41,1.7,national
2025,VT,549300GKFNPRWNS0GF29,,453,318,50007:130; 50011:37; 50025:29; 50023:26; 50027:23,234,61,14,9,0,73.58,19.18,4.4,national
2025,VT,549300F0QYLUOR9SYB86,,328,310,50025:177; 50027:64; 50017:19; 50007:18; 50023:12,310,0,0,0,0,100.0,0.0,0.0,national
2025,VT,549300OQ3UC55Y6EPP22,,306,262,50019:114; 50005:43; 50023:35; 50015:17; 50017:12,260,0,2,0,0,99.24,0.0,0.76,national
2025,VT,549300D7AV8NGI6N3S98,,330,225,50023:101; 50007:59; 50017:27; 50015:9; 50027:7,223,0,2,0,0,99.11,0.0,0.89,national
