year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,WA,53001,,549300AQ3T62GXDU7D76,,47,33,3,12.27,25,20,2,0,0,16,16,1,0,0,national
2025,WA,53001,,549300TUSRLWD8ETNR90,,58,25,16,9.29,47,9,2,0,0,20,5,0,0,0,national
2025,WA,53001,,549300HW662MN1WU8550,,36,22,8,8.18,14,19,3,0,0,10,11,1,0,0,national
2025,WA,53001,,5493001B4U37VT2ML818,,32,20,8,7.43,32,0,0,0,0,20,0,0,0,0,national
2025,WA,53001,,IFQSIUC9AGQV2NE8CN25,,17,14,2,5.2,16,0,0,1,0,13,0,0,1,0,national
2025,WA,53001,,549300FGXN1K3HLB1R50,,23,13,7,4.83,20,3,0,0,0,11,2,0,0,0,national
2025,WA,53001,,549300X7KG2H84UCP685,,14,13,0,4.83,7,7,0,0,0,6,7,0,0,0,national
2025,WA,53001,,6BYL5QZYBDK8S7L73M02,,21,12,8,4.46,21,0,0,0,0,12,0,0,0,0,national
2025,WA,53001,,5493003T5D4N1CM46J77,,12,11,0,4.09,5,7,0,0,0,4,7,0,0,0,national
2025,WA,53001,,RVDPPPGHCGZ40J4VQ731,,15,6,3,2.23,7,8,0,0,0,4,2,0,0,0,national
2025,WA,53001,,549300AG64NHILB7ZP05,,9,5,2,1.86,5,4,0,0,0,4,1,0,0,0,national
2025,WA,53001,,549300DD5QQUHO6PCH70,,6,4,1,1.49,0,0,6,0,0,0,0,4,0,0,national
2025,WA,53001,,549300GKFNPRWNS0GF29,,5,4,0,1.49,4,0,0,1,0,3,0,0,1,0,national
2025,WA,53001,,549300LBCBNR1OT00651,,6,4,0,1.49,5,1,0,0,0,4,0,0,0,0,national
2025,WA,53001,,549300MGPZBLQDIL7538,,9,4,1,1.49,6,3,0,0,0,3,1,0,0,0,national
2025,WA,53001,,549300YIQ7S7Z8PIHE53,,14,4,9,1.49,6,5,3,0,0,1,2,1,0,0,national
2025,WA,53001,,549300FNXYY540N23N64,,5,3,0,1.12,3,2,0,0,0,2,1,0,0,0,national
2025,WA,53001,,549300N52O6FKUCU5G62,,10,3,5,1.12,9,1,0,0,0,3,0,0,0,0,national
2025,WA,53001,,549300P2GEYNMH5OQA71,,4,3,0,1.12,4,0,0,0,0,3,0,0,0,0,national
2025,WA,53001,,549300R77W0P105C3S50,,3,3,0,1.12,3,0,0,0,0,3,0,0,0,0,national
2025,WA,53001,,549300VCMRO4ST680C11,,6,3,0,1.12,0,3,3,0,0,0,1,2,0,0,national
2025,WA,53001,,2549004FXPNKCLIN8250,,3,2,0,0.74,1,2,0,0,0,1,1,0,0,0,national
2025,WA,53001,,254900TTZ395IC926125,,2,2,0,0.74,1,1,0,0,0,1,1,0,0,0,national
2025,WA,53001,,254900ZFWS2106HWPH46,,2,2,0,0.74,2,0,0,0,0,2,0,0,0,0,national
2025,WA,53001,,549300121SF0K2LN2804,,2,2,0,0.74,0,2,0,0,0,0,2,0,0,0,national
2025,WA,53001,,5493001PXRJMPLXPG540,,5,2,0,0.74,5,0,0,0,0,2,0,0,0,0,national
2025,WA,53001,,549300370QILXLFUWD20,,2,2,0,0.74,1,1,0,0,0,1,1,0,0,0,national
2025,WA,53001,,5493008VVXQIDO1EZ460,,4,2,0,0.74,2,2,0,0,0,1,1,0,0,0,national
2025,WA,53001,,54930097J3TUZXBXXE75,,8,2,5,0.74,8,0,0,0,0,2,0,0,0,0,national
2025,WA,53001,,549300KIOYNU323LVJ37,,2,2,0,0.74,0,1,0,1,0,0,1,0,1,0,national
2025,WA,53001,,549300MZ8VZJOVC63092,,2,2,0,0.74,2,0,0,0,0,2,0,0,0,0,national
2025,WA,53001,,549300NN0PRX3I4QGG46,,2,2,0,0.74,0,0,2,0,0,0,0,2,0,0,national
2025,WA,53001,,549300VZVN841I2ILS84,,2,2,0,0.74,0,1,1,0,0,0,1,1,0,0,national
2025,WA,53001,,549300YN94MOAVYW0F52,,4,2,0,0.74,3,0,1,0,0,1,0,1,0,0,national
2025,WA,53001,,7H6GLXDRUGQFU57RNE97,,3,2,0,0.74,3,0,0,0,0,2,0,0,0,0,national
2025,WA,53001,,KB1H1DSPRFMYMCUFXT09,,2,2,0,0.74,2,0,0,0,0,2,0,0,0,0,national
2025,WA,53001,,WE0I402RW25AU38DTI13,,2,2,0,0.74,2,0,0,0,0,2,0,0,0,0,national
2025,WA,53001,,2549005K0ZG1MFV3R260,,1,1,0,0.37,1,0,0,0,0,1,0,0,0,0,national
2025,WA,53001,,254900DTLHVWQ7NP7R34,,1,1,0,0.37,1,0,0,0,0,1,0,0,0,0,national
2025,WA,53001,,254900HO9WPE4LTLQU96,,1,1,0,0.37,0,1,0,0,0,0,1,0,0,0,national
2025,WA,53001,,254900UL88QFG0E40516,,3,1,1,0.37,3,0,0,0,0,1,0,0,0,0,national
2025,WA,53001,,5493000FWM3I2HHQY149,,5,1,1,0.37,4,1,0,0,0,1,0,0,0,0,national
