year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,WI,254900NTAC4H10MGSU23,,15725,11322,55025:4044; 55133:1298; 55079:1119; 55021:649; 55105:579,11322,0,0,0,0,100.0,0.0,0.0,national
2025,WI,254900CN1DD55MJDFH69,,11792,8766,55025:4065; 55079:1574; 55133:805; 55105:288; 55021:212,8739,18,9,0,0,99.69,0.21,0.1,national
2025,WI,549300KY533JFETOYG46,,9393,6662,55079:2165; 55133:2085; 55131:644; 55101:510; 55027:295,6662,0,0,0,0,100.0,0.0,0.0,national
2025,WI,549300FGXN1K3HLB1R50,,7901,5736,55079:773; 55133:380; 55025:277; 55101:244; 55105:223,4302,1000,434,0,0,75.0,17.43,7.57,national
2025,WI,ZF85QS7OXKPBG52R7N18,,7451,4974,55079:554; 55009:542; 55133:410; 55025:208; 55087:169,4857,82,34,1,0,97.65,1.65,0.68,national
2025,WI,254900CIEUZUO7CHPG88,,4565,3632,55073:989; 55115:424; 55067:398; 55097:236; 55085:205,3631,0,0,1,0,99.97,0.0,0.0,national
2025,WI,254900Q5026VQBAVI394,,4368,3509,55087:1085; 55139:809; 55009:537; 55135:275; 55015:258,3509,0,0,0,0,100.0,0.0,0.0,national
2025,WI,549300FS35FQXZRU4Z45,,4975,3267,55079:1094; 55101:995; 55059:399; 55133:305; 55127:116,3258,0,9,0,0,99.72,0.0,0.28,national
2025,WI,549300HW662MN1WU8550,,4421,3258,55079:564; 55009:318; 55133:264; 55087:170; 55139:129,1911,583,755,9,0,58.66,17.89,23.17,national
2025,WI,IWRZQFYIRJ0IMURZBB68,,3702,3047,55079:361; 55105:344; 55101:325; 55133:285; 55059:251,3030,0,17,0,0,99.44,0.0,0.56,national
2025,WI,3Y4U8VZURTYWI1W2K376,,5202,2970,55079:526; 55133:293; 55025:226; 55131:153; 55089:129,2929,39,2,0,0,98.62,1.31,0.07,national
2025,WI,549300MGPZBLQDIL7538,,3878,2947,55079:533; 55025:388; 55133:370; 55101:145; 55131:113,2426,357,158,6,0,82.32,12.11,5.36,national
2025,WI,549300OZ550X4QD5PC74,,3788,2893,55035:891; 55017:499; 55109:257; 55095:243; 55033:206,2832,36,17,8,0,97.89,1.24,0.59,national
2025,WI,6BYL5QZYBDK8S7L73M02,,4709,2785,55133:273; 55079:248; 55025:178; 55097:136; 55117:125,2639,72,67,7,0,94.76,2.59,2.41,national
2025,WI,549300FUMS21JPQM1N03,,3034,2436,55009:759; 55087:651; 55139:248; 55135:160; 55071:150,2436,0,0,0,0,100.0,0.0,0.0,national
2025,WI,38CFVD4YYFWD1FV7IM34,,2608,2279,55009:472; 55029:264; 55087:221; 55073:183; 55139:163,2279,0,0,0,0,100.0,0.0,0.0,national
2025,WI,549300AQ3T62GXDU7D76,,2877,2260,55079:261; 55025:236; 55105:228; 55133:205; 55039:106,1650,434,117,59,0,73.01,19.2,5.18,national
2025,WI,549300VEZ43KYEWR3610,,2724,2012,55009:827; 55087:384; 55083:134; 55139:130; 55029:114,2004,0,8,0,0,99.6,0.0,0.4,national
2025,WI,549300BRLQAIJ1LJA253,,2184,1810,55117:272; 55071:253; 55009:160; 55081:132; 55039:129,1796,0,14,0,0,99.23,0.0,0.77,national
2025,WI,549300DD5QQUHO6PCH70,,3213,1743,55079:169; 55105:91; 55009:73; 55059:70; 55139:67,114,75,1553,1,0,6.54,4.3,89.1,national
2025,WI,549300A0SVCQJPHVGV20,,1747,1466,55063:1029; 55123:87; 55081:84; 55121:82; 55053:22,1449,4,13,0,0,98.84,0.27,0.89,national
2025,WI,254900X6OAHFW6BUT219,,1967,1374,55109:317; 55033:197; 55093:163; 55035:162; 55005:161,1371,0,0,3,0,99.78,0.0,0.0,national
2025,WI,7H6GLXDRUGQFU57RNE97,,2051,1346,55079:318; 55133:176; 55025:115; 55059:102; 55101:88,1287,39,20,0,0,95.62,2.9,1.49,national
2025,WI,549300FNXYY540N23N64,,2776,1295,55079:247; 55133:246; 55025:90; 55131:81; 55101:60,973,125,195,2,0,75.14,9.65,15.06,national
2025,WI,RVDPPPGHCGZ40J4VQ731,,2298,1253,55079:191; 55133:135; 55101:47; 55025:47; 55105:39,603,384,261,5,0,48.12,30.65,20.83,national
2025,WI,254900DTLB5WWMBJAD86,,1584,1245,55079:304; 55133:241; 55101:99; 55059:94; 55131:94,1119,74,52,0,0,89.88,5.94,4.18,national
2025,WI,549300T9P3WXNMXX0I34,,1676,1245,55079:388; 55133:199; 55141:60; 55073:45; 55025:44,944,187,48,66,0,75.82,15.02,3.86,national
