year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,WV,54001,,549300FGXN1K3HLB1R50,,26,19,4,18.1,13,8,5,0,0,11,6,2,0,0,national
2025,WV,54001,,549300DD4R4SYK5RAQ92,,24,15,1,14.29,6,11,2,5,0,2,8,2,3,0,national
2025,WV,54001,,2WHM8VNJH63UN14OL754,,14,6,5,5.71,10,2,2,0,0,3,1,2,0,0,national
2025,WV,54001,,549300AG64NHILB7ZP05,,12,6,6,5.71,3,4,4,1,0,1,1,3,1,0,national
2025,WV,54001,,549300HW662MN1WU8550,,9,4,1,3.81,2,3,4,0,0,2,1,1,0,0,national
2025,WV,54001,,549300OVA1LT74LITG21,,4,4,0,3.81,4,0,0,0,0,4,0,0,0,0,national
2025,WV,54001,,5493007TJ86W1ZK4LZ15,,6,3,1,2.86,6,0,0,0,0,3,0,0,0,0,national
2025,WV,54001,,549300DD5QQUHO6PCH70,,11,3,2,2.86,2,1,8,0,0,0,1,2,0,0,national
2025,WV,54001,,549300U3721PJGQZYY68,,5,3,1,2.86,1,4,0,0,0,0,3,0,0,0,national
2025,WV,54001,,QGPGHQ1ENZOOLJRFTH41,,4,3,1,2.86,4,0,0,0,0,3,0,0,0,0,national
2025,WV,54001,,5493000YNV8IX4VD3X12,,55,2,23,1.9,55,0,0,0,0,2,0,0,0,0,national
2025,WV,54001,,549300E2UX99HKDBR481,,9,2,0,1.9,2,6,0,1,0,1,0,0,1,0,national
2025,WV,54001,,549300FNXYY540N23N64,,3,2,1,1.9,2,0,0,1,0,2,0,0,0,0,national
2025,WV,54001,,549300PJ2WT35S77Q208,,2,2,0,1.9,0,0,0,2,0,0,0,0,2,0,national
2025,WV,54001,,I70W3N0Z6KOX8FYIH023,,8,2,6,1.9,8,0,0,0,0,2,0,0,0,0,national
2025,WV,54001,,RVDPPPGHCGZ40J4VQ731,,4,2,0,1.9,0,3,1,0,0,0,2,0,0,0,national
2025,WV,54001,,213800QUAI2VH5YM6310,,1,1,0,0.95,0,0,1,0,0,0,0,1,0,0,national
2025,WV,54001,,54930021WPEXNHYZUL09,,1,1,0,0.95,0,0,1,0,0,0,0,1,0,0,national
2025,WV,54001,,5493002RKLPCGAVLNC16,,2,1,0,0.95,2,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,549300370QILXLFUWD20,,1,1,0,0.95,1,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,5493008NWHQT1R22C024,,1,1,0,0.95,0,0,1,0,0,0,0,1,0,0,national
2025,WV,54001,,549300BM4NS8HDJT3X28,,1,1,0,0.95,1,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,549300G54QPXQLB4KN58,,1,1,0,0.95,1,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,549300K4ZLGS7SRDTL86,,5,1,1,0.95,0,1,4,0,0,0,0,1,0,0,national
2025,WV,54001,,549300KJZ82173UB3I21,,4,1,1,0.95,4,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,549300LBCBNR1OT00651,,2,1,1,0.95,1,0,1,0,0,0,0,1,0,0,national
2025,WV,54001,,549300LYRWPSYPK6S325,,2,1,0,0.95,0,0,2,0,0,0,0,1,0,0,national
2025,WV,54001,,549300MKOZ81ZWTNKB12,,1,1,0,0.95,1,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,549300NOCASXPA34X033,,1,1,0,0.95,1,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,549300SLZFPDLWNB0O94,,1,1,0,0.95,1,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,549300T82SC9BPCIU410,,2,1,0,0.95,2,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,549300VCMRO4ST680C11,,2,1,1,0.95,0,0,2,0,0,0,0,1,0,0,national
2025,WV,54001,,549300XQVJ1XBNFA5536,,6,1,3,0.95,6,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,549300YIQ7S7Z8PIHE53,,7,1,6,0.95,2,4,1,0,0,0,1,0,0,0,national
2025,WV,54001,,549300YNUT7D0FWKU636,,1,1,0,0.95,1,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,549300ZOW5Z4AZ36M223,,2,1,0,0.95,2,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,6BYL5QZYBDK8S7L73M02,,2,1,1,0.95,1,1,0,0,0,0,1,0,0,0,national
2025,WV,54001,,7H6GLXDRUGQFU57RNE97,,1,1,0,0.95,1,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,AD6GFRVSDT01YPT1CS68,,2,1,1,0.95,2,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,C398JSK21YCXWM603F55,,1,1,0,0.95,1,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,C5654JQHZUHN0772B561,,2,1,0,0.95,0,0,2,0,0,0,0,1,0,0,national
2025,WV,54001,,JJKC32MCHWDI71265Z06,,3,1,1,0.95,2,1,0,0,0,1,0,0,0,0,national
2025,WV,54001,,KB1H1DSPRFMYMCUFXT09,,1,1,0,0.95,1,0,0,0,0,1,0,0,0,0,national
2025,WV,54001,,549300FFVDRROF85IC57,,13,0,9,0.0,13,0,0,0,0,0,0,0,0,0,national
2025,WV,54003,,549300BTTR873E71L054,,416,342,16,7.79,151,178,55,32,0,119,151,45,27,0,national
2025,WV,54003,,549300FGXN1K3HLB1R50,,448,337,62,7.67,329,72,47,0,0,256,46,35,0,0,national
2025,WV,54003,,549300VZVN841I2ILS84,,353,248,8,5.65,150,125,52,26,0,104,92,32,20,0,national
2025,WV,54003,,549300KJZ82173UB3I21,,310,208,72,4.74,310,0,0,0,0,208,0,0,0,0,national
2025,WV,54003,,5493003GQDUH26DNNH17,,337,189,59,4.3,285,0,52,0,0,155,0,34,0,0,national
2025,WV,54003,,549300HW662MN1WU8550,,203,151,27,3.44,68,68,64,3,0,53,45,51,2,0,national
2025,WV,54003,,RVDPPPGHCGZ40J4VQ731,,249,127,43,2.89,102,80,67,0,0,52,33,42,0,0,national
2025,WV,54003,,549300H3IZO24NSOO931,,139,115,9,2.62,104,20,12,3,0,89,14,9,3,0,national
2025,WV,54003,,549300KBWX4NV5Q1E376,,146,109,22,2.48,54,59,25,8,0,41,45,18,5,0,national
2025,WV,54003,,54930095UWUUXAWASB02,,129,107,3,2.44,71,36,19,3,0,57,31,16,3,0,national
2025,WV,54003,,549300AG64NHILB7ZP05,,180,93,51,2.12,88,70,18,4,0,53,30,8,2,0,national
2025,WV,54003,,549300LYRWPSYPK6S325,,202,93,21,2.12,22,107,73,0,0,6,47,40,0,0,national
2025,WV,54003,,549300KIOYNU323LVJ37,,104,85,5,1.94,51,38,9,6,0,42,29,8,6,0,national
2025,WV,54003,,JJKC32MCHWDI71265Z06,,179,81,79,1.84,173,4,2,0,0,77,2,2,0,0,national
2025,WV,54003,,549300121SF0K2LN2804,,103,80,3,1.82,47,39,10,7,0,35,32,7,6,0,national
2025,WV,54003,,549300DD5QQUHO6PCH70,,165,78,36,1.78,5,4,155,1,0,3,1,73,1,0,national
2025,WV,54003,,5493004HRO0EREBVYM82,,107,77,12,1.75,107,0,0,0,0,77,0,0,0,0,national
2025,WV,54003,,549300XFPZ54Y2QPYR56,,109,72,5,1.64,52,41,15,1,0,30,29,13,0,0,national
2025,WV,54003,,5493004N9PMBSLEZOF16,,95,67,6,1.53,50,28,16,1,0,34,19,13,1,0,national
2025,WV,54003,,254900EDYO1UYWLWP146,,79,64,9,1.46,77,0,1,1,0,62,0,1,1,0,national
2025,WV,54003,,549300FNXYY540N23N64,,120,56,17,1.28,62,34,22,2,0,30,15,10,1,0,national
2025,WV,54003,,549300LBCBNR1OT00651,,68,53,5,1.21,57,6,5,0,0,45,4,4,0,0,national
2025,WV,54003,,549300EM8ID8J7F8OM55,,54,42,2,0.96,22,27,2,3,0,13,25,2,2,0,national
2025,WV,54003,,549300RPOGWJRH63HS39,,49,42,2,0.96,14,22,8,5,0,13,19,7,3,0,national
2025,WV,54003,,549300MKOZ81ZWTNKB12,,67,40,15,0.91,62,2,1,2,0,37,1,0,2,0,national
2025,WV,54003,,549300IWSSP83SNIPE63,,64,38,22,0.87,64,0,0,0,0,38,0,0,0,0,national
2025,WV,54003,,549300ODM8A5T4RHPY32,,53,35,6,0.8,52,1,0,0,0,35,0,0,0,0,national
2025,WV,54003,,549300BM4NS8HDJT3X28,,42,34,2,0.77,28,12,1,1,0,23,9,1,1,0,national
2025,WV,54003,,549300YIQ7S7Z8PIHE53,,102,34,62,0.77,67,26,9,0,0,28,5,1,0,0,national
2025,WV,54003,,213800QUAI2VH5YM6310,,40,32,2,0.73,16,17,7,0,0,14,11,7,0,0,national
2025,WV,54003,,549300AQ3T62GXDU7D76,,46,31,4,0.71,28,10,2,6,0,17,8,1,5,0,national
2025,WV,54003,,549300R9S3MVDV4MGF56,,76,31,32,0.71,32,33,11,0,0,16,13,2,0,0,national
2025,WV,54003,,549300XQVJ1XBNFA5536,,191,30,100,0.68,191,0,0,0,0,30,0,0,0,0,national
2025,WV,54003,,5493008E3WZYM5146L29,,35,29,2,0.66,35,0,0,0,0,29,0,0,0,0,national
2025,WV,54003,,549300VCMRO4ST680C11,,51,28,4,0.64,0,15,36,0,0,0,7,21,0,0,national
2025,WV,54003,,AD6GFRVSDT01YPT1CS68,,56,28,14,0.64,54,1,1,0,0,27,1,0,0,0,national
2025,WV,54003,,WWB2V0FCW3A0EE3ZJN75,,41,28,11,0.64,39,2,0,0,0,26,2,0,0,0,national
2025,WV,54003,,549300NOCASXPA34X033,,63,27,24,0.61,32,23,8,0,0,14,9,4,0,0,national
2025,WV,54003,,549300E2UX99HKDBR481,,84,26,8,0.59,25,49,9,1,0,9,13,4,0,0,national
2025,WV,54003,,54930021WPEXNHYZUL09,,35,25,6,0.57,9,13,13,0,0,5,11,9,0,0,national
2025,WV,54003,,5493005PKOSG7MYX0B34,,37,25,1,0.57,17,4,15,1,0,10,3,11,1,0,national
2025,WV,54003,,549300MCIFZSDHUT8X63,,30,24,0,0.55,9,14,7,0,0,7,11,6,0,0,national
2025,WV,54003,,254900NZCGMT6517BA94,,35,21,6,0.48,35,0,0,0,0,21,0,0,0,0,national
2025,WV,54003,,5493001SXWZ4OFP8Z903,,29,21,2,0.48,11,8,9,1,0,10,6,4,1,0,national
2025,WV,54003,,549300GKFNPRWNS0GF29,,21,17,0,0.39,12,3,5,1,0,10,2,4,1,0,national
2025,WV,54003,,549300AY1W8F91VLTB05,,27,16,7,0.36,26,1,0,0,0,15,1,0,0,0,national
2025,WV,54003,,549300BX448ALT10FI43,,28,16,0,0.36,2,3,23,0,0,1,2,13,0,0,national
2025,WV,54003,,549300RN01LBYR8ZVX74,,28,16,5,0.36,10,14,4,0,0,9,6,1,0,0,national
2025,WV,54003,,549300CB67L6KPJLHE19,,63,15,36,0.34,63,0,0,0,0,15,0,0,0,0,national
2025,WV,54003,,549300FX7K8PTEQUU487,,27,15,6,0.34,18,4,5,0,0,9,2,4,0,0,national
2025,WV,54003,,549300XWUSRVVOHPRY47,,24,15,1,0.34,10,10,2,2,0,5,7,1,2,0,national
2025,WV,54003,,B4TYDEB6GKMZO031MB27,,51,15,24,0.34,51,0,0,0,0,15,0,0,0,0,national
2025,WV,54003,,254900UL88QFG0E40516,,27,14,5,0.32,27,0,0,0,0,14,0,0,0,0,national
2025,WV,54003,,549300GRGZDEH4ZGQS06,,21,14,0,0.32,10,7,3,1,0,5,5,3,1,0,national
2025,WV,54003,,DZC62HF6UIZYJ08V1J90,,16,14,2,0.32,9,4,3,0,0,7,4,3,0,0,national
2025,WV,54003,,KB1H1DSPRFMYMCUFXT09,,26,14,6,0.32,24,1,1,0,0,13,1,0,0,0,national
2025,WV,54003,,254900ZFWS2106HWPH46,,18,13,0,0.3,4,11,2,1,0,1,9,2,1,0,national
2025,WV,54003,,549300GPO6DWUZR4UY30,,16,13,0,0.3,8,7,1,0,0,6,6,1,0,0,national
2025,WV,54003,,549300GTVXJ2PGXNLM73,,13,13,0,0.3,6,4,1,2,0,6,4,1,2,0,national
2025,WV,54003,,6BYL5QZYBDK8S7L73M02,,30,13,12,0.3,28,1,1,0,0,12,1,0,0,0,national
2025,WV,54003,,254900DTLHVWQ7NP7R34,,14,12,0,0.27,13,0,1,0,0,11,0,1,0,0,national
2025,WV,54003,,5493001GCBD5XGNIC815,,23,12,1,0.27,23,0,0,0,0,12,0,0,0,0,national
2025,WV,54003,,5493004AS1SPBQOFDR49,,16,12,1,0.27,16,0,0,0,0,12,0,0,0,0,national
2025,WV,54003,,549300FFVDRROF85IC57,,53,12,38,0.27,53,0,0,0,0,12,0,0,0,0,national
2025,WV,54003,,549300OS8C7J7ZWMNL70,,20,12,3,0.27,20,0,0,0,0,12,0,0,0,0,national
2025,WV,54003,,549300U3721PJGQZYY68,,29,12,2,0.27,13,7,8,1,0,6,4,2,0,0,national
2025,WV,54003,,X05BVSK68TQ7YTOSNR22,,49,12,18,0.27,49,0,0,0,0,12,0,0,0,0,national
2025,WV,54003,,5493002Z2Z7DV758IU60,,13,11,1,0.25,12,0,1,0,0,10,0,1,0,0,national
2025,WV,54003,,549300370QILXLFUWD20,,14,11,0,0.25,8,5,1,0,0,6,4,1,0,0,national
2025,WV,54003,,549300IPUHFA5O769M51,,12,11,0,0.25,3,9,0,0,0,3,8,0,0,0,national
