year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,WY,56021,,5398,3333,739,13.69,2714,1772,912,50.28,32.83,3436,765,1194,3,0,63.65,14.17,22.12,2089,509,734,1,0,62.68,15.27,22.02,national
2025,WY,56025,,3573,2332,503,14.08,1933,1025,615,54.1,28.69,2387,745,435,6,0,66.81,20.85,12.17,1542,513,272,5,0,66.12,22.0,11.66,national
2025,WY,56005,,1554,920,254,16.34,741,586,227,47.68,37.71,853,449,217,35,0,54.89,28.89,13.96,514,259,121,26,0,55.87,28.15,13.15,national
2025,WY,56037,,1249,786,199,15.93,598,441,210,47.88,35.31,752,320,131,46,0,60.21,25.62,10.49,441,227,82,36,0,56.11,28.88,10.43,national
2025,WY,56001,,1134,778,140,12.35,587,308,239,51.76,27.16,903,108,123,0,0,79.63,9.52,10.85,624,74,80,0,0,80.21,9.51,10.28,national
2025,WY,56033,,1122,699,162,14.44,518,378,226,46.17,33.69,809,133,173,7,0,72.1,11.85,15.42,519,80,95,5,0,74.25,11.44,13.59,national
2025,WY,56029,,1005,637,137,13.63,510,328,167,50.75,32.64,742,128,125,10,0,73.83,12.74,12.44,477,76,77,7,0,74.88,11.93,12.09,national
2025,WY,56013,,1006,555,192,19.09,434,396,176,43.14,39.36,683,186,132,5,0,67.89,18.49,13.12,380,98,72,5,0,68.47,17.66,12.97,national
2025,WY,56023,,934,537,178,19.06,417,360,157,44.65,38.54,721,144,66,3,0,77.19,15.42,7.07,409,82,44,2,0,76.16,15.27,8.19,national
2025,WY,56041,,761,416,163,21.42,372,237,152,48.88,31.14,512,178,57,14,0,67.28,23.39,7.49,266,110,30,10,0,63.94,26.44,7.21,national
2025,WY,56039,,652,364,111,17.02,287,192,173,44.02,29.45,640,6,6,0,0,98.16,0.92,0.92,359,2,3,0,0,98.63,0.55,0.82,national
2025,WY,56007,,532,276,107,20.11,249,186,97,46.8,34.96,327,111,76,18,0,61.47,20.86,14.29,163,60,40,13,0,59.06,21.74,14.49,national
2025,WY,56035,,429,267,66,15.38,159,190,80,37.06,44.29,320,62,45,2,0,74.59,14.45,10.49,194,44,28,1,0,72.66,16.48,10.49,national
2025,WY,56009,,397,247,55,13.85,183,143,71,46.1,36.02,237,99,54,7,0,59.7,24.94,13.6,155,58,29,5,0,62.75,23.48,11.74,national
2025,WY,56031,,344,209,58,16.86,161,140,43,46.8,40.7,221,47,71,5,0,64.24,13.66,20.64,138,27,41,3,0,66.03,12.92,19.62,national
2025,WY,56015,,391,207,74,18.93,169,165,57,43.22,42.2,246,66,74,5,0,62.92,16.88,18.93,140,32,31,4,0,67.63,15.46,14.98,national
2025,WY,56003,,289,164,44,15.22,122,119,48,42.21,41.18,177,40,64,8,0,61.25,13.84,22.15,110,21,27,6,0,67.07,12.8,16.46,national
2025,WY,56019,,248,151,43,17.34,115,87,46,46.37,35.08,186,29,33,0,0,75.0,11.69,13.31,115,16,20,0,0,76.16,10.6,13.25,national
2025,WY,56011,,220,123,37,16.82,91,101,28,41.36,45.91,136,43,39,2,0,61.82,19.55,17.73,79,21,22,1,0,64.23,17.07,17.89,national
2025,WY,56043,,184,114,26,14.13,91,69,24,49.46,37.5,116,33,29,6,0,63.04,17.93,15.76,75,15,18,6,0,65.79,13.16,15.79,national
2025,WY,56045,,191,102,29,15.18,91,81,19,47.64,42.41,105,45,37,4,0,54.97,23.56,19.37,58,20,20,4,0,56.86,19.61,19.61,national
2025,WY,56017,,118,69,18,15.25,50,49,19,42.37,41.53,88,11,17,2,0,74.58,9.32,14.41,55,4,8,2,0,79.71,5.8,11.59,national
2025,WY,56027,,52,25,16,30.77,23,15,14,44.23,28.85,34,10,6,2,0,65.38,19.23,11.54,15,7,3,0,0,60.0,28.0,12.0,national
