year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,WY,56001,,549300J5YB46ZKVUNF26,,195,156,18,20.05,195,0,0,0,0,156,0,0,0,0,national
2025,WY,56001,,549300R5DOGZK0VWYL76,,135,131,1,16.84,97,27,11,0,0,94,26,11,0,0,national
2025,WY,56001,,549300FGXN1K3HLB1R50,,102,86,10,11.05,82,8,12,0,0,69,7,10,0,0,national
2025,WY,56001,,549300MGPZBLQDIL7538,,94,77,2,9.9,69,13,12,0,0,56,11,10,0,0,national
2025,WY,56001,,549300RPOGWJRH63HS39,,47,42,0,5.4,38,7,2,0,0,33,7,2,0,0,national
2025,WY,56001,,549300UHQ3UXVA4AGM53,,40,27,4,3.47,40,0,0,0,0,27,0,0,0,0,national
2025,WY,56001,,25490090KXNIT4RLYQ17,,20,16,0,2.06,20,0,0,0,0,16,0,0,0,0,national
2025,WY,56001,,549300RFSMIRUODUVW59,,25,15,4,1.93,25,0,0,0,0,15,0,0,0,0,national
2025,WY,56001,,549300HW662MN1WU8550,,22,13,3,1.67,9,4,9,0,0,7,2,4,0,0,national
2025,WY,56001,,549300AQ3T62GXDU7D76,,14,10,2,1.29,10,3,1,0,0,7,2,1,0,0,national
2025,WY,56001,,LDVFX8JEECFFE8HRWA73,,18,10,2,1.29,18,0,0,0,0,10,0,0,0,0,national
2025,WY,56001,,5493003GQDUH26DNNH17,,12,8,1,1.03,8,0,4,0,0,5,0,3,0,0,national
2025,WY,56001,,549300DD5QQUHO6PCH70,,30,8,5,1.03,3,1,26,0,0,0,0,8,0,0,national
2025,WY,56001,,549300QG83M0EX7VC434,,10,8,0,1.03,10,0,0,0,0,8,0,0,0,0,national
2025,WY,56001,,213800XR2TCBQJSF1X93,,8,7,1,0.9,4,1,3,0,0,4,0,3,0,0,national
2025,WY,56001,,549300FNXYY540N23N64,,16,7,5,0.9,8,2,6,0,0,1,0,6,0,0,national
2025,WY,56001,,RVDPPPGHCGZ40J4VQ731,,11,7,1,0.9,5,1,5,0,0,3,1,3,0,0,national
2025,WY,56001,,254900XZCT60J2G3HK85,,14,5,1,0.64,14,0,0,0,0,5,0,0,0,0,national
2025,WY,56001,,5493007KYI3BO5LTXF79,,9,5,3,0.64,9,0,0,0,0,5,0,0,0,0,national
2025,WY,56001,,549300AG64NHILB7ZP05,,6,5,1,0.64,4,1,1,0,0,4,0,1,0,0,national
2025,WY,56001,,549300DD4R4SYK5RAQ92,,6,5,1,0.64,6,0,0,0,0,5,0,0,0,0,national
2025,WY,56001,,549300U3721PJGQZYY68,,8,5,0,0.64,4,3,1,0,0,1,3,1,0,0,national
2025,WY,56001,,254900UL88QFG0E40516,,8,4,1,0.51,8,0,0,0,0,4,0,0,0,0,national
2025,WY,56001,,3Y4U8VZURTYWI1W2K376,,13,4,4,0.51,13,0,0,0,0,4,0,0,0,0,national
2025,WY,56001,,5493004JDNBZNOT8PR69,,6,4,1,0.51,6,0,0,0,0,4,0,0,0,0,national
2025,WY,56001,,549300OPCWU6E72WUT29,,8,4,2,0.51,2,5,1,0,0,1,2,1,0,0,national
2025,WY,56001,,549300ZFJ1696ECS0S38,,4,4,0,0.51,4,0,0,0,0,4,0,0,0,0,national
2025,WY,56001,,6BYL5QZYBDK8S7L73M02,,18,4,11,0.51,16,2,0,0,0,3,1,0,0,0,national
2025,WY,56001,,KB1H1DSPRFMYMCUFXT09,,5,4,0,0.51,5,0,0,0,0,4,0,0,0,0,national
2025,WY,56001,,254900ZFWS2106HWPH46,,3,3,0,0.39,2,1,0,0,0,2,1,0,0,0,national
2025,WY,56001,,5493001GCBD5XGNIC815,,7,3,0,0.39,7,0,0,0,0,3,0,0,0,0,national
2025,WY,56001,,54930054ET8KM4O1D485,,9,3,0,0.39,9,0,0,0,0,3,0,0,0,0,national
2025,WY,56001,,549300J3YLW53W0K4T67,,9,3,1,0.39,7,1,1,0,0,2,0,1,0,0,national
2025,WY,56001,,549300LYRWPSYPK6S325,,8,3,1,0.39,0,3,5,0,0,0,2,1,0,0,national
2025,WY,56001,,549300MZ8VZJOVC63092,,4,3,1,0.39,3,1,0,0,0,3,0,0,0,0,national
2025,WY,56001,,549300VZVN841I2ILS84,,3,3,0,0.39,2,0,1,0,0,2,0,1,0,0,national
2025,WY,56001,,549300YIQ7S7Z8PIHE53,,8,3,4,0.39,5,3,0,0,0,3,0,0,0,0,national
2025,WY,56001,,254900KI7219LQKCI772,,2,2,0,0.26,1,1,0,0,0,1,1,0,0,0,national
2025,WY,56001,,5493001XKL0FTNOJ0866,,3,2,0,0.26,3,0,0,0,0,2,0,0,0,0,national
2025,WY,56001,,54930052M48FOD3CWA54,,2,2,0,0.26,1,1,0,0,0,1,1,0,0,0,national
2025,WY,56001,,5493006JISETNI0GLE61,,3,2,1,0.26,3,0,0,0,0,2,0,0,0,0,national
2025,WY,56001,,549300BX448ALT10FI43,,3,2,0,0.26,0,0,3,0,0,0,0,2,0,0,national
2025,WY,56001,,549300CB67L6KPJLHE19,,19,2,11,0.26,19,0,0,0,0,2,0,0,0,0,national
2025,WY,56001,,549300E2UX99HKDBR481,,7,2,0,0.26,2,4,1,0,0,1,0,1,0,0,national
