lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,california_originations,florida_originations,total_originations,priority_match,notes
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_fl_tx_ga_curated_lei+curated_lei_public_nmls,57281,49897,57281,high,reuse_fl_tx_ga_curated_lei map for CA activity (57281 CA originations); slug=united-wholesale-mortgage.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_fl_tx_ga_curated_lei+curated_lei_public_nmls,42202,31530,42202,high,reuse_fl_tx_ga_curated_lei map for CA activity (42202 CA originations); slug=rocket-mortgage.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_fl_tx_ga_curated_lei+curated_lei_public_nmls,17758,7938,17758,high,reuse_fl_tx_ga_curated_lei map for CA activity (17758 CA originations); slug=guaranteed-rate.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_fl_tx_ga_curated_lei+curated_lei_public_nmls,16135,2279,16135,high,reuse_fl_tx_ga_curated_lei map for CA activity (16135 CA originations); slug=us-bank.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_fl_tx_ga_curated_lei+curated_lei_public_nmls,14032,6131,14032,high,reuse_fl_tx_ga_curated_lei map for CA activity (14032 CA originations); slug=jpmorgan-chase-bank.
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,reuse_fl_tx_ga_curated_lei+curated_lei+directory_name,10749,9704,10749,high,reuse_fl_tx_ga_curated_lei map for CA activity (10749 CA originations); slug=fairway-mortgage-augusta-sheppard.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_fl_tx_ga_curated_lei+curated_lei_public_nmls,9983,7460,9983,high,reuse_fl_tx_ga_curated_lei map for CA activity (9983 CA originations); slug=pennymac.
KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association",399801,wells-fargo-bank,"Wells Fargo Bank, National Association",high,reuse_fl_tx_ga_curated_lei+curated_lei_public_nmls,9616,2670,9616,high,reuse_fl_tx_ga_curated_lei map for CA activity (9616 CA originations); slug=wells-fargo-bank.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_fl_tx_ga_curated_lei+curated_lei_public_nmls,9599,11987,9599,high,reuse_fl_tx_ga_curated_lei map for CA activity (9599 CA originations); slug=freedom-mortgage.
254900DTLHVWQ7NP7R34,"CMG Mortgage, Inc.",2458338,cmg-home-loans-dennis-vo,CMG Home Loans (Dennis Vo Team),high,reuse_fl_tx_ga_curated_lei+curated_lei+directory_name,8432,4627,8432,high,reuse_fl_tx_ga_curated_lei map for CA activity (8432 CA originations); slug=cmg-home-loans-dennis-vo.
