lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,colorado_originations,florida_originations,total_originations,priority_match,notes
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,18178,49897,18178,high,reuse_prior_state_curated_lei map for CO activity (18178 CO originations); slug=united-wholesale-mortgage.
6GK3WNTSHBNJOVP1LV97,WINGS CREDIT UNION,405466,wings-credit-union,Wings Credit Union (merged with Ent Credit Union brand footprint),high,co_curated+co_curated_gleif+public_nmls,8715,0,8715,high,co_curated map for CO activity (8715 CO originations); slug=wings-credit-union.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,8433,31530,8433,high,reuse_prior_state_curated_lei map for CO activity (8433 CO originations); slug=rocket-mortgage.
549300AQ3T62GXDU7D76,Ally Bank,181005,ally-bank,Ally Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,4338,2790,4338,high,reuse_prior_state_curated_lei map for CO activity (4338 CO originations); slug=ally-bank.
5493009V3WNJX9V2GZ85,FirstBank,,firstbank-colorado,FirstBank (Colorado / efirstbank),high,co_curated+co_curated_gleif+lei_identity,3041,0,3041,high,co_curated map for CO activity (3041 CO originations); slug=firstbank-colorado.
54930067MGJBFNEN1P47,ELEVATIONS,717246,elevations-credit-union,Elevations Credit Union,high,co_curated+co_curated_gleif+public_nmls,2960,0,2960,high,co_curated map for CO activity (2960 CO originations); slug=elevations-credit-union.
549300E3QJQLKVB40W93,CANVAS CREDIT UNION,410592,canvas-credit-union,Canvas Credit Union,high,co_curated+co_curated_gleif+public_nmls,2939,0,2939,high,co_curated map for CO activity (2939 CO originations); slug=canvas-credit-union.
5493008L9O5NV7EAK360,BELLCO,,bellco-credit-union,Bellco Credit Union,high,co_curated+co_curated_gleif+lei_identity,2818,0,2818,high,co_curated map for CO activity (2818 CO originations); slug=bellco-credit-union.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2472,11987,2472,high,reuse_prior_state_curated_lei map for CO activity (2472 CO originations); slug=freedom-mortgage.
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,reuse_prior_state_curated_lei+curated_lei+directory_name,2360,9704,2360,high,reuse_prior_state_curated_lei map for CO activity (2360 CO originations); slug=fairway-mortgage-augusta-sheppard.
549300MGPZBLQDIL7538,"PrimeLending, a PlainsCapital Company",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_prior_state_curated_lei+curated_lei+directory_name,2297,3153,2297,high,reuse_prior_state_curated_lei map for CO activity (2297 CO originations); slug=primelending-columbus.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2277,2279,2277,high,reuse_prior_state_curated_lei map for CO activity (2277 CO originations); slug=us-bank.
549300U3721PJGQZYY68,Nationstar Mortgage LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2143,3204,2143,high,reuse_prior_state_curated_lei map for CO activity (2143 CO originations); slug=mr-cooper.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1930,4388,1930,high,reuse_prior_state_curated_lei map for CO activity (1930 CO originations); slug=amerihome-mortgage.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1880,6131,1880,high,reuse_prior_state_curated_lei map for CO activity (1880 CO originations); slug=jpmorgan-chase-bank.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1864,7460,1864,high,reuse_prior_state_curated_lei map for CO activity (1864 CO originations); slug=pennymac.
254900DTLHVWQ7NP7R34,"CMG Mortgage, Inc.",2458338,cmg-home-loans-dennis-vo,CMG Home Loans (Dennis Vo Team),high,reuse_prior_state_curated_lei+curated_lei+directory_name,1646,4627,1646,high,reuse_prior_state_curated_lei map for CO activity (1646 CO originations); slug=cmg-home-loans-dennis-vo.
549300LYRWPSYPK6S325,Guild Mortgage Company LLC,3274,guild-mortgage-metrowest,Guild Mortgage (West Valley Branches),high,reuse_prior_state_curated_lei+curated_lei+directory_name,1594,5374,1594,high,reuse_prior_state_curated_lei map for CO activity (1594 CO originations); slug=guild-mortgage-metrowest.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1561,5643,1561,high,reuse_prior_state_curated_lei map for CO activity (1561 CO originations); slug=newrez.
549300E2UX99HKDBR481,"Broker Solutions, Inc.",6606,new-american-funding,"Broker Solutions, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1551,3881,1551,high,reuse_prior_state_curated_lei map for CO activity (1551 CO originations); slug=new-american-funding.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,reuse_prior_state_curated_lei+curated_lei+directory_name,1547,8416,1547,high,reuse_prior_state_curated_lei map for CO activity (1547 CO originations); slug=navy-federal-jacksonville.
OYWNLMHNBQQ7BAH3EE86,Alpine Bank,414674,alpine-bank,Alpine Bank,high,co_curated+co_curated_gleif+public_nmls,1490,0,1490,high,co_curated map for CO activity (1490 CO originations); slug=alpine-bank.
549300ALNLUNS3Y53T24,AMERICAN FINANCING CORPORATION,182334,american-financing,American Financing Corporation,high,co_curated+co_curated_gleif+public_nmls,1398,0,1398,high,co_curated map for CO activity (1398 CO originations); slug=american-financing.
549300ABEFRFKC9S8368,"CREDIT UNION OF COLORADO, A FEDERAL CREDIT UNION",,credit-union-of-colorado,"Credit Union of Colorado, a Federal Credit Union",high,co_curated+co_deepen_gleif+lei_identity,1364,0,1364,high,co_curated map for CO activity (1364 CO originations); slug=credit-union-of-colorado.
549300R0DP2GXAIMGB41,Bank of Colorado,,bank-of-colorado,Bank of Colorado,high,co_curated+co_deepen_gleif+lei_identity,1334,0,1334,high,co_curated map for CO activity (1334 CO originations); slug=bank-of-colorado.
549300DD5QQUHO6PCH70,"Movement Mortgage, LLC",39179,movement-mortgage-myrtle-beach,Movement Mortgage — Myrtle Beach,high,reuse_prior_state_curated_lei+curated_lei+directory_name,1301,5506,1301,high,reuse_prior_state_curated_lei map for CO activity (1301 CO originations); slug=movement-mortgage-myrtle-beach.
549300H3IZO24NSOO931,"loanDepot.com, LLC",174457,loandepot,"loanDepot.com, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1283,10692,1283,high,reuse_prior_state_curated_lei map for CO activity (1283 CO originations); slug=loandepot.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1221,3546,1221,high,reuse_prior_state_curated_lei map for CO activity (1221 CO originations); slug=mr-cooper.
549300RN01LBYR8ZVX74,"LOWER, LLC",1124061,lower,"Lower, LLC",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+sc_curated+sc_curated_gleif+public_nmls,1189,0,1189,high,reuse_prior_state_curated_lei map for CO activity (1189 CO originations); slug=lower.
549300PC4MFWQBNVKG88,"V.I.P. MORTGAGE, INC.",145502,vip-mortgage,"V.I.P. Mortgage, Inc.",high,co_curated+co_curated_gleif+public_nmls,1153,0,1153,high,co_curated map for CO activity (1153 CO originations); slug=vip-mortgage.
5493001HHBUTXHS7TZ96,HOMEAMERICAN MORTGAGE CORPORATION,130676,homeamerican-mortgage,HomeAmerican Mortgage Corporation,high,co_curated+co_curated_gleif+public_nmls,1121,0,1121,high,co_curated map for CO activity (1121 CO originations); slug=homeamerican-mortgage.
8WH0EE09O9V05QJZ3V89,"Zions Bancorporation, N.A.",467014,zions-bank,"Zions Bancorporation, N.A. (includes Vectra Bank Colorado brand)",high,co_curated+co_deepen_gleif+public_nmls,1057,0,1057,high,co_curated map for CO activity (1057 CO originations); slug=zions-bank.
5493001SXWZ4OFP8Z903,"CrossCountry Mortgage, LLC",3029,crosscountry-mortgage-metrowest,CrossCountry Mortgage (West Valley),high,reuse_prior_state_curated_lei+curated_lei+directory_name,1014,11582,1014,high,reuse_prior_state_curated_lei map for CO activity (1014 CO originations); slug=crosscountry-mortgage-metrowest.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,965,7938,965,high,reuse_prior_state_curated_lei map for CO activity (965 CO originations); slug=guaranteed-rate.
549300PIL8LFAQ04XC20,Better Mortgage Corporation,330511,better-mortgage,Better Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,963,2675,963,high,reuse_prior_state_curated_lei map for CO activity (963 CO originations); slug=better-mortgage.
549300DD4R4SYK5RAQ92,"Cardinal Financial Company, Limited Partnership",66247,cardinal-financial,"Cardinal Financial Company, Limited Partnership",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,935,4122,935,high,reuse_prior_state_curated_lei map for CO activity (935 CO originations); slug=cardinal-financial.
549300GYQ8ZT1NUXRM52,WESTERRA CREDIT UNION,421606,westerra-credit-union,Westerra Credit Union,high,co_curated+co_deepen_gleif+public_nmls,931,0,931,high,co_curated map for CO activity (931 CO originations); slug=westerra-credit-union.
5493001GDRY0EL7VG372,"ARK-LA-TEX FINANCIAL SERVICES, LLC.",2143,benchmark-mortgage,"Ark-La-Tex Financial Services, LLC dba Benchmark Mortgage",high,co_curated+co_deepen_gleif+public_nmls,914,0,914,high,co_curated map for CO activity (914 CO originations); slug=benchmark-mortgage.
549300748YYU6VG08N83,"Loan Simple, Inc.",3032,loan-simple,"Loan Simple, Inc.",high,co_curated+co_deepen_gleif+public_nmls,911,0,911,high,co_curated map for CO activity (911 CO originations); slug=loan-simple.
5493008N1D96CHCTQC27,SECURITY SERVICE FEDERAL CREDIT UNION,458903,security-service-federal-credit-union,Security Service Federal Credit Union,high,co_curated+co_deepen_gleif+public_nmls,857,0,857,high,co_curated map for CO activity (857 CO originations); slug=security-service-federal-credit-union.
FU7RSW4CQQY98A2O7J66,"BOKF, National Association",403501,bok-financial,"BOKF, National Association (BOK Financial)",high,co_curated+co_deepen_gleif+public_nmls,853,0,853,high,co_curated map for CO activity (853 CO originations); slug=bok-financial.
549300RWXIW3CFTANH88,SOOPER CU DBA CLIMB CU,422866,climb-credit-union,Climb Credit Union (formerly Sooper Credit Union),high,co_curated+co_deepen_gleif+public_nmls,774,0,774,high,co_curated map for CO activity (774 CO originations); slug=climb-credit-union.
3Y4U8VZURTYWI1W2K376,BMO Bank National Association,401052,bmo-bank,BMO Bank National Association,high,reuse_prior_state_curated_lei+il_oh_curated+il_oh_deepen_gleif+public_nmls,755,0,755,high,reuse_prior_state_curated_lei map for CO activity (755 CO originations); slug=bmo-bank.
254900ZFWS2106HWPH46,"PARAMOUNT RESIDENTIAL MORTGAGE GROUP, INC.",75243,prmg,Paramount Residential Mortgage Group (PRMG),medium,reuse_prior_state_curated_lei+gleif_name_to_directory,741,3741,741,high,reuse_prior_state_curated_lei map for CO activity (741 CO originations); slug=prmg.
549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,1904,union-home-mortgage-reeves-team,Union Home Mortgage Corp.,high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+company_nmls+ga_directory,693,0,693,high,reuse_prior_state_curated_lei map for CO activity (693 CO originations); slug=union-home-mortgage-reeves-team.
2WHM8VNJH63UN14OL754,The Huntington National Bank,402436,huntington-national-bank,The Huntington National Bank,high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+pa_curated+gleif+huntington_nmls,675,0,675,high,reuse_prior_state_curated_lei map for CO activity (675 CO originations); slug=huntington-national-bank.
549300MCIFZSDHUT8X63,"NFM, INC.",2893,nfm-lending,"NFM, Inc. (dba NFM Lending)",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,659,0,659,high,reuse_prior_state_curated_lei map for CO activity (659 CO originations); slug=nfm-lending.
KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association",399801,wells-fargo-bank,"Wells Fargo Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,653,2670,653,high,reuse_prior_state_curated_lei map for CO activity (653 CO originations); slug=wells-fargo-bank.
549300OPCWU6E72WUT29,"MUTUAL OF OMAHA MORTGAGE, INC.",1025894,mutual-of-omaha-mortgage,"Mutual of Omaha Mortgage, Inc.",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+public_nmls,651,0,651,high,reuse_prior_state_curated_lei map for CO activity (651 CO originations); slug=mutual-of-omaha-mortgage.
549300370QILXLFUWD20,"ZILLOW HOME LOANS, LLC",1027871,zillow-home-loans,"Zillow Home Loans, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+public_nmls,635,0,635,high,reuse_prior_state_curated_lei map for CO activity (635 CO originations); slug=zillow-home-loans.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,603,3475,603,high,reuse_prior_state_curated_lei map for CO activity (603 CO originations); slug=pnc-bank.
549300MZ8VZJOVC63092,"KIND LENDING, LLC",3925,kind-lending,"Kind Lending, LLC",high,reuse_prior_state_curated_lei+ca_curated+ca_curated_gleif+public_nmls,589,0,589,high,reuse_prior_state_curated_lei map for CO activity (589 CO originations); slug=kind-lending.
549300NOCASXPA34X033,"LAKEVIEW LOAN SERVICING, LLC",4095,lakeview-loan-servicing,"Lakeview Loan Servicing, LLC",high,reuse_prior_state_curated_lei+curated_public_nmls+directory_profile,583,1488,583,high,reuse_prior_state_curated_lei map for CO activity (583 CO originations); slug=lakeview-loan-servicing.
54930001NSTOD85LT125,"GUARANTEED RATE AFFINITY, LLC",1598647,guaranteed-rate-affinity,"Guaranteed Rate Affinity, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+reuse_fl_tx_ga_ca_nc_sc_curated_lei+sc_curated+sc_curated_gleif+public_nmls,529,0,529,high,reuse_prior_state_curated_lei map for CO activity (529 CO originations); slug=guaranteed-rate-affinity.
549300XY701IELCE5Q08,BETTER MORTGAGE CORPORATION,330511,better-mortgage,Better Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,512,1004,512,high,reuse_prior_state_curated_lei map for CO activity (512 CO originations); slug=better-mortgage.
