lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,connecticut_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,4505,31530,4505,high,reuse_prior_state_curated_lei map for CT activity (4505 CT originations); slug=rocket-mortgage.
549300VJQJVZKJBDWS17,"TOTAL MORTGAGE SERVICES, LLC",2764,total-mortgage-services,"Total Mortgage Services, LLC",high,reuse_prior_state_curated_lei+ma_curated+ma_curated_gleif+public_nmls,3299,0,3299,high,reuse_prior_state_curated_lei map for CT activity (3299 CT originations); slug=total-mortgage-services.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3084,49897,3084,high,reuse_prior_state_curated_lei map for CT activity (3084 CT originations); slug=united-wholesale-mortgage.
DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association",433960,citizens-bank,"Citizens Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3030,2297,3030,high,reuse_prior_state_curated_lei map for CT activity (3030 CT originations); slug=citizens-bank.
549300KWXO8FUM7L0E14,Liberty Bank,459028,liberty-bank,Liberty Bank,high,ct_nh_curated+ct_nh_curated_gleif+public_nmls,2765,0,2765,high,ct_nh_curated map for CT activity (2765 CT originations); slug=liberty-bank.
WWB2V0FCW3A0EE3ZJN75,Manufacturers and Traders Trust Company,381076,mt-bank,Manufacturers and Traders Trust Company (M&T Bank),high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+nj_curated+nj_curated_gleif+public_nmls,2398,0,2398,high,reuse_prior_state_curated_lei map for CT activity (2398 CT originations); slug=mt-bank.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2061,7938,2061,high,reuse_prior_state_curated_lei map for CT activity (2061 CT originations); slug=guaranteed-rate.
549300HYHFCULSUBAE54,FIRST WORLD MORTGAGE CORPORATION,2643,first-world-mortgage,First World Mortgage Corporation,high,ct_nh_curated+ct_nh_curated_gleif+public_nmls,2009,0,2009,high,ct_nh_curated map for CT activity (2009 CT originations); slug=first-world-mortgage.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1504,4388,1504,high,reuse_prior_state_curated_lei map for CT activity (1504 CT originations); slug=amerihome-mortgage.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1294,11987,1294,high,reuse_prior_state_curated_lei map for CT activity (1294 CT originations); slug=freedom-mortgage.
