year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,CT,549300FGXN1K3HLB1R50,,6158,4505,09110:1233; 09170:716; 09190:664; 09140:617; 09180:369,3774,535,196,0,0,83.77,11.88,4.35,national
2025,CT,549300VJQJVZKJBDWS17,,4544,3299,09110:868; 09170:538; 09140:504; 09190:436; 09120:301,2758,450,87,4,0,83.6,13.64,2.64,national
2025,CT,549300HW662MN1WU8550,,4239,3084,09110:934; 09170:512; 09140:399; 09180:296; 09190:287,2061,703,320,0,0,66.83,22.8,10.38,national
2025,CT,DRMSV1Q0EKMEXLAU1P80,,4895,3030,09190:785; 09170:533; 09110:453; 09180:411; 09130:304,3009,19,2,0,0,99.31,0.63,0.07,national
2025,CT,549300KWXO8FUM7L0E14,,3512,2765,09110:967; 09130:538; 09170:429; 09180:315; 09140:298,2735,30,0,0,0,98.92,1.08,0.0,national
2025,CT,WWB2V0FCW3A0EE3ZJN75,,4030,2398,09110:708; 09190:516; 09120:406; 09170:302; 09140:233,2355,42,0,1,0,98.21,1.75,0.0,national
2025,CT,B4TYDEB6GKMZO031MB27,,4591,2061,09190:647; 09110:520; 09170:257; 09120:251; 09140:166,2055,6,0,0,0,99.71,0.29,0.0,national
2025,CT,549300HYHFCULSUBAE54,,2332,2009,09110:1010; 09140:322; 09170:236; 09160:140; 09130:130,1665,311,33,0,0,82.88,15.48,1.64,national
2025,CT,549300TYBI78RNWPFB28,,2463,1709,09110:1292; 09130:121; 09140:100; 09170:94; 09180:42,1706,3,0,0,0,99.82,0.18,0.0,national
2025,CT,WV0OVGBTLUP1XIUJE722,,2762,1541,09110:512; 09140:324; 09190:256; 09170:180; 09160:89,1539,2,0,0,0,99.87,0.13,0.0,national
2025,CT,549300GKFNPRWNS0GF29,,2194,1504,09110:365; 09140:292; 09190:237; 09170:223; 09120:199,935,279,32,258,0,62.17,18.55,2.13,national
2025,CT,549300VZVN841I2ILS84,,1935,1294,09190:402; 09140:206; 09120:202; 09170:192; 09110:110,1078,186,30,0,0,83.31,14.37,2.32,national
2025,CT,7H6GLXDRUGQFU57RNE97,,1804,1171,09190:600; 09110:131; 09170:124; 09120:123; 09140:94,1154,11,6,0,0,98.55,0.94,0.51,national
2025,CT,5493006Z74IVZXJ0XO35,,1836,1153,09140:345; 09120:284; 09170:269; 09190:172; 09110:48,1153,0,0,0,0,100.0,0.0,0.0,national
2025,CT,6BYL5QZYBDK8S7L73M02,,1758,1147,09190:655; 09110:131; 09120:118; 09170:72; 09140:70,1128,14,5,0,0,98.34,1.22,0.44,national
2025,CT,549300DD4R4SYK5RAQ92,,1421,1093,09110:630; 09140:102; 09180:89; 09130:80; 09170:59,896,125,72,0,0,81.98,11.44,6.59,national
2025,CT,03D0JEWFDFUS0SEEKG89,,1978,1002,09110:274; 09190:213; 09170:174; 09140:145; 09120:87,1000,2,0,0,0,99.8,0.2,0.0,national
2025,CT,549300AG64NHILB7ZP05,,1665,945,09110:229; 09190:144; 09170:138; 09140:130; 09120:92,748,155,42,0,0,79.15,16.4,4.44,national
2025,CT,549300FNXYY540N23N64,,2556,874,09110:232; 09190:145; 09170:142; 09140:127; 09120:82,691,124,58,1,0,79.06,14.19,6.64,national
2025,CT,5493005PKOSG7MYX0B34,,1163,862,09110:310; 09190:120; 09140:104; 09180:104; 09170:79,726,102,34,0,0,84.22,11.83,3.94,national
2025,CT,549300U3721PJGQZYY68,,1506,843,09110:201; 09150:137; 09140:118; 09170:116; 09180:86,621,159,58,5,0,73.67,18.86,6.88,national
2025,CT,5493003GQDUH26DNNH17,,1609,812,09180:291; 09110:164; 09170:88; 09190:65; 09140:61,642,0,170,0,0,79.06,0.0,20.94,national
2025,CT,RVDPPPGHCGZ40J4VQ731,,1583,802,09110:237; 09180:120; 09140:115; 09170:109; 09190:73,513,196,93,0,0,63.97,24.44,11.6,national
2025,CT,549300F8C5JA44WNMI75,,1035,755,09110:277; 09140:175; 09170:82; 09180:59; 09150:43,572,142,39,2,0,75.76,18.81,5.17,national
2025,CT,549300YFPHIE78XPP635,,1059,748,09190:321; 09140:161; 09120:87; 09170:72; 09110:55,735,10,3,0,0,98.26,1.34,0.4,national
