lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,district_of_columbia_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,469,31530,469,high,reuse_prior_state_curated_lei map for DC activity (469 DC originations); slug=rocket-mortgage.
549300CF8MP6S7MZV277,FIRST SAVINGS MORTGAGE CORPORATION,38694,first-savings-mortgage,First Savings Mortgage Corporation,high,de_dc_curated+de_dc_curated_gleif+public_nmls,451,0,451,high,de_dc_curated map for DC activity (451 DC originations); slug=first-savings-mortgage.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,307,6131,307,high,reuse_prior_state_curated_lei map for DC activity (307 DC originations); slug=jpmorgan-chase-bank.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,reuse_prior_state_curated_lei+curated_lei+directory_name,297,8416,297,high,reuse_prior_state_curated_lei map for DC activity (297 DC originations); slug=navy-federal-jacksonville.
E57ODZWZ7FF32TWEFA76,"Citibank, National Association",412915,citibank,"Citibank, National Association",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,281,0,281,high,reuse_prior_state_curated_lei map for DC activity (281 DC originations); slug=citibank.
549300GPO6DWUZR4UY30,FIRST HOME MORTGAGE CORPORATION,71603,first-home-mortgage,First Home Mortgage Corporation,high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+va_md_curated+va_md_curated_gleif+public_nmls,280,0,280,high,reuse_prior_state_curated_lei map for DC activity (280 DC originations); slug=first-home-mortgage.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,249,7938,249,high,reuse_prior_state_curated_lei map for DC activity (249 DC originations); slug=guaranteed-rate.
JJKC32MCHWDI71265Z06,Truist Bank,405457,truist-bank,Truist Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,240,6117,240,high,reuse_prior_state_curated_lei map for DC activity (240 DC originations); slug=truist-bank.
HIDXEG9BLUJZKBGUT764,Bank-Fund Staff Federal Credit Union,283762,bank-fund-staff-federal-credit-union,Bank-Fund Staff Federal Credit Union,high,de_dc_curated+de_dc_curated_gleif+public_nmls,220,0,220,high,de_dc_curated map for DC activity (220 DC originations); slug=bank-fund-staff-federal-credit-union.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,211,3475,211,high,reuse_prior_state_curated_lei map for DC activity (211 DC originations); slug=pnc-bank.
5493005PKOSG7MYX0B34,"Prosperity Home Mortgage, LLC",75164,prosperity-home-mortgage,"Prosperity Home Mortgage, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+nj_curated+nj_curated_gleif+public_nmls,210,0,210,high,reuse_prior_state_curated_lei map for DC activity (210 DC originations); slug=prosperity-home-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,198,49897,198,high,reuse_prior_state_curated_lei map for DC activity (198 DC originations); slug=united-wholesale-mortgage.
549300U3721PJGQZYY68,Nationstar Mortgage LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,182,3204,182,high,reuse_prior_state_curated_lei map for DC activity (182 DC originations); slug=mr-cooper.
WWB2V0FCW3A0EE3ZJN75,Manufacturers and Traders Trust Company,381076,mt-bank,Manufacturers and Traders Trust Company (M&T Bank),high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+nj_curated+nj_curated_gleif+public_nmls,172,0,172,high,reuse_prior_state_curated_lei map for DC activity (172 DC originations); slug=mt-bank.
54930095UWUUXAWASB02,"Atlantic Coast Mortgage, LLC",643114,atlantic-coast-mortgage,"Atlantic Coast Mortgage, LLC",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+va_md_curated+va_md_curated_gleif+public_nmls,148,0,148,medium,reuse_prior_state_curated_lei map for DC activity (148 DC originations); slug=atlantic-coast-mortgage.
