year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,DC,11001,District of Columbia,549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",695,469,139,5.09,593,70,32,0,0,405,43,21,0,0,yes
2025,DC,11001,District of Columbia,549300CF8MP6S7MZV277,FIRST SAVINGS MORTGAGE CORPORATION,544,451,5,4.89,515,9,20,0,0,429,6,16,0,0,yes
2025,DC,11001,District of Columbia,7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",459,307,35,3.33,453,3,3,0,0,304,1,2,0,0,yes
2025,DC,11001,District of Columbia,5493003GQDUH26DNNH17,Navy Federal Credit Union,786,297,224,3.22,712,0,74,0,0,264,0,33,0,0,yes
2025,DC,11001,District of Columbia,E57ODZWZ7FF32TWEFA76,"Citibank, National Association",417,281,40,3.05,414,1,2,0,0,280,0,1,0,0,yes
2025,DC,11001,District of Columbia,549300GPO6DWUZR4UY30,FIRST HOME MORTGAGE CORPORATION,359,280,9,3.04,309,27,23,0,0,243,20,17,0,0,yes
2025,DC,11001,District of Columbia,B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",546,249,181,2.7,544,2,0,0,0,247,2,0,0,0,yes
2025,DC,11001,District of Columbia,JJKC32MCHWDI71265Z06,Truist Bank,529,240,218,2.6,523,0,6,0,0,236,0,4,0,0,yes
2025,DC,11001,District of Columbia,HIDXEG9BLUJZKBGUT764,Bank-Fund Staff Federal Credit Union,287,220,25,2.39,287,0,0,0,0,220,0,0,0,0,yes
2025,DC,11001,District of Columbia,AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",467,211,147,2.29,465,1,1,0,0,209,1,1,0,0,yes
2025,DC,11001,District of Columbia,5493005PKOSG7MYX0B34,"Prosperity Home Mortgage, LLC",268,210,6,2.28,236,6,26,0,0,183,5,22,0,0,yes
2025,DC,11001,District of Columbia,549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",327,198,57,2.15,203,70,54,0,0,122,39,37,0,0,yes
2025,DC,11001,District of Columbia,549300U3721PJGQZYY68,Nationstar Mortgage LLC,320,182,13,1.97,274,14,32,0,0,162,3,17,0,0,yes
2025,DC,11001,District of Columbia,WWB2V0FCW3A0EE3ZJN75,Manufacturers and Traders Trust Company,281,172,57,1.86,262,13,6,0,0,161,6,5,0,0,yes
2025,DC,11001,District of Columbia,54930095UWUUXAWASB02,"Atlantic Coast Mortgage, LLC",195,148,3,1.6,176,7,12,0,0,134,4,10,0,0,yes
2025,DC,11001,District of Columbia,54930044OSTKOJMHF287,"Capital Bank, National Association",185,145,4,1.57,143,39,3,0,0,118,26,1,0,0,yes
2025,DC,11001,District of Columbia,KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association",240,130,41,1.41,235,3,2,0,0,129,0,1,0,0,yes
2025,DC,11001,District of Columbia,549300IPUHFA5O769M51,"Vellum Mortgage, Inc.",156,125,2,1.36,133,9,14,0,0,110,6,9,0,0,yes
2025,DC,11001,District of Columbia,549300MGPZBLQDIL7538,"PrimeLending, a PlainsCapital Company",176,124,5,1.34,144,15,17,0,0,102,10,12,0,0,yes
2025,DC,11001,District of Columbia,549300DD4R4SYK5RAQ92,"Cardinal Financial Company, Limited Partnership",169,122,4,1.32,124,21,24,0,0,89,12,21,0,0,yes
2025,DC,11001,District of Columbia,03D0JEWFDFUS0SEEKG89,"TD Bank, National Association",191,110,45,1.19,191,0,0,0,0,110,0,0,0,0,yes
2025,DC,11001,District of Columbia,549300MKOZ81ZWTNKB12,United Bank,147,110,15,1.19,141,4,2,0,0,104,4,2,0,0,yes
2025,DC,11001,District of Columbia,549300VZVN841I2ILS84,Freedom Mortgage Corporation,180,108,14,1.17,149,18,13,0,0,94,5,9,0,0,yes
2025,DC,11001,District of Columbia,549300FNXYY540N23N64,Newrez LLC,353,105,83,1.14,251,70,32,0,0,79,12,14,0,0,yes
2025,DC,11001,District of Columbia,RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,236,105,34,1.14,164,26,46,0,0,71,10,24,0,0,yes
2025,DC,11001,District of Columbia,549300ZTT08EKQRVTR15,Atlantic Union Bank,165,96,28,1.04,156,6,3,0,0,93,1,2,0,0,yes
2025,DC,11001,District of Columbia,N8T7HW55LK5D2ORCKP39,First National Bank of Pennsylvania,152,96,37,1.04,152,0,0,0,0,96,0,0,0,0,yes
2025,DC,11001,District of Columbia,DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association",192,92,68,1.0,191,0,1,0,0,92,0,0,0,0,yes
2025,DC,11001,District of Columbia,254900YPPMV9UM5FUW09,,126,91,6,0.99,109,3,14,0,0,79,1,11,0,0,yes
2025,DC,11001,District of Columbia,549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",169,88,48,0.95,123,28,18,0,0,61,15,12,0,0,yes
2025,DC,11001,District of Columbia,549300EM8ID8J7F8OM55,"First Heritage Mortgage, LLC",118,86,3,0.93,101,11,6,0,0,74,6,6,0,0,yes
2025,DC,11001,District of Columbia,549300FX7K8PTEQUU487,PENTAGON FEDERAL CREDIT UNION,210,82,79,0.89,190,4,16,0,0,74,0,8,0,0,yes
2025,DC,11001,District of Columbia,549300LYRWPSYPK6S325,Guild Mortgage Company LLC,200,81,13,0.88,46,58,96,0,0,16,25,40,0,0,yes
2025,DC,11001,District of Columbia,549300MCIFZSDHUT8X63,"NFM, INC.",98,77,4,0.83,82,7,9,0,0,66,5,6,0,0,yes
2025,DC,11001,District of Columbia,549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",106,73,2,0.79,78,17,10,1,0,52,13,7,1,0,yes
2025,DC,11001,District of Columbia,DZC62HF6UIZYJ08V1J90,"Fulton Bank, National Association",105,70,16,0.76,102,1,2,0,0,68,0,2,0,0,yes
2025,DC,11001,District of Columbia,54930080168VA6Z8UX21,TOWER Federal Credit Union,111,67,32,0.73,111,0,0,0,0,67,0,0,0,0,yes
2025,DC,11001,District of Columbia,549300AQ3T62GXDU7D76,Ally Bank,103,66,5,0.72,79,16,8,0,0,52,7,7,0,0,yes
2025,DC,11001,District of Columbia,549300G4ESSS6M0MEG51,,94,65,3,0.7,87,4,3,0,0,60,3,2,0,0,yes
2025,DC,11001,District of Columbia,549300RN01LBYR8ZVX74,"LOWER, LLC",88,64,5,0.69,63,19,6,0,0,46,15,3,0,0,yes
2025,DC,11001,District of Columbia,549300DD5QQUHO6PCH70,"Movement Mortgage, LLC",154,63,35,0.68,15,4,135,0,0,2,2,59,0,0,yes
2025,DC,11001,District of Columbia,549300BM4NS8HDJT3X28,"INTERCOASTAL MORTGAGE, LLC",81,61,4,0.66,69,4,8,0,0,51,2,8,0,0,yes
2025,DC,11001,District of Columbia,549300GS0W0TEUQS8571,"Morgan Stanley Private Bank, National Association",68,58,3,0.63,68,0,0,0,0,58,0,0,0,0,yes
2025,DC,11001,District of Columbia,549300TTPRGSP8DGY569,,78,55,10,0.6,78,0,0,0,0,55,0,0,0,0,yes
2025,DC,11001,District of Columbia,213800QUAI2VH5YM6310,"EMBRACE HOME LOANS, INC.",92,54,4,0.59,76,12,4,0,0,46,5,3,0,0,yes
