lei,florida_originations,total_originations,gleif_name,priority_match,states_with_originations,review_status
549300TOOOOW36EX6R40,8364,8409,SUNCOAST CREDIT UNION,high,FL:8364;GA:19;TN:12;NC:9;SC:5,needs_manual_review
549300VN9E1DEKF26E34,5900,5900,SPACE COAST CREDIT UNION,high,FL:5900,needs_manual_review
2549005SIVTHG14U2905,5245,10774,A&D Mortgage LLC,high,FL:5245;CA:1446;TX:1050;NY:948;GA:471;NJ:453;PA:339;SC:296,needs_manual_review
54930036K3ZFJ4FOKT69,3214,3355,VYSTAR CREDIT UNION,high,FL:3214;GA:141,needs_manual_review
254900UL88QFG0E40516,2872,16262,FIGURE LENDING LLC,high,CA:5234;FL:2872;GA:1717;NC:1212;NJ:1197;PA:1075;TN:887;TX:825,needs_manual_review
5493007CXTOHZ2JBEJ61,2851,2964,"THE MORTGAGE FIRM, INC.",high,FL:2851;GA:62;TN:18;TX:13;NC:9;SC:8;PA:3,needs_manual_review
549300MZ8VZJOVC63092,2662,16931,"KIND LENDING, LLC",high,CA:6409;TX:3781;FL:2662;GA:1421;PA:782;TN:597;NJ:556;NC:420,needs_manual_review
549300RPOGWJRH63HS39,2495,14564,UNION HOME MORTGAGE CORP.,high,TX:3238;FL:2495;NC:2127;PA:1934;TN:1404;CA:942;GA:921;NJ:773,needs_manual_review
5493001WHVQBGRSWEU75,2433,11532,"HOMEBRIDGE FINANCIAL SERVICES, INC.",high,CA:3155;FL:2433;NY:1590;TX:1135;NJ:989;GA:669;NC:461;TN:391,needs_manual_review
5493006VAGP3GQ8FJT49,2385,14724,"Kiavi Funding, Inc.",high,CA:3237;FL:2385;PA:1829;NC:1435;GA:1388;TX:1379;NJ:1139;TN:735,needs_manual_review
5493001GCBD5XGNIC815,2383,9437,Coastal Community Bank,high,CA:3015;FL:2383;PA:1032;NC:962;NJ:811;TN:698;GA:536,needs_manual_review
549300IQVXIW1VTW0D69,2267,2267,Citizens First Bank,high,FL:2267,needs_manual_review
984500U2F9A83N391A91,2262,8286,"CHAMPIONS FUNDING, LLC",high,FL:2262;CA:1367;TX:1262;NY:950;NJ:917;GA:409;PA:308;NC:293,needs_manual_review
549300XQVJ1XBNFA5536,2098,14961,21ST MORTGAGE CORPORATION,high,TX:6763;FL:2098;CA:1262;GA:1218;SC:1207;NC:810;TN:648;PA:443,needs_manual_review
54930049L5WINET09Q97,2049,4899,"CLICK N' CLOSE, INC.",high,FL:2049;TX:1245;NC:399;TN:377;GA:377;CA:203;SC:149;PA:67,needs_manual_review
549300MCIFZSDHUT8X63,2000,7243,"NFM, INC.",high,FL:2000;NC:1137;TX:1055;NJ:1051;GA:511;CA:416;PA:369;MA:248,needs_manual_review
549300KSOOZZVXCMA627,1936,4575,ANGEL OAK MORTGAGE SOLUTIONS LLC,high,FL:1936;CA:979;TX:491;GA:268;SC:250;NC:246;NJ:153;PA:147,needs_manual_review
549300KJ8PAJ7E52HG32,1839,4461,Plains Commerce Bank,high,FL:1839;TX:1036;GA:407;CA:304;NC:298;PA:163;SC:149;TN:136,needs_manual_review
549300UI36AJZ0WZ4U93,1773,6039,"TAYLOR MORRISON HOME FUNDING, INC.",high,TX:2244;FL:1773;CA:802;NC:633;GA:425;SC:162,needs_manual_review
5493008NWHQT1R22C024,1724,7465,"AMERICAN FINANCIAL NETWORK, INC.",high,FL:1724;CA:1554;TX:880;NY:827;GA:565;SC:484;NJ:425;TN:321,needs_manual_review
