year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,GA,13121,Fulton,43560,22578,8557,19.64,19739,14528,9293,45.31,33.35,34211,6993,2351,5,0,78.54,16.05,5.4,18144,3290,1142,2,0,80.36,14.57,5.06,yes
2025,GA,13135,Gwinnett,36942,19503,7525,20.37,15841,12591,8510,42.88,34.08,28087,6593,2260,2,0,76.03,17.85,6.12,15146,3278,1078,1,0,77.66,16.81,5.53,yes
2025,GA,13067,Cobb,30953,17350,5290,17.09,13114,10392,7447,42.37,33.57,24530,4369,2054,0,0,79.25,14.11,6.64,14003,2296,1051,0,0,80.71,13.23,6.06,yes
2025,GA,13089,DeKalb,28307,14488,5783,20.43,12555,9821,5931,44.35,34.69,20817,5524,1962,4,0,73.54,19.51,6.93,11082,2496,907,3,0,76.49,17.23,6.26,yes
2025,GA,13057,Cherokee,14070,8482,2167,15.4,5577,4874,3619,39.64,34.64,11515,1640,914,1,0,81.84,11.66,6.5,7018,950,514,0,0,82.74,11.2,6.06,yes
2025,GA,13117,Forsyth,13748,8073,2138,15.55,5233,5002,3513,38.06,36.38,12284,989,468,7,0,89.35,7.19,3.4,7269,541,259,4,0,90.04,6.7,3.21,yes
2025,GA,13051,Chatham,13051,7306,2288,17.53,6071,4480,2500,46.52,34.33,8587,2195,2253,16,0,65.8,16.82,17.26,4852,1152,1293,9,0,66.41,15.77,17.7,yes
2025,GA,13151,Henry,13754,6639,3088,22.45,6426,5045,2283,46.72,36.68,6988,4186,2551,29,0,50.81,30.43,18.55,3266,2090,1269,14,0,49.19,31.48,19.11,yes
2025,GA,13223,Paulding,9470,5386,1657,17.5,4155,3449,1866,43.88,36.42,5626,2588,1231,25,0,59.41,27.33,13.0,3236,1441,692,17,0,60.08,26.75,12.85,yes
2025,GA,13139,Hall,8381,4853,1466,17.49,3780,2838,1763,45.1,33.86,6190,1605,575,11,0,73.86,19.15,6.86,3649,928,267,9,0,75.19,19.12,5.5,yes
2025,GA,13153,Houston,8006,4752,1206,15.06,3749,2822,1435,46.83,35.25,4032,1542,2408,24,0,50.36,19.26,30.08,2436,878,1418,20,0,51.26,18.48,29.84,yes
