lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,georgia_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_fl_tx_curated_lei+curated_lei_public_nmls,21182,31530,21182,high,reuse_fl_tx_curated_lei map for GA activity (21182 GA originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_fl_tx_curated_lei+curated_lei_public_nmls,17047,49897,17047,high,reuse_fl_tx_curated_lei map for GA activity (17047 GA originations); slug=united-wholesale-mortgage.
IUGPUX5LWRZ3B6KIZ697,Ameris Bank,405455,ameris-bank,Ameris Bank,high,reuse_fl_tx_curated_lei+curated_lei_public_nmls,5627,1846,5627,high,reuse_fl_tx_curated_lei map for GA activity (5627 GA originations); slug=ameris-bank.
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,reuse_fl_tx_curated_lei+curated_lei+directory_name,5272,9704,5272,high,reuse_fl_tx_curated_lei map for GA activity (5272 GA originations); slug=fairway-mortgage-augusta-sheppard.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,reuse_fl_tx_curated_lei+curated_lei+directory_name,5118,8416,5118,high,reuse_fl_tx_curated_lei map for GA activity (5118 GA originations); slug=navy-federal-jacksonville.
JJKC32MCHWDI71265Z06,Truist Bank,405457,truist-bank,Truist Bank,high,reuse_fl_tx_curated_lei+curated_lei_public_nmls,4837,6117,4837,high,reuse_fl_tx_curated_lei map for GA activity (4837 GA originations); slug=truist-bank.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_fl_tx_curated_lei+reuse_fl_curated_lei+curated_lei_public_nmls,4168,7460,4168,high,reuse_fl_tx_curated_lei map for GA activity (4168 GA originations); slug=pennymac.
549300DD5QQUHO6PCH70,"Movement Mortgage, LLC",39179,movement-mortgage-myrtle-beach,Movement Mortgage — Myrtle Beach,high,reuse_fl_tx_curated_lei+reuse_fl_curated_lei+curated_lei+directory_name,4139,5506,4139,high,reuse_fl_tx_curated_lei map for GA activity (4139 GA originations); slug=movement-mortgage-myrtle-beach.
549300E2UX99HKDBR481,"Broker Solutions, Inc.",6606,new-american-funding,"Broker Solutions, Inc.",high,reuse_fl_tx_curated_lei+reuse_fl_curated_lei+curated_lei_public_nmls,4063,3881,4063,high,reuse_fl_tx_curated_lei map for GA activity (4063 GA originations); slug=new-american-funding.
549300LYRWPSYPK6S325,Guild Mortgage Company LLC,3274,guild-mortgage-west-valley,Guild Mortgage (West Valley Branches),high,reuse_fl_tx_curated_lei+reuse_fl_curated_lei+curated_lei+directory_name,3946,5374,3946,high,reuse_fl_tx_curated_lei map for GA activity (3946 GA originations); slug=guild-mortgage-west-valley.
