year,state,county_fips,county_name,lei,institution_name,applications,originations,denials,market_share_orig_pct,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,priority_market
2025,GA,13013,Barrow,549300FGXN1K3HLB1R50,,369,269,65,9.0,275,70,24,0,0,208,45,16,0,0,yes
2025,GA,13013,Barrow,549300HW662MN1WU8550,,291,218,31,7.29,126,119,43,3,0,101,79,35,3,0,yes
2025,GA,13013,Barrow,549300Y6WN08IC7KWH70,,272,160,12,5.35,44,213,10,5,0,26,124,6,4,0,yes
2025,GA,13013,Barrow,5493001SXWZ4OFP8Z903,,141,106,15,3.55,61,71,9,0,0,47,53,6,0,0,yes
2025,GA,13013,Barrow,549300VZVN841I2ILS84,,128,90,7,3.01,65,58,4,1,0,41,44,4,1,0,yes
2025,GA,13013,Barrow,IUGPUX5LWRZ3B6KIZ697,,85,67,2,2.24,67,13,5,0,0,55,9,3,0,0,yes
2025,GA,13013,Barrow,EQTWLK1G7ODGC2MGLV11,,123,64,37,2.14,106,10,2,5,0,54,3,2,5,0,yes
2025,GA,13013,Barrow,549300MGPZBLQDIL7538,,93,62,6,2.07,47,32,7,7,0,35,18,5,4,0,yes
2025,GA,13013,Barrow,5493000YNV8IX4VD3X12,,103,61,16,2.04,59,38,5,1,0,22,34,4,1,0,yes
2025,GA,13013,Barrow,549300KIOYNU323LVJ37,,90,61,8,2.04,34,50,3,3,0,24,31,3,3,0,yes
2025,GA,13013,Barrow,RVDPPPGHCGZ40J4VQ731,,122,61,17,2.04,58,55,9,0,0,32,24,5,0,0,yes
2025,GA,13013,Barrow,549300H3IZO24NSOO931,,74,59,13,1.97,58,15,1,0,0,47,11,1,0,0,yes
2025,GA,13013,Barrow,549300AG64NHILB7ZP05,,66,51,9,1.71,37,26,3,0,0,30,19,2,0,0,yes
2025,GA,13013,Barrow,549300LYRWPSYPK6S325,,130,49,13,1.64,11,80,39,0,0,3,30,16,0,0,yes
2025,GA,13013,Barrow,549300ZN5MIVRMVHJS09,,48,41,1,1.37,26,17,3,2,0,21,16,3,1,0,yes
2025,GA,13013,Barrow,JJKC32MCHWDI71265Z06,,97,41,45,1.37,94,3,0,0,0,39,2,0,0,0,yes
2025,GA,13013,Barrow,549300LBCBNR1OT00651,,56,40,7,1.34,36,16,4,0,0,28,11,1,0,0,yes
2025,GA,13013,Barrow,5493003GQDUH26DNNH17,,89,38,28,1.27,74,0,15,0,0,33,0,5,0,0,yes
2025,GA,13013,Barrow,549300XWUSRVVOHPRY47,,56,38,2,1.27,37,17,2,0,0,25,11,2,0,0,yes
2025,GA,13013,Barrow,549300DD5QQUHO6PCH70,,73,33,14,1.1,3,3,67,0,0,0,2,31,0,0,yes
2025,GA,13013,Barrow,549300E2UX99HKDBR481,,86,33,12,1.1,34,46,6,0,0,16,14,3,0,0,yes
2025,GA,13013,Barrow,549300RPOGWJRH63HS39,,44,33,0,1.1,28,12,3,1,0,21,8,3,1,0,yes
2025,GA,13013,Barrow,549300ZWNETGFXTBBY03,,40,31,0,1.04,14,20,4,2,0,9,16,4,2,0,yes
2025,GA,13013,Barrow,5493005JPZ3LXXMB0S24,,41,29,0,0.97,6,31,4,0,0,4,22,3,0,0,yes
2025,GA,13013,Barrow,549300FNXYY540N23N64,,94,28,20,0.94,40,43,10,1,0,13,8,6,1,0,yes
