lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,hawaii_originations,florida_originations,total_originations,priority_match,notes
XJCRTTYJVBMA22IXL619,Bank of Hawaii,,bank-of-hawaii,Bank of Hawaii,high,final4_curated+final4_gleif+lei_identity,1972,0,1972,high,final4_curated map for HI activity (1972 HI originations); slug=bank-of-hawaii.
WWJYKHS2UNKSDW8XLB53,First Hawaiian Bank,,first-hawaiian-bank,First Hawaiian Bank,high,final4_curated+final4_gleif+lei_identity,1586,0,1586,high,final4_curated map for HI activity (1586 HI originations); slug=first-hawaiian-bank.
549300BES7HNVKCDIM50,"AMERICAN SAVINGS BANK, NATIONAL ASSOCIATION",423168,american-savings-bank-hawaii,"American Savings Bank, National Association",high,final4_curated+final4_gleif+public_nmls,1416,0,1416,high,final4_curated map for HI activity (1416 HI originations); slug=american-savings-bank-hawaii.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,final4_curated+final4_gleif_reidentify+public_nmls,1281,0,1281,high,final4_curated map for HI activity (1281 HI originations); slug=united-wholesale-mortgage.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,final4_curated+final4_gleif_reidentify+public_nmls,1101,0,1101,high,final4_curated map for HI activity (1101 HI originations); slug=rocket-mortgage.
5493005VBGFDRV6FSU19,HAWAII STATE FEDERAL CREDIT UNION,,hawaii-state-federal-credit-union,Hawaii State Federal Credit Union,high,final4_curated+final4_gleif+lei_identity,847,0,847,high,final4_curated map for HI activity (847 HI originations); slug=hawaii-state-federal-credit-union.
549300Z6QWABFYI73E79,HAWAIIUSA,,hawaiiusa-federal-credit-union,HawaiiUSA Federal Credit Union,high,final4_curated+final4_gleif+lei_identity,777,0,777,high,final4_curated map for HI activity (777 HI originations); slug=hawaiiusa-federal-credit-union.
5493005R24FV5DFFXW42,Central Pacific Bank,,central-pacific-bank,Central Pacific Bank,high,final4_curated+final4_gleif+lei_identity,720,0,720,high,final4_curated map for HI activity (720 HI originations); slug=central-pacific-bank.
549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,2767,freedom-mortgage,Freedom Mortgage Corporation,high,final4_curated+final4_gleif_reidentify+public_nmls,516,0,516,high,final4_curated map for HI activity (516 HI originations); slug=freedom-mortgage.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,final4_curated+final4_gleif_reidentify+public_nmls,462,0,462,high,final4_curated map for HI activity (462 HI originations); slug=pennymac.
549300U3721PJGQZYY68,"GUARANTEED RATE, INC.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,final4_curated+final4_gleif_reidentify+public_nmls,443,0,443,high,final4_curated map for HI activity (443 HI originations); slug=guaranteed-rate.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,final4_curated+final4_gleif_reidentify+public_nmls,399,0,399,high,final4_curated map for HI activity (399 HI originations); slug=amerihome-mortgage.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,final4_curated+final4_gleif_reidentify+public_nmls,392,0,392,high,final4_curated map for HI activity (392 HI originations); slug=newrez.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,final4_curated+final4_gleif_reidentify+public_nmls,368,0,368,high,final4_curated map for HI activity (368 HI originations); slug=veterans-united-west-valley.
