lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,id_originations,states_with_originations,priority_match,idaho_originations
5493001PXRJMPLXPG540,,,,unmatched,17003,10608,9871,ID:9871;WA:612;AZ:83;OR:26;MT:6;UT:6;WY:2;NV:2,high,9871
549300B4IYL7TZT8FA34,,,,unmatched,8795,6038,1793,ID:1793;WA:655;CA:637;GA:512;NV:349;OR:242;MO:196;UT:193;TX:184;IL:180,high,1793
5493006S869XKIESMV41,,,,unmatched,21683,9830,1069,UT:7223;ID:1069;AZ:872;NV:431;MT:113;WY:33;CO:32;WA:25;OR:17;NM:15,high,1069
549300ESRQ6OLBB56N04,,,,unmatched,7688,4789,977,MT:1904;ID:977;WY:538;WA:420;UT:269;CO:259;AZ:240;TX:94;NV:75;NM:5,medium,977
5493006LGHJCBICSE610,,,,unmatched,1246,803,803,ID:803,medium,803
54930060G4MDPWHISD89,,,,unmatched,7514,5573,735,WA:2680;MT:816;ID:735;NV:455;OR:416;NM:180;FL:102;CA:66;AZ:51;GA:25,high,735
254900SUM1U8US3D2Z03,,,,unmatched,1268,739,733,ID:733;AZ:2;WA:1;OR:1;NV:1;MT:1,medium,733
254900LX8DA8FRHUUD51,,,,unmatched,1255,792,568,ID:568;WA:217;OR:6;AZ:1,medium,568
2549004FXPNKCLIN8250,,,,unmatched,11752,8115,550,OH:1310;TX:1261;CA:797;LA:765;CO:652;WA:606;ID:550;OR:532;IL:348;MT:180,high,550
5493009BD405QQTMXO12,,,,unmatched,8542,4943,535,FL:715;TX:681;ID:535;GA:355;CO:335;SC:304;NV:266;NJ:263;PA:256;NC:249,high,535
254900XRQ4U9ABU6F580,,,,unmatched,837,583,533,ID:533;UT:32;OR:11;AZ:1;FL:1;MD:1;DC:1;WY:1;VA:1;CA:1,medium,533
8WH0EE09O9V05QJZ3V89,,,,unmatched,17257,8981,517,UT:1755;CA:1647;TX:1522;AZ:1168;CO:1057;NV:1054;ID:517;WA:140;WY:48;NM:23,high,517
549300QFP6J5QSZVF805,,,,unmatched,2619,2030,428,AR:975;ID:428;LA:374;MS:196;TN:20;TX:11;FL:6;MO:4;UT:4;OK:2,medium,428
549300OP314BNT2VUU11,,,,unmatched,603,422,422,ID:422,low,422
5493003V40VGM7YDFM54,,,,unmatched,13160,8831,415,UT:2983;WI:802;CA:772;NJ:570;FL:427;ID:415;PA:374;TX:278;GA:253;TN:189,high,415
549300ZWNETGFXTBBY03,,,,unmatched,13173,8449,413,GA:1431;AL:1135;WA:886;TX:724;UT:506;ID:413;OK:337;TN:330;NC:313;NV:293,high,413
54930021WPEXNHYZUL09,,,,unmatched,18947,14467,411,TX:1597;FL:1206;GA:1125;CA:1003;PA:597;LA:585;VA:490;NC:417;OH:417;ID:411,high,411
549300LYL7JC81I5DV55,,,,unmatched,572,407,405,ID:405;UT:1;OR:1,low,405
254900N133DZGPB2X985,,,,unmatched,504,504,376,ID:376;WA:71;OR:39;MT:9;AZ:2;CA:2;KS:2;NV:1;OH:1;TX:1,medium,376
549300TUSRLWD8ETNR90,,,,unmatched,4292,2375,374,WA:1963;ID:374;OR:37;MT:1,medium,374
549300GS6ONO04ORI292,,,,unmatched,917,584,356,ID:356;OR:136;WA:44;MT:12;CA:4;FL:4;AL:2;TX:2;AK:2;CO:2,medium,356
549300ZUF2EI6H23YK94,,,,unmatched,637,368,355,ID:355;UT:8;NV:2;SC:1;WA:1;WY:1,low,355
549300GRGZDEH4ZGQS06,,,,unmatched,9623,7079,349,NM:2064;FL:832;OK:493;TX:430;VA:402;WI:395;AZ:386;ID:349;MO:235;MD:195,high,349
549300KOAKQX3BEWWT56,,,,unmatched,4334,3686,348,TX:1657;CA:448;ID:348;OR:317;UT:305;NV:254;WA:219;AZ:138,high,348
549300CY7WNAHKHYSJ73,,,,unmatched,9635,7642,319,TX:2279;WA:1370;NC:910;CO:589;OK:429;ID:319;CA:261;AK:250;NM:227;MT:218,high,319
5493008VVXQIDO1EZ460,,,,unmatched,8405,5759,300,CA:951;OR:805;TX:471;TN:425;GA:378;ID:300;WA:299;MO:295;IL:264;NV:241,high,300
549300P2GEYNMH5OQA71,,,,unmatched,2193,1422,289,WA:972;ID:289;OR:111;AZ:15;CA:9;MI:4;MT:3;MO:2;FL:2;UT:2,medium,289
5493007I0X1GRWIU8B34,,,,unmatched,22220,15271,283,UT:11759;NV:2393;AZ:780;ID:283;NM:48;CA:8,high,283
2549008TT6UNYR7AXF54,,,,unmatched,5231,3566,262,WA:697;CO:538;TX:487;NM:349;OR:322;AZ:282;ID:262;KS:218;CA:113;MI:91,high,262
IFQSIUC9AGQV2NE8CN25,,,,unmatched,8114,4843,258,OR:1939;WA:1846;CA:703;ID:258;AZ:46;NV:35;CO:8;UT:5;HI:1;AK:1,high,258
549300RFSMIRUODUVW59,,,,unmatched,4082,2443,236,MT:610;SD:364;OR:317;WY:306;IA:244;ID:236;NE:183;WA:79;AZ:31;CO:29,medium,236
549300N52O6FKUCU5G62,,,,unmatched,2860,1559,235,WA:1312;ID:235;OR:5;AZ:5;MT:2,medium,235
549300BLL6VL7AXWYP56,,,,unmatched,9652,6052,234,TN:627;TX:609;NE:513;MI:454;WA:351;ID:234;OR:219;OH:218;MD:194;CA:189,high,234
5493000PT0SXF8FBR107,,,,unmatched,223,214,214,ID:214,low,214
549300KHXD7JSQUZIJ22,,,,unmatched,9519,7038,193,TX:3092;NC:1185;AR:673;TN:487;WA:339;ID:193;FL:138;CO:126;MI:123;IN:91,high,193
549300BDHZAV4ZQHQV19,,,,unmatched,4697,3213,189,UT:3013;ID:189;NV:3;WY:2;WA:1;AL:1;GA:1;OR:1;NM:1;MT:1,medium,189
HUX2X73FUCYHUVH1BK78,,,,unmatched,15640,8717,180,NY:2485;OH:2071;WA:869;PA:597;IN:489;OR:470;CT:299;CO:227;ME:223;ID:180,high,180
549300715JT4HMT74E48,,,,unmatched,1112,602,171,WA:262;ID:171;MT:147;OR:22,medium,171
549300XRXBA38J60S618,,,,unmatched,1095,856,170,CA:561;ID:170;AZ:37;UT:13;NV:13;TN:10;FL:9;TX:8;MN:7;WA:7,high,170
549300KM40FP4MSQU941,,,,unmatched,22885,14331,159,WA:13589;AZ:169;ID:159;CA:148;OR:136;SC:65;MO:23;IL:18;PA:15;KS:9,high,159
549300VEMK0LXVCRZM49,,,,unmatched,223,161,153,ID:153;MT:4;WA:2;WY:1;UT:1,low,153
5493001HHBUTXHS7TZ96,,,,unmatched,6819,5353,147,CO:1121;AZ:971;CA:865;FL:614;NV:376;UT:300;WA:299;VA:210;ID:147;TN:115,high,147
WE0I402RW25AU38DTI13,,,,unmatched,6298,3391,135,WA:1842;OR:786;CA:627;ID:135;UT:1,high,135
5493002QI2ILHHZH8D20,,,,unmatched,12871,8821,120,TX:2250;CA:2009;FL:1371;AZ:982;NV:905;NC:493;CO:315;WA:280;ID:120;SC:96,high,120
54930016ZSB1QWXLRJ13,,,,unmatched,2033,1546,117,UT:1140;AR:241;ID:117;TX:8;MO:8;AZ:7;AL:7;OR:4;FL:4;CA:3,medium,117
549300S5FVOSK5DQJN30,,,,unmatched,5987,4500,115,UT:3672;CA:224;AZ:149;ID:115;WA:84;NV:54;NC:33;CO:31;TX:24;FL:20,medium,115
549300OHLAHJ10DFF198,,,,unmatched,918,679,110,UT:282;FL:120;ID:110;TX:72;NV:41;AZ:11;NE:8;TN:5;CA:4;CO:4,medium,110
549300XQ7B5FIVUNFE29,,,,unmatched,3603,2428,109,FL:652;MI:441;OH:213;TN:202;IN:187;NC:112;ID:109;NM:104;UT:84;TX:54,high,109
5493000FSLMV0FBEQY36,,,,unmatched,146,109,104,ID:104;CO:2;OR:2;WA:1,low,104
549300UT4EN6IH579Q63,,,,unmatched,4240,2872,103,TX:1923;FL:201;ID:103;WA:93;OH:82;GA:82;AZ:68;TN:66;CO:45;CA:44,high,103
549300ZYK1Z0EK2JC967,,,,unmatched,158,115,98,ID:98;MT:13;WY:2;UT:2,low,98
5493001B4U37VT2ML818,,,,unmatched,3368,2230,93,WA:2070;ID:93;OR:67,medium,93
549300Q02LGIN9AXKP98,,,,unmatched,6401,4168,92,OR:1545;WA:857;CA:824;CO:174;AZ:110;TX:97;ID:92;FL:66;GA:63;NC:48,high,92
549300HH0V8LECLNPQ26,,,,unmatched,2741,1903,92,OR:1751;ID:92;CA:50;NC:3;WA:1;GA:1;AZ:1;OH:1;TN:1;FL:1,medium,92
549300UVOSI4XZZGUE14,,,,unmatched,1987,942,85,UT:278;ID:85;NC:67;FL:61;GA:52;AZ:44;CA:43;SC:43;OH:42;IL:35,medium,85
549300JRDGV1559XM376,,,,unmatched,1517,904,85,NE:217;AZ:92;ID:85;TX:59;TN:59;CO:55;IL:53;IA:48;UT:47;CA:45,medium,85
549300EWGL0JGA62YY67,,,,unmatched,159,97,81,ID:81;WY:12;MO:2;CA:1;ND:1,low,81
549300RM1IZYGQDSNL85,,,,unmatched,6074,1623,52,FL:206;TX:167;TN:152;CO:123;KY:69;NC:60;OH:60;NY:56;MI:52;ID:52,high,52
549300UB5TJ0YPVPT503,,,,unmatched,3894,2690,49,CA:903;MN:314;WA:247;TX:215;OR:190;NV:184;TN:127;CO:109;AZ:99;ID:49,high,49
