lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,idaho_originations,florida_originations,total_originations,priority_match,notes
5493001PXRJMPLXPG540,IDAHO CENTRAL CREDIT UNION,,idaho-central-credit-union,Idaho Central Credit Union,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,9871,0,9871,high,id_mt_wy_curated map for ID activity (9871 ID originations); slug=idaho-central-credit-union.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3398,31530,3398,high,reuse_prior_state_curated_lei map for ID activity (3398 ID originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3036,49897,3036,high,reuse_prior_state_curated_lei map for ID activity (3036 ID originations); slug=united-wholesale-mortgage.
549300B4IYL7TZT8FA34,"PREMIER MORTGAGE RESOURCES, L.L.C.",,premier-mortgage-resources,"Premier Mortgage Resources, L.L.C.",high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,1793,0,1793,high,id_mt_wy_curated map for ID activity (1793 ID originations); slug=premier-mortgage-resources.
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,3274,guild-mortgage-metrowest,Guild Mortgage Company LLC,high,id_mt_wy_curated+id_mt_wy_gleif_reidentify+public_nmls,1757,0,1757,high,id_mt_wy_curated map for ID activity (1757 ID originations); slug=guild-mortgage-metrowest.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1178,2279,1178,high,reuse_prior_state_curated_lei map for ID activity (1178 ID originations); slug=us-bank.
549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",174457,loandepot,"loanDepot.com, LLC",high,id_mt_wy_curated+id_mt_wy_gleif_reidentify+public_nmls,1119,0,1119,high,id_mt_wy_curated map for ID activity (1119 ID originations); slug=loandepot.
5493006S869XKIESMV41,Mountain America Federal Credit Union,,mountain-america-federal-credit-union,Mountain America Federal Credit Union,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,1069,0,1069,high,id_mt_wy_curated map for ID activity (1069 ID originations); slug=mountain-america-federal-credit-union.
549300ESRQ6OLBB56N04,Glacier Bank,,glacier-bank,Glacier Bank,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,977,0,977,high,id_mt_wy_curated map for ID activity (977 ID originations); slug=glacier-bank.
5493006LGHJCBICSE610,WESTMARK Credit Union,,westmark-credit-union,Westmark Credit Union,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,803,0,803,high,id_mt_wy_curated map for ID activity (803 ID originations); slug=westmark-credit-union.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,793,4388,793,high,reuse_prior_state_curated_lei map for ID activity (793 ID originations); slug=amerihome-mortgage.
549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",39179,movement-mortgage-myrtle-beach,"Movement Mortgage, LLC",high,id_mt_wy_curated+id_mt_wy_gleif_reidentify+public_nmls,787,0,787,high,id_mt_wy_curated map for ID activity (787 ID originations); slug=movement-mortgage-myrtle-beach.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,id_mt_wy_curated+id_mt_wy_gleif_reidentify+public_nmls,760,0,760,high,id_mt_wy_curated map for ID activity (760 ID originations); slug=pennymac.
54930060G4MDPWHISD89,EVERGREEN MONEYSOURCE MORTGAGE COMPANY,,evergreen-moneysource-mortgage,Evergreen MoneySource Mortgage Company,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,735,0,735,high,id_mt_wy_curated map for ID activity (735 ID originations); slug=evergreen-moneysource-mortgage.
254900SUM1U8US3D2Z03,First Federal Savings Bank of Twin Falls,,first-federal-savings-bank-twin-falls,First Federal Savings Bank of Twin Falls,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,733,0,733,high,id_mt_wy_curated map for ID activity (733 ID originations); slug=first-federal-savings-bank-twin-falls.
549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage Corporation,high,id_mt_wy_curated+id_mt_wy_gleif_reidentify+public_nmls,707,0,707,high,id_mt_wy_curated map for ID activity (707 ID originations); slug=fairway-mortgage-augusta-sheppard.
549300KIOYNU323LVJ37,AMERICAN PACIFIC MORTGAGE CORPORATION,1850,american-pacific-mortgage-inland-empire,American Pacific Mortgage (Inland Empire),medium,reuse_prior_state_curated_lei+gleif_name_to_directory,703,1750,703,high,reuse_prior_state_curated_lei map for ID activity (703 ID originations); slug=american-pacific-mortgage-inland-empire.
549300U3721PJGQZYY68,"GUARANTEED RATE, INC.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,id_mt_wy_curated+id_mt_wy_gleif_reidentify+public_nmls,643,0,643,high,id_mt_wy_curated map for ID activity (643 ID originations); slug=guaranteed-rate.
549300MZ8VZJOVC63092,"KIND LENDING, LLC",3925,kind-lending,"Kind Lending, LLC",high,reuse_prior_state_curated_lei+ca_curated+ca_curated_gleif+public_nmls,578,0,578,high,reuse_prior_state_curated_lei map for ID activity (578 ID originations); slug=kind-lending.
254900LX8DA8FRHUUD51,Potlatch No. 1 Financial Credit Union,,potlatch-no-1-financial-credit-union,Potlatch No. 1 Financial Credit Union,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,568,0,568,high,id_mt_wy_curated map for ID activity (568 ID originations); slug=potlatch-no-1-financial-credit-union.
8WH0EE09O9V05QJZ3V89,"Zions Bancorporation, N.A.",467014,zions-bank,"Zions Bancorporation, N.A.",high,reuse_prior_state_curated_lei+ut_nv_curated+ut_nv_reuse_directory+public_nmls,517,0,517,high,reuse_prior_state_curated_lei map for ID activity (517 ID originations); slug=zions-bank.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,id_mt_wy_curated+id_mt_wy_gleif_reidentify+public_nmls,515,0,515,high,id_mt_wy_curated map for ID activity (515 ID originations); slug=veterans-united-west-valley.
549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",3029,crosscountry-mortgage-metrowest,"CrossCountry Mortgage, LLC",high,id_mt_wy_curated+id_mt_wy_gleif_reidentify+public_nmls,492,0,492,high,id_mt_wy_curated map for ID activity (492 ID originations); slug=crosscountry-mortgage-metrowest.
