year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,IL,17031,Cook,149892,81303,27713,18.49,70964,48200,30728,47.34,32.16,127274,18098,4511,9,0,84.91,12.07,3.01,71008,8058,2230,7,0,87.34,9.91,2.74,national
2025,IL,17043,DuPage,29846,18219,4390,14.71,12070,10410,7366,40.44,34.88,27347,1767,730,2,0,91.63,5.92,2.45,16957,878,383,1,0,93.07,4.82,2.1,national
2025,IL,17197,Will,28354,16623,4829,17.03,11937,9512,6905,42.1,33.55,23216,3783,1347,8,0,81.88,13.34,4.75,14020,1834,762,7,0,84.34,11.03,4.58,national
2025,IL,17097,Lake,24947,14702,3849,15.43,10594,8611,5742,42.47,34.52,21406,2168,1373,0,0,85.81,8.69,5.5,12890,1030,782,0,0,87.68,7.01,5.32,national
2025,IL,17089,Kane,18740,11763,2907,15.51,8066,5940,4734,43.04,31.7,15952,2116,670,2,0,85.12,11.29,3.58,10232,1120,410,1,0,86.98,9.52,3.49,national
2025,IL,17111,McHenry,13491,8411,2030,15.05,5643,4438,3410,41.83,32.9,11137,1606,747,1,0,82.55,11.9,5.54,7056,910,444,1,0,83.89,10.82,5.28,national
2025,IL,17119,Madison,10177,6489,1583,15.55,4781,3018,2378,46.98,29.66,7727,1458,951,41,0,75.93,14.33,9.34,5032,862,566,29,0,77.55,13.28,8.72,national
2025,IL,17201,Winnebago,9896,6133,1687,17.05,4503,3062,2331,45.5,30.94,8089,1306,500,1,0,81.74,13.2,5.05,5115,719,299,0,0,83.4,11.72,4.88,national
2025,IL,17163,St. Clair,9864,5770,1820,18.45,4451,3355,2058,45.12,34.01,6383,1301,2146,34,0,64.71,13.19,21.76,3730,682,1334,24,0,64.64,11.82,23.12,national
2025,IL,17167,Sangamon,6567,4516,866,13.19,3503,1917,1147,53.34,29.19,5462,577,500,28,0,83.17,8.79,7.61,3868,332,297,19,0,85.65,7.35,6.58,national
2025,IL,17093,Kendall,6540,4039,1041,15.92,2699,2270,1571,41.27,34.71,5120,1031,389,0,0,78.29,15.76,5.95,3253,563,223,0,0,80.54,13.94,5.52,national
2025,IL,17143,Peoria,5488,3551,778,14.18,2844,1397,1247,51.82,25.46,4514,623,338,13,0,82.25,11.35,6.16,2960,379,201,11,0,83.36,10.67,5.66,national
2025,IL,17113,McLean,5057,3473,658,13.01,2448,1519,1090,48.41,30.04,4314,388,340,15,0,85.31,7.67,6.72,3035,218,209,11,0,87.39,6.28,6.02,national
2025,IL,17019,Champaign,4760,3187,600,12.61,2602,1408,750,54.66,29.58,3920,533,288,19,0,82.35,11.2,6.05,2709,285,178,15,0,85.0,8.94,5.59,national
2025,IL,17179,Tazewell,4443,2889,648,14.58,1981,1293,1169,44.59,29.1,3486,588,355,14,0,78.46,13.23,7.99,2341,329,211,8,0,81.03,11.39,7.3,national
2025,IL,17161,Rock Island,4530,2872,681,15.03,2320,1346,864,51.21,29.71,3537,640,349,4,0,78.08,14.13,7.7,2301,381,189,1,0,80.12,13.27,6.58,national
2025,IL,17037,DeKalb,3417,2152,500,14.63,1700,1039,678,49.75,30.41,2634,543,235,5,0,77.09,15.89,6.88,1704,308,136,4,0,79.18,14.31,6.32,national
2025,IL,17091,Kankakee,3550,2072,666,18.76,1752,1161,637,49.35,32.7,2704,576,265,5,0,76.17,16.23,7.46,1593,339,135,5,0,76.88,16.36,6.52,national
2025,IL,17099,LaSalle,3024,1951,479,15.84,1593,884,547,52.68,29.23,2345,464,184,31,0,77.55,15.34,6.08,1576,252,105,18,0,80.78,12.92,5.38,national
2025,IL,17115,Macon,3079,1895,539,17.51,1693,763,623,54.99,24.78,2273,554,246,6,0,73.82,17.99,7.99,1440,312,140,3,0,75.99,16.46,7.39,national
2025,IL,17063,Grundy,1935,1248,272,14.06,904,641,390,46.72,33.13,1520,293,120,2,0,78.55,15.14,6.2,1011,167,70,0,0,81.01,13.38,5.61,national
2025,IL,17199,Williamson,1890,1127,306,16.19,1039,548,303,54.97,28.99,1303,287,235,65,0,68.94,15.19,12.43,779,168,141,39,0,69.12,14.91,12.51,national
2025,IL,17183,Vermilion,1740,1109,311,17.87,857,571,312,49.25,32.82,1278,243,187,32,0,73.45,13.97,10.75,857,126,99,27,0,77.28,11.36,8.93,national
2025,IL,17007,Boone,1851,1096,334,18.04,811,577,463,43.81,31.17,1437,297,117,0,0,77.63,16.05,6.32,880,154,62,0,0,80.29,14.05,5.66,national
2025,IL,17141,Ogle,1497,1001,194,12.96,730,499,268,48.76,33.33,1155,183,141,18,0,77.15,12.22,9.42,797,111,83,10,0,79.62,11.09,8.29,national
2025,IL,17073,,1444,960,179,12.4,739,415,290,51.18,28.74,1109,192,128,15,0,76.8,13.3,8.86,757,117,76,10,0,78.85,12.19,7.92,national
2025,IL,17203,,1278,863,180,14.08,602,361,315,47.1,28.25,1089,109,71,9,0,85.21,8.53,5.56,762,57,39,5,0,88.3,6.6,4.52,national
2025,IL,17133,,1278,851,163,12.75,545,426,307,42.64,33.33,1004,122,140,12,0,78.56,9.55,10.95,694,68,80,9,0,81.55,7.99,9.4,national
2025,IL,17117,,1430,834,267,18.67,702,386,342,49.09,26.99,1052,199,133,46,0,73.57,13.92,9.3,641,101,68,24,0,76.86,12.11,8.15,national
2025,IL,17195,,1283,811,213,16.6,654,394,235,50.97,30.71,906,219,127,31,0,70.62,17.07,9.9,602,112,76,21,0,74.23,13.81,9.37,national
