lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,illinois_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,11970,31530,11970,high,reuse_prior_state_curated_lei map for IL activity (11970 IL originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,11397,49897,11397,high,reuse_prior_state_curated_lei map for IL activity (11397 IL originations); slug=united-wholesale-mortgage.
549300U3721PJGQZYY68,Nationstar Mortgage LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,10217,3204,10217,high,reuse_prior_state_curated_lei map for IL activity (10217 IL originations); slug=mr-cooper.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,8778,6131,8778,high,reuse_prior_state_curated_lei map for IL activity (8778 IL originations); slug=jpmorgan-chase-bank.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,5600,11987,5600,high,reuse_prior_state_curated_lei map for IL activity (5600 IL originations); slug=freedom-mortgage.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,4571,2279,4571,high,reuse_prior_state_curated_lei map for IL activity (4571 IL originations); slug=us-bank.
2WHM8VNJH63UN14OL754,The Huntington National Bank,402436,huntington-national-bank,The Huntington National Bank,high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+pa_curated+gleif+huntington_nmls,4352,0,4352,high,reuse_prior_state_curated_lei map for IL activity (4352 IL originations); slug=huntington-national-bank.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,4241,7460,4241,high,reuse_prior_state_curated_lei map for IL activity (4241 IL originations); slug=pennymac.
549300MGPZBLQDIL7538,"PrimeLending, a PlainsCapital Company",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_prior_state_curated_lei+curated_lei+directory_name,4215,3153,4215,high,reuse_prior_state_curated_lei map for IL activity (4215 IL originations); slug=primelending-columbus.
QFROUN1UWUYU0DVIWD51,"Eagle Home Mortgage, LLC",2925,eagle-home-mortgage,"Eagle Home Mortgage, LLC",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+curated_lei_public_nmls,4111,3553,4111,high,reuse_prior_state_curated_lei map for IL activity (4111 IL originations); slug=eagle-home-mortgage.
549300W4FT4H1UWPGU95,GREENSTATE Credit Union,1495,greenstate-credit-union,GreenState Credit Union,high,il_oh_curated+il_oh_curated_gleif+public_nmls,3954,0,3954,high,il_oh_curated map for IL activity (3954 IL originations); slug=greenstate-credit-union.
3Y4U8VZURTYWI1W2K376,BMO Bank National Association,401052,bmo-bank,BMO Bank National Association,high,il_oh_curated+il_oh_deepen_gleif+public_nmls,3906,0,3906,high,il_oh_curated map for IL activity (3906 IL originations); slug=bmo-bank.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3711,3475,3711,high,reuse_prior_state_curated_lei map for IL activity (3711 IL originations); slug=pnc-bank.
549300E2UX99HKDBR481,"Broker Solutions, Inc.",6606,new-american-funding,"Broker Solutions, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3581,3881,3581,high,reuse_prior_state_curated_lei map for IL activity (3581 IL originations); slug=new-american-funding.
549300DD5QQUHO6PCH70,"Movement Mortgage, LLC",39179,movement-mortgage-myrtle-beach,Movement Mortgage — Myrtle Beach,high,reuse_prior_state_curated_lei+curated_lei+directory_name,2965,5506,2965,high,reuse_prior_state_curated_lei map for IL activity (2965 IL originations); slug=movement-mortgage-myrtle-beach.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2889,7938,2889,high,reuse_prior_state_curated_lei map for IL activity (2889 IL originations); slug=guaranteed-rate.
549300AQ3T62GXDU7D76,Ally Bank,181005,ally-bank,Ally Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2870,2790,2870,high,reuse_prior_state_curated_lei map for IL activity (2870 IL originations); slug=ally-bank.
549300YD7XJM19TH5O82,CITIZENS EQUITY FIRST CREDIT UNION,407798,cefcu,Citizens Equity First Credit Union (CEFCU),high,il_oh_curated+il_oh_curated_gleif+public_nmls,2769,0,2769,high,il_oh_curated map for IL activity (2769 IL originations); slug=cefcu.
C398JSK21YCXWM603F55,"Barrington Bank & Trust Company, National Association",449042,wintrust-mortgage,Wintrust Mortgage (division of Barrington Bank & Trust),high,il_oh_curated+il_oh_deepen_gleif+public_nmls,2719,0,2719,high,il_oh_curated map for IL activity (2719 IL originations); slug=wintrust-mortgage.
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,reuse_prior_state_curated_lei+curated_lei+directory_name,2485,9704,2485,high,reuse_prior_state_curated_lei map for IL activity (2485 IL originations); slug=fairway-mortgage-augusta-sheppard.
