lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,indiana_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,9736,31530,9736,high,reuse_prior_state_curated_lei map for IN activity (9736 IN originations); slug=rocket-mortgage.
549300GSCUJKJINRJ980,"RUOFF MORTGAGE COMPANY, INC.",141868,ruoff-mortgage,"Ruoff Mortgage Company, Inc.",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+il_oh_curated+il_oh_curated_gleif+public_nmls,6870,0,6870,high,reuse_prior_state_curated_lei map for IN activity (6870 IN originations); slug=ruoff-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,6308,49897,6308,high,reuse_prior_state_curated_lei map for IN activity (6308 IN originations); slug=united-wholesale-mortgage.
QFROUN1UWUYU0DVIWD51,"Eagle Home Mortgage, LLC",2925,eagle-home-mortgage,"Eagle Home Mortgage, LLC",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+curated_lei_public_nmls,4817,3553,4817,high,reuse_prior_state_curated_lei map for IN activity (4817 IN originations); slug=eagle-home-mortgage.
549300MGPZBLQDIL7538,"PrimeLending, a PlainsCapital Company",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_prior_state_curated_lei+curated_lei+directory_name,3665,3153,3665,high,reuse_prior_state_curated_lei map for IN activity (3665 IN originations); slug=primelending-columbus.
S0Q3AHZRL5K6VQE35M07,First Merchants Bank,,first-merchants-bank,First Merchants Bank,high,mi_in_curated+mi_in_curated_gleif+lei_identity,3248,0,3248,high,mi_in_curated map for IN activity (3248 IN originations); slug=first-merchants-bank.
54930077D8KXQADF5Q23,"GVC MORTGAGE, INC.",2334,gvc-mortgage,"GVC Mortgage, Inc.",high,mi_in_curated+mi_in_curated_gleif+public_nmls,3231,0,3231,high,mi_in_curated map for IN activity (3231 IN originations); slug=gvc-mortgage.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2857,6131,2857,high,reuse_prior_state_curated_lei map for IN activity (2857 IN originations); slug=jpmorgan-chase-bank.
MV4O55SH8HO6KQSGW013,First Financial Bank,619717,first-financial-bank-ohio,First Financial Bank (Ohio),high,reuse_prior_state_curated_lei+il_oh_curated+il_oh_deepen_gleif+public_nmls,2821,0,2821,high,reuse_prior_state_curated_lei map for IN activity (2821 IN originations); slug=first-financial-bank-ohio.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2802,3475,2802,high,reuse_prior_state_curated_lei map for IN activity (2802 IN originations); slug=pnc-bank.
549300AT7EB9FJAF0E61,Old National Bank,459308,old-national-bank,Old National Bank,high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+il_oh_curated+il_oh_curated_gleif+public_nmls,2746,0,2746,high,reuse_prior_state_curated_lei map for IN activity (2746 IN originations); slug=old-national-bank.
