year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,IN,549300FGXN1K3HLB1R50,,13692,9736,18097:1340; 18089:748; 18057:653; 18003:430; 18141:391,6902,2193,641,0,0,70.89,22.52,6.58,national
2025,IN,549300GSCUJKJINRJ980,,8859,6870,18003:898; 18097:466; 18141:428; 18039:292; 18105:248,4655,1684,330,201,0,67.76,24.51,4.8,national
2025,IN,549300HW662MN1WU8550,,8659,6308,18097:1339; 18057:540; 18089:416; 18063:294; 18019:289,3524,1620,1146,18,0,55.87,25.68,18.17,national
2025,IN,QFROUN1UWUYU0DVIWD51,,8693,4817,18097:555; 18003:426; 18057:346; 18163:304; 18089:283,4575,186,43,13,0,94.98,3.86,0.89,national
2025,IN,549300MGPZBLQDIL7538,,4904,3665,18097:697; 18057:414; 18089:329; 18003:321; 18063:163,2607,828,192,38,0,71.13,22.59,5.24,national
2025,IN,S0Q3AHZRL5K6VQE35M07,,5114,3248,18003:477; 18157:319; 18035:286; 18095:235; 18089:208,3152,83,10,3,0,97.04,2.56,0.31,national
2025,IN,54930077D8KXQADF5Q23,,4042,3231,18097:578; 18057:257; 18081:240; 18003:230; 18109:134,2180,729,152,170,0,67.47,22.56,4.7,national
2025,IN,7H6GLXDRUGQFU57RNE97,,4366,2857,18097:520; 18089:390; 18057:293; 18003:201; 18127:134,2707,115,35,0,0,94.75,4.03,1.23,national
2025,IN,MV4O55SH8HO6KQSGW013,,4270,2821,18089:293; 18005:228; 18177:216; 18097:160; 18057:145,2739,60,9,13,0,97.09,2.13,0.32,national
2025,IN,AD6GFRVSDT01YPT1CS68,,4724,2802,18097:499; 18057:262; 18095:226; 18003:217; 18063:144,2745,48,8,1,0,97.97,1.71,0.29,national
