year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,IA,19153,Polk,20740,13859,2549,12.29,9852,5666,5222,47.5,27.32,17346,2131,1227,36,0,83.64,10.27,5.92,11890,1212,727,30,0,85.79,8.75,5.25,national
2025,IA,19113,Linn,9622,6849,1067,11.09,4997,2691,1934,51.93,27.97,8363,717,519,23,0,86.92,7.45,5.39,6078,443,310,18,0,88.74,6.47,4.53,national
2025,IA,19163,Scott,6539,4496,745,11.39,3347,1924,1268,51.19,29.42,5218,721,592,8,0,79.8,11.03,9.05,3693,429,367,7,0,82.14,9.54,8.16,national
2025,IA,19103,Johnson,5814,4374,476,8.19,3200,1469,1145,55.04,25.27,5424,201,176,13,0,93.29,3.46,3.03,4140,103,122,9,0,94.65,2.35,2.79,national
2025,IA,19049,Dallas,5457,3942,513,9.4,2949,1423,1085,54.04,26.08,4686,462,294,15,0,85.87,8.47,5.39,3469,269,194,10,0,88.0,6.82,4.92,national
2025,IA,19013,Black Hawk,5281,3796,569,10.77,2434,1426,1421,46.09,27.0,4903,197,179,2,0,92.84,3.73,3.39,3585,104,106,1,0,94.44,2.74,2.79,national
2025,IA,19061,Dubuque,3625,2695,460,12.69,1657,883,1085,45.71,24.36,3295,163,160,7,0,90.9,4.5,4.41,2513,101,76,5,0,93.25,3.75,2.82,national
2025,IA,19155,Pottawattamie,3939,2568,559,14.19,1819,1221,899,46.18,31.0,2989,594,322,34,0,75.88,15.08,8.17,2004,343,198,23,0,78.04,13.36,7.71,national
2025,IA,19193,Woodbury,3095,2082,481,15.54,1551,1082,462,50.11,34.96,2465,421,198,11,0,79.64,13.6,6.4,1740,223,112,7,0,83.57,10.71,5.38,national
2025,IA,19181,Warren,2738,1920,309,11.29,1295,885,558,47.3,32.32,2185,279,250,24,0,79.8,10.19,9.13,1578,161,165,16,0,82.19,8.39,8.59,national
2025,IA,19169,Story,2365,1680,254,10.74,1223,625,517,51.71,26.43,2047,158,145,15,0,86.55,6.68,6.13,1496,90,81,13,0,89.05,5.36,4.82,national
2025,IA,19099,Jasper,1510,1030,187,12.38,679,484,347,44.97,32.05,1061,242,145,62,0,70.26,16.03,9.6,758,151,78,43,0,73.59,14.66,7.57,national
2025,IA,19045,Clinton,1221,811,181,14.82,607,418,196,49.71,34.23,837,256,119,9,0,68.55,20.97,9.75,587,148,70,6,0,72.38,18.25,8.63,national
2025,IA,19139,Muscatine,1257,802,219,17.42,540,391,326,42.96,31.11,1005,152,95,5,0,79.95,12.09,7.56,665,88,45,4,0,82.92,10.97,5.61,national
2025,IA,19017,Bremer,1018,794,79,7.76,434,330,254,42.63,32.42,931,36,43,8,0,91.45,3.54,4.22,746,15,26,7,0,93.95,1.89,3.27,national
2025,IA,19011,,1086,781,95,8.75,491,348,247,45.21,32.04,900,86,69,31,0,82.87,7.92,6.35,666,44,51,20,0,85.28,5.63,6.53,national
2025,IA,19015,,1121,722,184,16.41,471,370,280,42.02,33.01,859,141,100,21,0,76.63,12.58,8.92,577,72,58,15,0,79.92,9.97,8.03,national
2025,IA,19183,,951,699,117,12.3,440,289,222,46.27,30.39,826,67,38,20,0,86.86,7.05,4.0,629,30,26,14,0,89.99,4.29,3.72,national
2025,IA,19125,,1009,675,136,13.48,488,353,168,48.36,34.99,801,124,71,13,0,79.39,12.29,7.04,563,59,44,9,0,83.41,8.74,6.52,national
2025,IA,19127,,1019,674,167,16.39,487,294,238,47.79,28.85,784,165,63,7,0,76.94,16.19,6.18,534,94,42,4,0,79.23,13.95,6.23,national
2025,IA,19187,,928,627,135,14.55,458,284,186,49.35,30.6,729,141,56,2,0,78.56,15.19,6.03,501,89,36,1,0,79.9,14.19,5.74,national
2025,IA,19167,,793,600,76,9.58,513,191,89,64.69,24.09,696,55,29,13,0,87.77,6.94,3.66,553,27,13,7,0,92.17,4.5,2.17,national
