year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,KS,20091,Johnson,23638,15821,2753,11.65,10680,7091,5867,45.18,30.0,20860,1679,1087,12,0,88.25,7.1,4.6,14198,946,667,10,0,89.74,5.98,4.22,national
2025,KS,20173,Sedgwick,19597,12454,3022,15.42,9646,6376,3575,49.22,32.54,14896,2591,2060,50,0,76.01,13.22,10.51,9658,1555,1210,31,0,77.55,12.49,9.72,national
2025,KS,20177,Shawnee,6227,4060,1032,16.57,2848,2039,1340,45.74,32.74,4796,773,651,7,0,77.02,12.41,10.45,3193,444,418,5,0,78.65,10.94,10.3,national
2025,KS,20209,Wyandotte,5775,3239,1084,18.77,2604,1945,1226,45.09,33.68,4365,1016,392,2,0,75.58,17.59,6.79,2496,537,205,1,0,77.06,16.58,6.33,national
2025,KS,20045,Douglas,3332,2242,418,12.55,1610,1068,654,48.32,32.05,2810,276,242,4,0,84.33,8.28,7.26,1916,167,156,3,0,85.46,7.45,6.96,national
2025,KS,20103,Leavenworth,3213,2051,423,13.17,1447,1218,548,45.04,37.91,2049,403,751,10,0,63.77,12.54,23.37,1310,253,481,7,0,63.87,12.34,23.45,national
2025,KS,20015,Butler,2947,1957,414,14.05,1393,980,574,47.27,33.25,2202,396,314,35,0,74.72,13.44,10.65,1494,246,194,23,0,76.34,12.57,9.91,national
2025,KS,20155,Reno,1830,1229,230,12.57,871,605,354,47.6,33.06,1380,296,138,16,0,75.41,16.17,7.54,957,179,82,11,0,77.87,14.56,6.67,national
2025,KS,20161,Riley,1798,1191,221,12.29,1114,518,166,61.96,28.81,1307,100,378,13,0,72.69,5.56,21.02,882,54,245,10,0,74.06,4.53,20.57,national
2025,KS,20121,Miami,1420,918,202,14.23,630,487,303,44.37,34.3,1070,196,129,25,0,75.35,13.8,9.08,701,112,89,16,0,76.36,12.2,9.69,national
2025,KS,20061,Geary,1314,806,171,13.01,749,458,107,57.0,34.86,429,83,788,14,0,32.65,6.32,59.97,256,41,498,11,0,31.76,5.09,61.79,national
2025,KS,20079,Harvey,1163,749,166,14.27,547,379,237,47.03,32.59,856,186,112,9,0,73.6,15.99,9.63,578,106,60,5,0,77.17,14.15,8.01,national
2025,KS,20059,,1083,688,168,15.51,513,358,212,47.37,33.06,742,218,98,25,0,68.51,20.13,9.05,476,137,58,17,0,69.19,19.91,8.43,national
2025,KS,20037,,1007,633,137,13.6,524,299,184,52.04,29.69,712,165,69,61,0,70.71,16.39,6.85,479,92,25,37,0,75.67,14.53,3.95,national
2025,KS,20149,Pottawatomie,924,628,117,12.66,436,384,104,47.19,41.56,645,72,201,6,0,69.81,7.79,21.75,459,41,126,2,0,73.09,6.53,20.06,national
2025,KS,20169,Saline,982,610,161,16.4,488,346,148,49.69,35.23,632,181,169,0,0,64.36,18.43,17.21,391,114,105,0,0,64.1,18.69,17.21,national
