lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,kansas_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3859,31530,3859,high,reuse_prior_state_curated_lei map for KS activity (3859 KS originations); slug=rocket-mortgage.
5493002QRULT2T40BH09,COMMUNITYAMERICA FEDERAL CREDIT UNION,,communityamerica-federal-credit-union,CommunityAmerica Federal Credit Union,high,reuse_prior_state_curated_lei+mo_ky_curated+mo_ky_gleif+lei_identity,2521,0,2521,high,reuse_prior_state_curated_lei map for KS activity (2521 KS originations); slug=communityamerica-federal-credit-union.
549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage Corporation,high,ia_ks_ne_curated+ia_ks_ne_gleif_reidentify+public_nmls,1876,0,1876,high,ia_ks_ne_curated map for KS activity (1876 KS originations); slug=fairway-mortgage-augusta-sheppard.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1838,49897,1838,high,reuse_prior_state_curated_lei map for KS activity (1838 KS originations); slug=united-wholesale-mortgage.
549300C61LNGA8J8EF85,Capitol Federal Savings Bank,,capitol-federal-savings-bank,Capitol Federal Savings Bank,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,1384,0,1384,high,ia_ks_ne_curated map for KS activity (1384 KS originations); slug=capitol-federal-savings-bank.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,ia_ks_ne_curated+ia_ks_ne_gleif_reidentify+public_nmls,1308,0,1308,high,ia_ks_ne_curated map for KS activity (1308 KS originations); slug=veterans-united-west-valley.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,ia_ks_ne_curated+ia_ks_ne_gleif_reidentify+public_nmls,1217,0,1217,high,ia_ks_ne_curated map for KS activity (1217 KS originations); slug=pennymac.
549300LXKO1O7CSK5J52,"FLAT BRANCH MORTGAGE, INC.",,flat-branch-mortgage,"Flat Branch Mortgage, Inc.",high,reuse_prior_state_curated_lei+mo_ky_curated+mo_ky_gleif+lei_identity,1216,0,1216,high,reuse_prior_state_curated_lei map for KS activity (1216 KS originations); slug=flat-branch-mortgage.
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,3274,guild-mortgage-metrowest,Guild Mortgage Company LLC,high,ia_ks_ne_curated+ia_ks_ne_gleif_reidentify+public_nmls,1155,0,1155,high,ia_ks_ne_curated map for KS activity (1155 KS originations); slug=guild-mortgage-metrowest.
549300RRQHIHHM9I4K21,CREDIT UNION OF AMERICA,,credit-union-of-america,Credit Union of America,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,1143,0,1143,high,ia_ks_ne_curated map for KS activity (1143 KS originations); slug=credit-union-of-america.
549300O0SJ54M4D70R54,MERITRUST Federal Credit Union,,meritrust-federal-credit-union,Meritrust Federal Credit Union,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,852,0,852,high,ia_ks_ne_curated map for KS activity (852 KS originations); slug=meritrust-federal-credit-union.
549300L9MOPDT0NKE883,"Fidelity Bank, National Association",,fidelity-bank-kansas,"Fidelity Bank, National Association",high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,805,0,805,high,ia_ks_ne_curated map for KS activity (805 KS originations); slug=fidelity-bank-kansas.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,772,2279,772,high,reuse_prior_state_curated_lei map for KS activity (772 KS originations); slug=us-bank.
7DMUJTL9FFTVIAG9H788,Commerce Bank,,commerce-bank,Commerce Bank,high,reuse_prior_state_curated_lei+mo_ky_curated+mo_ky_gleif+lei_identity,751,0,751,high,reuse_prior_state_curated_lei map for KS activity (751 KS originations); slug=commerce-bank.
COINQMNIM6RBU631DD85,Arvest Bank,,arvest-bank,Arvest Bank,high,reuse_prior_state_curated_lei+mo_ky_curated+mo_ky_gleif+lei_identity,735,0,735,high,reuse_prior_state_curated_lei map for KS activity (735 KS originations); slug=arvest-bank.
549300FV8093AKDLHQ80,Envista Federal Credit Union,,envista-federal-credit-union,Envista Federal Credit Union,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,712,0,712,high,ia_ks_ne_curated map for KS activity (712 KS originations); slug=envista-federal-credit-union.
549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,2767,freedom-mortgage,Freedom Mortgage Corporation,high,ia_ks_ne_curated+ia_ks_ne_gleif_reidentify+public_nmls,697,0,697,high,ia_ks_ne_curated map for KS activity (697 KS originations); slug=freedom-mortgage.
D32W5EBLENJC27207O81,Emprise Bank,,emprise-bank,Emprise Bank,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,598,0,598,high,ia_ks_ne_curated map for KS activity (598 KS originations); slug=emprise-bank.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,593,3546,593,high,reuse_prior_state_curated_lei map for KS activity (593 KS originations); slug=mr-cooper.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,578,7938,578,high,reuse_prior_state_curated_lei map for KS activity (578 KS originations); slug=guaranteed-rate.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,576,11987,576,high,reuse_prior_state_curated_lei map for KS activity (576 KS originations); slug=freedom-mortgage.
54930034MNPILHP25H80,Gateway First Bank,7233,gateway-mortgage-myrtle-beach,Gateway First Bank,high,reuse_prior_state_curated_lei+sc_curated+sc_curated_gleif+public_nmls+sc_directory,533,0,533,high,reuse_prior_state_curated_lei map for KS activity (533 KS originations); slug=gateway-mortgage-myrtle-beach.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,reuse_prior_state_curated_lei+curated_lei+directory_name,515,8416,515,high,reuse_prior_state_curated_lei map for KS activity (515 KS originations); slug=navy-federal-jacksonville.
549300121SF0K2LN2804,"PRIMELENDING, A PLAINSCAPITAL COMPANY",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_prior_state_curated_lei+gleif_name_to_directory,461,931,461,medium,reuse_prior_state_curated_lei map for KS activity (461 KS originations); slug=primelending-columbus.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,450,7460,450,medium,reuse_prior_state_curated_lei map for KS activity (450 KS originations); slug=pennymac.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,392,5643,392,medium,reuse_prior_state_curated_lei map for KS activity (392 KS originations); slug=newrez.
549300UF3FPC7U6RFC59,The Central Trust Bank,,central-trust-bank,The Central Trust Bank,high,reuse_prior_state_curated_lei+mo_ky_curated+mo_ky_gleif+lei_identity,353,0,353,medium,reuse_prior_state_curated_lei map for KS activity (353 KS originations); slug=central-trust-bank.
549300WYBPIWKK6SQC06,Bell Bank,,bell-bank,Bell Bank,high,reuse_prior_state_curated_lei+wi_mn_curated+wi_mn_deepen_gleif+lei_identity,352,0,352,medium,reuse_prior_state_curated_lei map for KS activity (352 KS originations); slug=bell-bank.
54930021WPEXNHYZUL09,"PLANET HOME LENDING, LLC",17022,planet-home-lending,"Planet Home Lending, LLC",high,reuse_prior_state_curated_lei+ga_curated_gleif+public_nmls,348,0,348,medium,reuse_prior_state_curated_lei map for KS activity (348 KS originations); slug=planet-home-lending.
LDVFX8JEECFFE8HRWA73,First National Bank of Omaha,,first-national-bank-of-omaha,First National Bank of Omaha,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,307,0,307,medium,ia_ks_ne_curated map for KS activity (307 KS originations); slug=first-national-bank-of-omaha.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,301,6131,301,medium,reuse_prior_state_curated_lei map for KS activity (301 KS originations); slug=jpmorgan-chase-bank.
549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,1904,union-home-mortgage-reeves-team,Union Home Mortgage Corp.,high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+company_nmls+ga_directory,294,0,294,medium,reuse_prior_state_curated_lei map for KS activity (294 KS originations); slug=union-home-mortgage-reeves-team.
