year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,KY,21111,Jefferson,31280,19415,4871,15.57,14832,9557,6891,47.42,30.55,25194,4313,1769,4,0,80.54,13.79,5.66,16168,2351,893,3,0,83.28,12.11,4.6,national
2025,KY,21067,Fayette,10992,7013,1507,13.71,4475,3745,2772,40.71,34.07,9311,1168,510,3,0,84.71,10.63,4.64,6036,687,289,1,0,86.07,9.8,4.12,national
2025,KY,21117,Kenton,8266,5218,1283,15.52,3627,2632,2007,43.88,31.84,6587,1159,498,22,0,79.69,14.02,6.02,4208,724,273,13,0,80.64,13.88,5.23,national
2025,KY,21015,Boone,7074,4300,1227,17.35,3094,2238,1742,43.74,31.64,5617,920,517,20,0,79.4,13.01,7.31,3418,574,294,14,0,79.49,13.35,6.84,national
2025,KY,21227,Warren,4794,3141,614,12.81,2274,1632,888,47.43,34.04,3581,746,418,49,0,74.7,15.56,8.72,2416,464,224,37,0,76.92,14.77,7.13,national
2025,KY,21093,Hardin,5222,3136,796,15.24,2311,2008,903,44.26,38.45,2969,710,1512,31,0,56.86,13.6,28.95,1817,415,886,18,0,57.94,13.23,28.25,national
2025,KY,21037,Campbell,4282,2761,638,14.9,1835,1397,1050,42.85,32.62,3574,495,191,22,0,83.47,11.56,4.46,2349,279,117,16,0,85.08,10.11,4.24,national
2025,KY,21029,Bullitt,4200,2601,721,17.17,1929,1324,947,45.93,31.52,3052,765,339,44,0,72.67,18.21,8.07,1904,466,198,33,0,73.2,17.92,7.61,national
2025,KY,21151,Madison,4125,2442,688,16.68,2060,1255,810,49.94,30.42,2922,672,469,62,0,70.84,16.29,11.37,1689,422,288,43,0,69.16,17.28,11.79,national
2025,KY,21059,Daviess,3491,2345,525,15.04,1632,1161,698,46.75,33.26,2622,613,242,14,0,75.11,17.56,6.93,1800,395,140,10,0,76.76,16.84,5.97,national
2025,KY,21185,Oldham,3202,2114,363,11.34,1319,1091,792,41.19,34.07,2699,257,238,8,0,84.29,8.03,7.43,1824,142,142,6,0,86.28,6.72,6.72,national
2025,KY,21209,Scott,3188,2004,495,15.53,1449,991,748,45.45,31.09,2437,494,248,9,0,76.44,15.5,7.78,1523,325,151,5,0,76.0,16.22,7.53,national
2025,KY,21113,Jessamine,2422,1545,355,14.66,997,796,629,41.16,32.87,1975,281,143,23,0,81.54,11.6,5.9,1285,165,80,15,0,83.17,10.68,5.18,national
2025,KY,21211,Shelby,2243,1407,364,16.23,959,698,586,42.76,31.12,1738,330,143,32,0,77.49,14.71,6.38,1109,189,92,17,0,78.82,13.43,6.54,national
2025,KY,21047,Christian,2351,1363,392,16.67,1086,854,411,46.19,36.32,1244,260,838,9,0,52.91,11.06,35.64,740,140,476,7,0,54.29,10.27,34.92,national
2025,KY,21145,McCracken,2339,1354,401,17.14,1311,620,408,56.05,26.51,1721,370,227,21,0,73.58,15.82,9.71,1009,209,120,16,0,74.52,15.44,8.86,national
2025,KY,21073,Franklin,2355,1353,410,17.41,1018,794,543,43.23,33.72,1741,412,192,10,0,73.93,17.49,8.15,1013,233,103,4,0,74.87,17.22,7.61,national
2025,KY,21179,Nelson,2030,1306,275,13.55,918,698,414,45.22,34.38,1424,340,207,59,0,70.15,16.75,10.2,951,197,116,42,0,72.82,15.08,8.88,national
2025,KY,21199,,2295,1242,501,21.83,1232,707,356,53.68,30.81,1636,368,251,40,0,71.29,16.03,10.94,876,198,139,29,0,70.53,15.94,11.19,national
2025,KY,21009,,1743,1075,321,18.42,875,535,333,50.2,30.69,1266,299,114,64,0,72.63,17.15,6.54,790,175,73,37,0,73.49,16.28,6.79,national
2025,KY,21125,,2544,1050,743,29.21,1630,570,344,64.07,22.41,1919,381,157,87,0,75.43,14.98,6.17,715,195,90,50,0,68.1,18.57,8.57,national
2025,KY,21101,,1602,983,290,18.1,726,551,325,45.32,34.39,1196,316,76,14,0,74.66,19.73,4.74,736,193,45,9,0,74.87,19.63,4.58,national
2025,KY,21049,,1562,935,244,15.62,733,516,313,46.93,33.03,1125,256,170,11,0,72.02,16.39,10.88,688,154,86,7,0,73.58,16.47,9.2,national
2025,KY,21107,,1709,935,363,21.24,772,580,357,45.17,33.94,1162,310,177,60,0,67.99,18.14,10.36,636,167,94,38,0,68.02,17.86,10.05,national
2025,KY,21019,,1727,910,379,21.95,922,526,279,53.39,30.46,1223,304,149,51,0,70.82,17.6,8.63,636,164,76,34,0,69.89,18.02,8.35,national
2025,KY,21163,,1539,882,281,18.26,727,532,280,47.24,34.57,941,248,331,19,0,61.14,16.11,21.51,538,137,195,12,0,61.0,15.53,22.11,national
