lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,kentucky_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,6049,31530,6049,high,reuse_prior_state_curated_lei map for KY activity (6049 KY originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,5242,49897,5242,high,reuse_prior_state_curated_lei map for KY activity (5242 KY originations); slug=united-wholesale-mortgage.
QFROUN1UWUYU0DVIWD51,"Eagle Home Mortgage, LLC",2925,eagle-home-mortgage,"Eagle Home Mortgage, LLC",high,mo_ky_curated+mo_ky_gleif+public_nmls,3150,0,3150,high,mo_ky_curated map for KY activity (3150 KY originations); slug=eagle-home-mortgage.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2645,2279,2645,high,reuse_prior_state_curated_lei map for KY activity (2645 KY originations); slug=us-bank.
549300QR0KFPEDZPEI42,STOCKTON MORTGAGE CORPORATION,,stockton-mortgage,Stockton Mortgage Corporation,high,mo_ky_curated+mo_ky_gleif+lei_identity,2250,0,2250,high,mo_ky_curated map for KY activity (2250 KY originations); slug=stockton-mortgage.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2095,3475,2095,high,reuse_prior_state_curated_lei map for KY activity (2095 KY originations); slug=pnc-bank.
254900MQ4O1DX3N88207,"Community Trust Bank, Inc.",,community-trust-bank,"Community Trust Bank, Inc.",high,mo_ky_curated+mo_ky_gleif+lei_identity,2051,0,2051,high,mo_ky_curated map for KY activity (2051 KY originations); slug=community-trust-bank.
4LJGQ9KJ9S0CP4B1FY29,Stock Yards Bank & Trust Company,,stock-yards-bank-trust,Stock Yards Bank & Trust Company,high,mo_ky_curated+mo_ky_gleif+lei_identity,2044,0,2044,high,mo_ky_curated map for KY activity (2044 KY originations); slug=stock-yards-bank-trust.
549300CUF3Q2PQGM9256,COMMONWEALTH FEDERAL CREDIT UNION,,commonwealth-federal-credit-union,Commonwealth Federal Credit Union,high,mo_ky_curated+mo_ky_gleif+lei_identity,1869,0,1869,high,mo_ky_curated map for KY activity (1869 KY originations); slug=commonwealth-federal-credit-union.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,mo_ky_curated+mo_ky_gleif_reidentify+public_nmls,1786,0,1786,high,mo_ky_curated map for KY activity (1786 KY originations); slug=veterans-united-west-valley.
54930072OCHTUJOZQB56,Liberty Credit Union,518136,liberty-federal-credit-union,Liberty Federal Credit Union,high,mo_ky_curated+mo_ky_gleif+public_nmls,1771,0,1771,high,mo_ky_curated map for KY activity (1771 KY originations); slug=liberty-federal-credit-union.
X6T32LKEPUT8LQMW6755,Republic Bank & Trust Company,,republic-bank-trust-kentucky,Republic Bank & Trust Company,high,mo_ky_curated+mo_ky_gleif+lei_identity,1477,0,1477,high,mo_ky_curated map for KY activity (1477 KY originations); slug=republic-bank-trust-kentucky.
549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,2767,freedom-mortgage,Freedom Mortgage Corporation,high,mo_ky_curated+mo_ky_gleif_reidentify+public_nmls,1270,0,1270,high,mo_ky_curated map for KY activity (1270 KY originations); slug=freedom-mortgage.
MV4O55SH8HO6KQSGW013,First Financial Bank,619717,first-financial-bank-ohio,First Financial Bank (Ohio),high,reuse_prior_state_curated_lei+il_oh_curated+il_oh_deepen_gleif+public_nmls,1239,0,1239,high,reuse_prior_state_curated_lei map for KY activity (1239 KY originations); slug=first-financial-bank-ohio.
