year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,KY,549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",8496,6049,21111:1111; 21067:360; 21015:259; 21117:219; 21093:193,4047,1456,546,0,0,66.9,24.07,9.03,national
2025,KY,549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",6871,5242,21111:1851; 21093:313; 21117:265; 21067:237; 21015:181,2889,1289,1016,48,0,55.11,24.59,19.38,national
2025,KY,QFROUN1UWUYU0DVIWD51,"Eagle Home Mortgage, LLC",5663,3150,21111:749; 21117:311; 21015:309; 21067:275; 21037:253,3006,94,45,5,0,95.43,2.98,1.43,national
2025,KY,6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,4886,2645,21111:602; 21117:226; 21015:152; 21227:150; 21059:139,2374,230,28,13,0,89.75,8.7,1.06,national
2025,KY,549300QR0KFPEDZPEI42,STOCKTON MORTGAGE CORPORATION,3255,2250,21111:222; 21067:198; 21117:175; 21037:137; 21015:130,1174,797,127,152,0,52.18,35.42,5.64,national
2025,KY,AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",3585,2095,21111:919; 21185:113; 21067:112; 21117:112; 21029:95,2046,28,20,1,0,97.66,1.34,0.95,national
2025,KY,254900MQ4O1DX3N88207,"Community Trust Bank, Inc.",2621,2051,21195:218; 21235:122; 21067:103; 21125:102; 21199:76,2051,0,0,0,0,100.0,0.0,0.0,national
2025,KY,4LJGQ9KJ9S0CP4B1FY29,Stock Yards Bank & Trust Company,3044,2044,21111:1012; 21067:152; 21185:114; 21029:112; 21211:77,1920,89,26,9,0,93.93,4.35,1.27,national
2025,KY,549300CUF3Q2PQGM9256,COMMONWEALTH FEDERAL CREDIT UNION,3270,1869,21067:296; 21073:282; 21111:232; 21209:131; 21005:114,1869,0,0,0,0,100.0,0.0,0.0,national
2025,KY,549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",3617,1786,21093:159; 21047:146; 21111:133; 21151:59; 21067:52,100,71,1611,4,0,5.6,3.98,90.2,national
2025,KY,54930072OCHTUJOZQB56,Liberty Credit Union,2247,1771,21059:664; 21111:199; 21101:185; 21227:167; 21185:74,1381,322,36,32,0,77.98,18.18,2.03,national
2025,KY,549300V5YG1VXZAU5G02,UNIVERSITY OF KENTUCKY,2979,1710,21067:863; 21113:163; 21111:138; 21151:92; 21209:88,1710,0,0,0,0,100.0,0.0,0.0,national
2025,KY,549300OHIEQGELZVJP60,L & N Federal Credit Union,1956,1519,21111:607; 21125:149; 21029:143; 21199:114; 21185:89,1519,0,0,0,0,100.0,0.0,0.0,national
2025,KY,X6T32LKEPUT8LQMW6755,Republic Bank & Trust Company,2214,1477,21111:782; 21067:207; 21185:84; 21029:70; 21117:53,1388,78,11,0,0,93.97,5.28,0.74,national
2025,KY,549300ENNFGLHCMQ1U82,Guardian Savings Bank,1767,1396,21117:306; 21067:305; 21015:217; 21037:147; 21113:72,1318,64,7,7,0,94.41,4.58,0.5,national
2025,KY,254900LEJ4HP6RMWD374,ABOUND FEDERAL CREDIT UNION,2154,1387,21093:352; 21227:140; 21111:133; 21179:102; 21163:89,1371,0,16,0,0,98.85,0.0,1.15,national
2025,KY,549300LPT41QBMAC7948,"SOUTH CENTRAL BANK, INC.",1778,1376,21227:244; 21009:206; 21093:185; 21059:105; 21111:76,1172,137,49,18,0,85.17,9.96,3.56,national
2025,KY,549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,2752,1270,21111:217; 21093:98; 21067:72; 21015:61; 21117:55,94,576,600,0,0,7.4,45.35,47.24,national
2025,KY,MV4O55SH8HO6KQSGW013,First Financial Bank,1683,1239,21111:834; 21015:95; 21117:67; 21211:34; 21037:30,1230,7,2,0,0,99.27,0.56,0.16,national
2025,KY,549300UXY7OP0IC38293,Northpointe Bank,1927,1184,21111:646; 21185:86; 21029:78; 21093:56; 21211:39,875,221,83,5,0,73.9,18.67,7.01,national
2025,KY,5493001GDRY0EL7VG372,"ARK-LA-TEX FINANCIAL SERVICES, LLC.",1591,1179,21067:290; 21151:156; 21111:148; 21209:87; 21113:41,670,380,86,43,0,56.83,32.23,7.29,national
