year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,LA,549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",6264,4514,22055:506; 22033:464; 22051:332; 22071:254; 22005:248,1906,1624,826,158,0,42.22,35.98,18.3,national
2025,LA,549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",5844,3674,22051:357; 22033:309; 22103:295; 22055:261; 22071:241,2503,843,328,0,0,68.13,22.95,8.93,national
2025,LA,NSGZD26XPW2CUM2JKU70,HANCOCK WHITNEY BANK,3536,2258,22033:396; 22051:320; 22071:263; 22103:218; 22005:168,1994,190,43,31,0,88.31,8.41,1.9,national
2025,LA,549300MCPCNPQAOB4032,GMFS LLC,3072,2035,22033:356; 22103:354; 22005:196; 22063:173; 22051:114,1225,533,107,170,0,60.2,26.19,5.26,national
2025,LA,5493001F7QT2YW3K8D98,"DSLD MORTGAGE, LLC",2545,1879,22055:369; 22103:200; 22063:190; 22015:183; 22105:138,747,714,288,130,0,39.76,38.0,15.33,national
2025,LA,5493008RSN6F31BTGT93,Gulf Coast Bank and Trust Company,2039,1409,22051:395; 22071:275; 22103:219; 22033:127; 22105:126,1092,247,48,22,0,77.5,17.53,3.41,national
2025,LA,549300LE3ZOZXUS7W648,FIDELITY BANK,2034,1369,22071:307; 22051:210; 22103:192; 22019:157; 22033:98,977,296,66,30,0,71.37,21.62,4.82,national
2025,LA,COOWI3L2W9TPYR3WJX37,First Horizon Bank,1992,1305,22071:335; 22051:198; 22055:169; 22033:135; 22103:108,1182,74,28,21,0,90.57,5.67,2.15,national
2025,LA,254900ZX1UPIG2E7TH11,"ASSURANCE FINANCIAL GROUP, L.L.C.",1711,1298,22033:213; 22073:170; 22055:139; 22109:110; 22017:107,709,345,123,121,0,54.62,26.58,9.48,national
2025,LA,549300DG3IV05V4C4E03,EUSTIS MORTGAGE CORPORATION,1754,1292,22071:178; 22033:157; 22103:138; 22051:134; 22057:85,543,502,121,126,0,42.03,38.85,9.37,national
2025,LA,EQTWLK1G7ODGC2MGLV11,Regions Bank,3356,1282,22033:196; 22051:159; 22103:123; 22017:121; 22005:76,1171,88,17,6,0,91.34,6.86,1.33,national
2025,LA,549300DD4R4SYK5RAQ92,"MOVEMENT MORTGAGE, LLC",1676,1248,22051:214; 22063:131; 22103:123; 22017:123; 22073:111,613,481,124,30,0,49.12,38.54,9.94,national
2025,LA,7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",1931,1188,22033:174; 22071:151; 22051:120; 22103:91; 22055:83,1110,55,23,0,0,93.43,4.63,1.94,national
2025,LA,549300XQVJ1XBNFA5536,21ST MORTGAGE CORPORATION,7057,1097,22019:67; 22109:51; 22063:47; 22057:41; 22105:40,1097,0,0,0,0,100.0,0.0,0.0,national
2025,LA,549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",2445,1090,22103:99; 22015:96; 22017:73; 22051:62; 22033:58,45,32,1009,4,0,4.13,2.94,92.57,national
2025,LA,549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,2501,1040,22051:107; 22103:102; 22063:80; 22033:71; 22015:67,62,492,486,0,0,5.96,47.31,46.73,national
2025,LA,549300FNXYY540N23N64,Newrez LLC,2664,1007,22033:77; 22073:75; 22055:75; 22103:73; 22005:59,506,229,177,95,0,50.25,22.74,17.58,national
2025,LA,RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",2323,990,22055:125; 22103:110; 22051:82; 22033:82; 22071:74,411,360,215,4,0,41.52,36.36,21.72,national
2025,LA,5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD.",1725,973,22103:162; 22055:161; 22063:131; 22033:116; 22019:74,122,573,137,141,0,12.54,58.89,14.08,national
2025,LA,5493003GQDUH26DNNH17,Navy Federal Credit Union,2113,860,22103:130; 22015:119; 22071:82; 22051:79; 22033:70,514,0,346,0,0,59.77,0.0,40.23,national
2025,LA,5493006QG55R8V712J33,Red River Bank,1226,819,22079:318; 22033:108; 22017:73; 22019:42; 22015:41,631,147,20,21,0,77.05,17.95,2.44,national
2025,LA,2549004FXPNKCLIN8250,"Synergy One Lending, Inc.",1038,765,22033:265; 22005:112; 22063:110; 22017:58; 22015:41,426,234,53,52,0,55.69,30.59,6.93,national
2025,LA,Q7C315HKI8VX0SSKBS64,Cadence Bank,1065,730,22017:154; 22055:84; 22073:82; 22033:79; 22015:73,681,35,8,6,0,93.29,4.79,1.1,national
2025,LA,549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",1723,728,22103:96; 22017:80; 22051:55; 22033:43; 22073:43,446,215,63,4,0,61.26,29.53,8.65,national
2025,LA,549300K4ZLGS7SRDTL86,Equity Prime Mortgage LLC,1260,646,22033:65; 22063:46; 22055:45; 22105:45; 22017:34,26,305,79,236,0,4.02,47.21,12.23,national
2025,LA,54930045J8O98TUGTW86,b1BANK,759,609,22119:87; 22019:53; 22033:50; 22109:41; 22055:28,609,0,0,0,0,100.0,0.0,0.0,national
2025,LA,549300CB67L6KPJLHE19,"TRIAD FINANCIAL SERVICES, INC.",3867,606,22105:65; 22063:41; 22073:27; 22097:26; 22117:24,606,0,0,0,0,100.0,0.0,0.0,national
2025,LA,549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",1009,592,22103:112; 22087:74; 22055:70; 22071:49; 22051:48,253,232,66,41,0,42.74,39.19,11.15,national
2025,LA,54930021WPEXNHYZUL09,"PLANET HOME LENDING, LLC",746,585,22017:188; 22015:76; 22019:61; 22073:33; 22031:24,161,290,113,21,0,27.52,49.57,19.32,national
2025,LA,549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,952,571,22103:66; 22051:62; 22033:50; 22055:40; 22071:35,459,67,45,0,0,80.39,11.73,7.88,national
2025,LA,549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,883,561,22079:83; 22033:66; 22019:57; 22009:53; 22017:41,195,267,46,53,0,34.76,47.59,8.2,national
2025,LA,D8RBTOL3JO2Q6IEO0F34,Origin Bank,661,528,22073:149; 22061:133; 22017:86; 22015:67; 22111:28,447,34,35,12,0,84.66,6.44,6.63,national
2025,LA,549300U18MOAH5F95P15,EFCU FINANCIAL,789,518,22033:174; 22063:125; 22005:102; 22037:15; 22077:13,518,0,0,0,0,100.0,0.0,0.0,national
2025,LA,549300MVSM4XYFQL3X62,BARKSDALE,949,493,22017:165; 22015:163; 22079:35; 22115:34; 22119:24,478,8,7,0,0,96.96,1.62,1.42,national
2025,LA,5493000YNV8IX4VD3X12,"VANDERBILT MORTGAGE AND FINANCE, INC.",4370,489,22105:38; 22097:35; 22005:29; 22063:26; 22055:23,489,0,0,0,0,100.0,0.0,0.0,national
2025,LA,549300Z78KW88BIQNR50,First American Bank and Trust,646,482,22093:94; 22057:82; 22089:43; 22005:39; 22051:39,482,0,0,0,0,100.0,0.0,0.0,national
2025,LA,254900R51FSMCPO6HB07,The Evangeline Bank & Trust Company,442,389,22079:111; 22039:65; 22019:51; 22055:38; 22097:29,389,0,0,0,0,100.0,0.0,0.0,national
2025,LA,254900ZKVJDEYHV22276,OnPath Federal Credit Union,416,374,22071:118; 22051:84; 22103:65; 22089:23; 22095:19,374,0,0,0,0,100.0,0.0,0.0,national
2025,LA,549300QFP6J5QSZVF805,Eagle Bank and Trust Company,491,374,22073:276; 22067:18; 22083:18; 22041:13; 22111:13,143,163,30,38,0,38.24,43.58,8.02,national
