year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,ME,23005,Cumberland,12777,8185,1798,14.07,5089,4049,3639,39.83,31.69,11501,797,463,16,0,90.01,6.24,3.62,7511,413,254,7,0,91.77,5.05,3.1,national
2025,ME,23031,York,10851,6767,1656,15.26,4104,3706,3041,37.82,34.15,9291,897,626,37,0,85.62,8.27,5.77,5895,483,366,23,0,87.11,7.14,5.41,national
2025,ME,23019,Penobscot,5750,3698,964,16.77,2410,1975,1365,41.91,34.35,4300,796,598,56,0,74.78,13.84,10.4,2842,472,345,39,0,76.85,12.76,9.33,national
2025,ME,23011,Kennebec,5263,3328,779,14.8,2310,1677,1276,43.89,31.86,3883,769,554,57,0,73.78,14.61,10.53,2549,437,301,41,0,76.59,13.13,9.04,national
2025,ME,23001,Androscoggin,4202,2556,665,15.83,1756,1566,880,41.79,37.27,3038,786,358,20,0,72.3,18.71,8.52,1887,445,209,15,0,73.83,17.41,8.18,national
2025,ME,23017,Oxford,2472,1470,457,18.49,1055,813,604,42.68,32.89,1865,381,198,28,0,75.44,15.41,8.01,1126,220,103,21,0,76.6,14.97,7.01,national
2025,ME,23009,Hancock,2285,1430,407,17.81,851,743,691,37.24,32.52,1959,197,118,11,0,85.73,8.62,5.16,1248,101,72,9,0,87.27,7.06,5.03,national
2025,ME,23025,Somerset,1824,1107,322,17.65,764,630,430,41.89,34.54,1219,317,248,40,0,66.83,17.38,13.6,767,171,144,25,0,69.29,15.45,13.01,national
2025,ME,23003,Aroostook,1942,1099,446,22.97,824,732,386,42.43,37.69,1394,207,250,91,0,71.78,10.66,12.87,822,91,135,51,0,74.8,8.28,12.28,national
2025,ME,23027,Waldo,1778,1084,328,18.45,650,608,520,36.56,34.2,1393,205,162,18,0,78.35,11.53,9.11,875,103,93,13,0,80.72,9.5,8.58,national
2025,ME,23013,Knox,1691,1046,288,17.03,618,485,588,36.55,28.68,1450,118,114,9,0,85.75,6.98,6.74,917,62,62,5,0,87.67,5.93,5.93,national
2025,ME,23015,Lincoln,1612,1036,243,15.07,653,498,461,40.51,30.89,1325,140,131,16,0,82.2,8.68,8.13,887,75,63,11,0,85.62,7.24,6.08,national
2025,ME,23023,Sagadahoc,1433,919,202,14.1,592,493,348,41.31,34.4,1188,146,91,8,0,82.9,10.19,6.35,774,87,51,7,0,84.22,9.47,5.55,national
2025,ME,23029,Washington,1089,632,246,22.59,453,339,297,41.6,31.13,872,108,93,16,0,80.07,9.92,8.54,530,50,43,9,0,83.86,7.91,6.8,national
2025,ME,23007,Franklin,1057,618,175,16.56,513,323,221,48.53,30.56,793,133,114,17,0,75.02,12.58,10.79,474,74,60,10,0,76.7,11.97,9.71,national
2025,ME,23021,Piscataquis,734,466,127,17.3,331,233,170,45.1,31.74,568,75,87,4,0,77.38,10.22,11.85,371,46,46,3,0,79.61,9.87,9.87,national
