lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,me_originations,states_with_originations,priority_match,maine_originations
549300JEBULFT3BSU682,,,,unmatched,5270,3701,3199,ME:3199;NH:277;MA:181;FL:24;VT:8;NC:5;CT:3;RI:2;SC:2,medium,3199
549300VMVKSQE1B7DD43,,,,unmatched,3241,2224,1794,ME:1794;NH:344;MA:46;VT:18;FL:6;NC:4;SC:3;NJ:1;VA:1;CO:1,medium,1794
254900CEBR2F5Y0F1A15,,,,unmatched,1496,1145,1145,ME:1145,medium,1145
5493002J7RM1JLAXN553,,,,unmatched,910,722,721,ME:721;NY:1,medium,721
03D0JEWFDFUS0SEEKG89,,,,unmatched,46634,23499,699,NJ:6695;NY:4324;FL:2722;MA:1975;PA:1803;SC:1143;CT:1002;NH:997;ME:699;NC:555,high,699
549300BKCQISE9PR4J88,,,,unmatched,937,648,648,ME:648,medium,648
549300S32ZDD67D2FB46,,,,unmatched,964,640,618,ME:618;NH:22,medium,618
549300HK8HC6F50IC896,,,,unmatched,812,595,595,ME:595,medium,595
549300ZDIZM7Y1MHKG98,,,,unmatched,892,564,561,ME:561;FL:3,medium,561
549300P0GXZAWI355052,,,,unmatched,840,554,551,ME:551;FL:2;NH:1,medium,551
54930064FQE21RHEG647,,,,unmatched,758,543,542,ME:542;NH:1,medium,542
254900PP57SEJJCWLI44,,,,unmatched,645,446,446,ME:446,low,446
5493009JEKX81THMLH86,,,,unmatched,663,396,394,ME:394;NH:2,low,394
549300DDRY04AJC3ZZ52,,,,unmatched,459,378,375,ME:375;NH:3,low,375
549300JI0UWY4QIWDV89,,,,unmatched,2399,1972,343,SC:469;MA:445;ME:343;NH:248;FL:233;CT:136;RI:39;MD:22;NC:15;GA:11,high,343
549300H89M6KDLFKMQ19,,,,unmatched,486,331,329,ME:329;NH:2,low,329
54930070JV4STJJ0XS74,,,,unmatched,1973,1031,327,NH:676;ME:327;MA:15;VT:12;VA:1,medium,327
549300VJQJVZKJBDWS17,,,,unmatched,9038,6553,313,CT:3299;MA:1361;NH:320;ME:313;FL:201;NY:185;RI:148;MD:119;PA:117;NJ:112,high,313
5493003V0VOGJ2CI8520,,,,unmatched,579,353,264,ME:264;NH:89,low,264
254900378RFGMBEKAF12,,,,unmatched,3556,2166,257,IA:720;IL:309;ME:257;WI:132;NC:109;MO:52;KS:50;ND:41;GA:38;TX:37,medium,257
5493001JAQD8VVV8SM40,,,,unmatched,349,240,240,ME:240,low,240
549300DK2AEMKCO4JZ92,,,,unmatched,416,337,238,ME:238;NH:94;MA:5,low,238
549300U3NIUGN9OO4407,,,,unmatched,310,230,230,ME:230,low,230
HUX2X73FUCYHUVH1BK78,,,,unmatched,15640,8717,223,NY:2485;OH:2071;WA:869;PA:597;IN:489;OR:470;CT:299;CO:227;ME:223;ID:180,high,223
