lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,maine_originations,florida_originations,total_originations,priority_match,notes
549300JEBULFT3BSU682,Bangor Savings Bank,449200,bangor-savings-bank,Bangor Savings Bank,high,ne_curated+ne_curated_gleif+public_nmls,3199,0,3199,high,ne_curated map for ME activity (3199 ME originations); slug=bangor-savings-bank.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2077,49897,2077,high,reuse_prior_state_curated_lei map for ME activity (2077 ME originations); slug=united-wholesale-mortgage.
549300VMVKSQE1B7DD43,The Camden National Bank,486887,camden-national-bank,Camden National Bank,high,ne_curated+ne_curated_gleif+public_nmls,1794,0,1794,high,ne_curated map for ME activity (1794 ME originations); slug=camden-national-bank.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1775,31530,1775,high,reuse_prior_state_curated_lei map for ME activity (1775 ME originations); slug=rocket-mortgage.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1507,4388,1507,high,reuse_prior_state_curated_lei map for ME activity (1507 ME originations); slug=amerihome-mortgage.
549300AQ3T62GXDU7D76,Ally Bank,181005,ally-bank,Ally Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1347,2790,1347,high,reuse_prior_state_curated_lei map for ME activity (1347 ME originations); slug=ally-bank.
03D0JEWFDFUS0SEEKG89,"TD Bank, National Association",481428,td-bank,"TD Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,699,2722,699,high,reuse_prior_state_curated_lei map for ME activity (699 ME originations); slug=td-bank.
549300DD5QQUHO6PCH70,"Movement Mortgage, LLC",39179,movement-mortgage-myrtle-beach,Movement Mortgage — Myrtle Beach,high,reuse_prior_state_curated_lei+curated_lei+directory_name,507,5506,507,high,reuse_prior_state_curated_lei map for ME activity (507 ME originations); slug=movement-mortgage-myrtle-beach.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,398,11987,398,high,reuse_prior_state_curated_lei map for ME activity (398 ME originations); slug=freedom-mortgage.
549300MGPZBLQDIL7538,"PrimeLending, a PlainsCapital Company",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_prior_state_curated_lei+curated_lei+directory_name,390,3153,390,high,reuse_prior_state_curated_lei map for ME activity (390 ME originations); slug=primelending-columbus.
549300E2UX99HKDBR481,"Broker Solutions, Inc.",6606,new-american-funding,"Broker Solutions, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,387,3881,387,high,reuse_prior_state_curated_lei map for ME activity (387 ME originations); slug=new-american-funding.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,353,7460,353,high,reuse_prior_state_curated_lei map for ME activity (353 ME originations); slug=pennymac.
549300LYRWPSYPK6S325,Guild Mortgage Company LLC,3274,guild-mortgage-metrowest,Guild Mortgage (West Valley Branches),high,reuse_prior_state_curated_lei+curated_lei+directory_name,346,5374,346,high,reuse_prior_state_curated_lei map for ME activity (346 ME originations); slug=guild-mortgage-metrowest.
549300JI0UWY4QIWDV89,"NORTHPOINT MORTGAGE, INC.",1515,northpoint-mortgage,"Northpoint Mortgage, Inc.",high,reuse_prior_state_curated_lei+ma_curated+ma_curated_gleif+public_nmls,343,0,343,high,reuse_prior_state_curated_lei map for ME activity (343 ME originations); slug=northpoint-mortgage.
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,reuse_prior_state_curated_lei+curated_lei+directory_name,339,9704,339,high,reuse_prior_state_curated_lei map for ME activity (339 ME originations); slug=fairway-mortgage-augusta-sheppard.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,reuse_prior_state_curated_lei+curated_lei+directory_name,314,8416,314,high,reuse_prior_state_curated_lei map for ME activity (314 ME originations); slug=navy-federal-jacksonville.
549300VJQJVZKJBDWS17,"TOTAL MORTGAGE SERVICES, LLC",2764,total-mortgage-services,"Total Mortgage Services, LLC",high,reuse_prior_state_curated_lei+ma_curated+ma_curated_gleif+public_nmls,313,0,313,high,reuse_prior_state_curated_lei map for ME activity (313 ME originations); slug=total-mortgage-services.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,296,3546,296,high,reuse_prior_state_curated_lei map for ME activity (296 ME originations); slug=mr-cooper.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,283,7938,283,high,reuse_prior_state_curated_lei map for ME activity (283 ME originations); slug=guaranteed-rate.
549300U3721PJGQZYY68,Nationstar Mortgage LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,277,3204,277,high,reuse_prior_state_curated_lei map for ME activity (277 ME originations); slug=mr-cooper.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,271,5643,271,high,reuse_prior_state_curated_lei map for ME activity (271 ME originations); slug=newrez.
DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association",433960,citizens-bank,"Citizens Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,255,2297,255,high,reuse_prior_state_curated_lei map for ME activity (255 ME originations); slug=citizens-bank.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,197,2279,197,medium,reuse_prior_state_curated_lei map for ME activity (197 ME originations); slug=us-bank.
254900ZFWS2106HWPH46,"PARAMOUNT RESIDENTIAL MORTGAGE GROUP, INC.",75243,prmg,Paramount Residential Mortgage Group (PRMG),medium,reuse_prior_state_curated_lei+gleif_name_to_directory,157,3741,157,medium,reuse_prior_state_curated_lei map for ME activity (157 ME originations); slug=prmg.
549300YIQ7S7Z8PIHE53,AMERISAVE MORTGAGE CORPORATION,1168,amerisave,AmeriSave Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,157,1667,157,medium,reuse_prior_state_curated_lei map for ME activity (157 ME originations); slug=amerisave.
WWB2V0FCW3A0EE3ZJN75,Manufacturers and Traders Trust Company,381076,mt-bank,Manufacturers and Traders Trust Company (M&T Bank),high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+nj_curated+nj_curated_gleif+public_nmls,151,0,151,medium,reuse_prior_state_curated_lei map for ME activity (151 ME originations); slug=mt-bank.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,148,6131,148,medium,reuse_prior_state_curated_lei map for ME activity (148 ME originations); slug=jpmorgan-chase-bank.
549300OPCWU6E72WUT29,"MUTUAL OF OMAHA MORTGAGE, INC.",1025894,mutual-of-omaha-mortgage,"Mutual of Omaha Mortgage, Inc.",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+public_nmls,148,0,148,medium,reuse_prior_state_curated_lei map for ME activity (148 ME originations); slug=mutual-of-omaha-mortgage.
549300DE8TS4EYTPX729,"AFFORDABLE MORTGAGE ADVISORS, LLC",139164,hma-mortgage,"Affordable Mortgage Advisors, LLC dba HMA Mortgage",high,reuse_prior_state_curated_lei+pa_curated+gleif+hma_mortgage_nmls,133,0,133,medium,reuse_prior_state_curated_lei map for ME activity (133 ME originations); slug=hma-mortgage.
5493001WHVQBGRSWEU75,"HOMEBRIDGE FINANCIAL SERVICES, INC.",6521,homebridge-financial,"Homebridge Financial Services, Inc.",high,reuse_prior_state_curated_lei+curated_public_nmls+directory_profile,122,2433,122,medium,reuse_prior_state_curated_lei map for ME activity (122 ME originations); slug=homebridge-financial.
549300PIL8LFAQ04XC20,Better Mortgage Corporation,330511,better-mortgage,Better Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,112,2675,112,medium,reuse_prior_state_curated_lei map for ME activity (112 ME originations); slug=better-mortgage.
C5654JQHZUHN0772B561,USAA Federal Savings Bank,399809,usaa-federal-savings-bank,USAA Federal Savings Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,96,825,96,medium,reuse_prior_state_curated_lei map for ME activity (96 ME originations); slug=usaa-federal-savings-bank.
549300DAUXQ2DCY4H838,"HARBORONE MORTGAGE, LLC",2561,harborone-mortgage,"HarborOne Mortgage, LLC",high,reuse_prior_state_curated_lei+ma_curated+ma_curated_gleif+public_nmls,90,0,90,medium,reuse_prior_state_curated_lei map for ME activity (90 ME originations); slug=harborone-mortgage.
549300NOCASXPA34X033,"LAKEVIEW LOAN SERVICING, LLC",4095,lakeview-loan-servicing,"Lakeview Loan Servicing, LLC",high,reuse_prior_state_curated_lei+curated_public_nmls+directory_profile,88,1488,88,medium,reuse_prior_state_curated_lei map for ME activity (88 ME originations); slug=lakeview-loan-servicing.
549300MZ8VZJOVC63092,"KIND LENDING, LLC",3925,kind-lending,"Kind Lending, LLC",high,reuse_prior_state_curated_lei+ca_curated+ca_curated_gleif+public_nmls,83,0,83,medium,reuse_prior_state_curated_lei map for ME activity (83 ME originations); slug=kind-lending.
549300DD4R4SYK5RAQ92,"Cardinal Financial Company, Limited Partnership",66247,cardinal-financial,"Cardinal Financial Company, Limited Partnership",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,79,4122,79,medium,reuse_prior_state_curated_lei map for ME activity (79 ME originations); slug=cardinal-financial.
549300SUCQ1358EGVE89,"NEW DAY FINANCIAL, LLC",1043,new-day-financial,"New Day Financial, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+sc_curated+sc_curated_gleif+public_nmls,77,0,77,medium,reuse_prior_state_curated_lei map for ME activity (77 ME originations); slug=new-day-financial.
213800QUAI2VH5YM6310,"EMBRACE HOME LOANS, INC.",2184,embrace-home-loans,"Embrace Home Loans, Inc.",high,reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,77,0,77,medium,reuse_prior_state_curated_lei map for ME activity (77 ME originations); slug=embrace-home-loans.
549300EMNDEK4BA8WB53,EMM LOANS LLC,2926,emm-loans,EMM Loans LLC,high,reuse_prior_state_curated_lei+pa_curated+gleif+emm_loans_nmls,76,0,76,medium,reuse_prior_state_curated_lei map for ME activity (76 ME originations); slug=emm-loans.
