year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MD,24033,Prince Georges,35986,17064,8359,23.23,12893,14335,8758,35.83,39.83,23116,8058,4800,12,0,64.24,22.39,13.34,10761,3818,2479,6,0,63.06,22.37,14.53,national
2025,MD,24031,Montgomery,28907,16639,5009,17.33,11989,9375,7543,41.47,32.43,25160,2297,1448,2,0,87.04,7.95,5.01,14689,1115,834,1,0,88.28,6.7,5.01,national
2025,MD,24005,Baltimore,27562,15451,5370,19.48,11116,10065,6381,40.33,36.52,20791,4870,1887,14,0,75.43,17.67,6.85,11946,2541,956,8,0,77.32,16.45,6.19,national
2025,MD,24003,Anne Arundel,24137,14145,4042,16.75,9708,8220,6209,40.22,34.06,17538,2838,3748,13,0,72.66,11.76,15.53,10247,1595,2293,10,0,72.44,11.28,16.21,national
2025,MD,24510,Baltimore City,20518,10215,4473,21.8,9653,7375,3490,47.05,35.94,15352,3808,1339,19,0,74.82,18.56,6.53,7592,1951,657,15,0,74.32,19.1,6.43,national
2025,MD,24021,Frederick,12323,7470,1816,14.74,4833,4235,3255,39.22,34.37,9710,1472,1106,35,0,78.8,11.95,8.98,5946,826,675,23,0,79.6,11.06,9.04,national
2025,MD,24027,Howard,11439,6671,1823,15.94,4682,3732,3025,40.93,32.63,9698,867,871,3,0,84.78,7.58,7.61,5780,407,482,2,0,86.64,6.1,7.23,national
2025,MD,24025,Harford,10366,6474,1618,15.61,4281,3656,2429,41.3,35.27,7706,1550,1097,13,0,74.34,14.95,10.58,4835,943,686,10,0,74.68,14.57,10.6,national
2025,MD,24017,Charles,9584,5144,1781,18.58,3914,3724,1946,40.84,38.86,4924,2297,2331,32,0,51.38,23.97,24.32,2514,1279,1329,22,0,48.87,24.86,25.84,national
2025,MD,24013,Carroll,6676,4205,968,14.5,2401,2395,1880,35.96,35.87,5412,714,519,31,0,81.07,10.7,7.77,3442,419,324,20,0,81.85,9.96,7.71,national
2025,MD,24043,Washington,5725,3278,1067,18.64,2265,2122,1338,39.56,37.07,3991,1165,538,31,0,69.71,20.35,9.4,2270,675,307,26,0,69.25,20.59,9.37,national
2025,MD,24037,St. Marys,4563,2685,672,14.73,1865,1690,1008,40.87,37.04,2652,568,1256,87,0,58.12,12.45,27.53,1538,316,765,66,0,57.28,11.77,28.49,national
2025,MD,24009,Calvert,4309,2531,674,15.64,1552,1584,1173,36.02,36.76,2743,590,928,48,0,63.66,13.69,21.54,1600,340,557,34,0,63.22,13.43,22.01,national
2025,MD,24015,Cecil,4113,2441,668,16.24,1511,1607,995,36.74,39.07,2979,656,438,40,0,72.43,15.95,10.65,1786,384,240,31,0,73.17,15.73,9.83,national
2025,MD,24047,Worcester,3958,2324,707,17.86,2035,1093,830,51.41,27.61,3506,267,179,6,0,88.58,6.75,4.52,2094,134,91,5,0,90.1,5.77,3.92,national
2025,MD,24045,Wicomico,3748,2050,768,20.49,1662,1274,812,44.34,33.99,2472,887,347,42,0,65.96,23.67,9.26,1368,502,151,29,0,66.73,24.49,7.37,national
2025,MD,24035,Queen Annes,2728,1691,448,16.42,1104,888,736,40.47,32.55,2103,329,285,11,0,77.09,12.06,10.45,1322,189,175,5,0,78.18,11.18,10.35,national
2025,MD,24001,Allegany,1874,1138,321,17.13,791,715,368,42.21,38.15,1322,342,156,54,0,70.54,18.25,8.32,838,184,75,41,0,73.64,16.17,6.59,national
2025,MD,24041,Talbot,1466,907,220,15.01,587,458,421,40.04,31.24,1212,148,97,9,0,82.67,10.1,6.62,756,95,51,5,0,83.35,10.47,5.62,national
2025,MD,24019,Dorchester,1517,779,304,20.04,672,553,292,44.3,36.45,995,328,168,26,0,65.59,21.62,11.07,504,178,80,17,0,64.7,22.85,10.27,national
2025,MD,24011,Caroline,1349,748,282,20.9,563,479,307,41.73,35.51,836,361,121,31,0,61.97,26.76,8.97,454,210,62,22,0,60.7,28.07,8.29,national
2025,MD,24023,Garrett,1125,707,163,14.49,544,387,194,48.36,34.4,939,106,72,8,0,83.47,9.42,6.4,614,56,30,7,0,86.85,7.92,4.24,national
2025,MD,24029,Kent,751,438,138,18.38,306,279,166,40.75,37.15,530,134,72,15,0,70.57,17.84,9.59,314,78,35,11,0,71.69,17.81,7.99,national
2025,MD,24039,Somerset,800,378,197,24.62,375,263,162,46.88,32.88,519,179,89,13,0,64.88,22.38,11.12,243,83,47,5,0,64.29,21.96,12.43,national
