lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,maryland_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,9294,31530,9294,high,reuse_prior_state_curated_lei map for MD activity (9294 MD originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,6306,49897,6306,high,reuse_prior_state_curated_lei map for MD activity (6306 MD originations); slug=united-wholesale-mortgage.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,reuse_prior_state_curated_lei+curated_lei+directory_name,5163,8416,5163,high,reuse_prior_state_curated_lei map for MD activity (5163 MD originations); slug=navy-federal-jacksonville.
549300GPO6DWUZR4UY30,FIRST HOME MORTGAGE CORPORATION,71603,first-home-mortgage,First Home Mortgage Corporation,high,reuse_prior_state_curated_lei+va_md_curated+va_md_curated_gleif+public_nmls,3559,0,3559,high,reuse_prior_state_curated_lei map for MD activity (3559 MD originations); slug=first-home-mortgage.
JJKC32MCHWDI71265Z06,Truist Bank,405457,truist-bank,Truist Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3245,6117,3245,high,reuse_prior_state_curated_lei map for MD activity (3245 MD originations); slug=truist-bank.
WWB2V0FCW3A0EE3ZJN75,Manufacturers and Traders Trust Company,381076,mt-bank,Manufacturers and Traders Trust Company (M&T Bank),high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+nj_curated+nj_curated_gleif+public_nmls,3115,0,3115,high,reuse_prior_state_curated_lei map for MD activity (3115 MD originations); slug=mt-bank.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2948,3475,2948,high,reuse_prior_state_curated_lei map for MD activity (2948 MD originations); slug=pnc-bank.
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,reuse_prior_state_curated_lei+curated_lei+directory_name,2636,9704,2636,high,reuse_prior_state_curated_lei map for MD activity (2636 MD originations); slug=fairway-mortgage-augusta-sheppard.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2255,7938,2255,high,reuse_prior_state_curated_lei map for MD activity (2255 MD originations); slug=guaranteed-rate.
549300MCIFZSDHUT8X63,"NFM, INC.",2893,nfm-lending,"NFM, Inc. (dba NFM Lending)",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,2255,0,2255,high,reuse_prior_state_curated_lei map for MD activity (2255 MD originations); slug=nfm-lending.
549300LYRWPSYPK6S325,Guild Mortgage Company LLC,3274,guild-mortgage-metrowest,Guild Mortgage (West Valley Branches),high,reuse_prior_state_curated_lei+curated_lei+directory_name,2128,5374,2128,high,reuse_prior_state_curated_lei map for MD activity (2128 MD originations); slug=guild-mortgage-metrowest.
549300KBWX4NV5Q1E376,"NVR Mortgage Finance, Inc.",1127,nvr-mortgage,"NVR Mortgage Finance, Inc.",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+sc_curated+sc_curated_gleif+public_nmls,1912,0,1912,high,reuse_prior_state_curated_lei map for MD activity (1912 MD originations); slug=nvr-mortgage.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1763,11987,1763,high,reuse_prior_state_curated_lei map for MD activity (1763 MD originations); slug=freedom-mortgage.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1711,5643,1711,high,reuse_prior_state_curated_lei map for MD activity (1711 MD originations); slug=newrez.
54930080168VA6Z8UX21,TOWER Federal Credit Union,586147,tower-federal-credit-union,Tower Federal Credit Union,high,reuse_prior_state_curated_lei+va_md_curated+va_md_curated_gleif+public_nmls,1696,0,1696,high,reuse_prior_state_curated_lei map for MD activity (1696 MD originations); slug=tower-federal-credit-union.
N8T7HW55LK5D2ORCKP39,First National Bank of Pennsylvania,766529,first-national-bank-of-pennsylvania,First National Bank of Pennsylvania,high,reuse_prior_state_curated_lei+pa_curated+gleif+fnb_online_nmls,1678,0,1678,high,reuse_prior_state_curated_lei map for MD activity (1678 MD originations); slug=first-national-bank-of-pennsylvania.
54930039UO39UJGI7078,TowneBank,512138,townebank,TowneBank / TowneBank Mortgage,high,reuse_prior_state_curated_lei+va_md_curated+va_md_curated_gleif+public_nmls,1552,0,1552,high,reuse_prior_state_curated_lei map for MD activity (1552 MD originations); slug=townebank.
5493004XJV6Y8XQYPX87,ABERDEEN PROVING GROUND FEDERAL CREDIT UNION,480340,apg-federal-credit-union,APG Federal Credit Union,high,va_md_curated+va_md_deepen_gleif+public_nmls,1497,0,1497,high,va_md_curated map for MD activity (1497 MD originations); slug=apg-federal-credit-union.
