year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MD,549300FGXN1K3HLB1R50,,12964,9294,24033:1500; 24031:1166; 24005:1143; 24003:1002; 24021:599,7091,1307,896,0,0,76.3,14.06,9.64,national
2025,MD,549300HW662MN1WU8550,,9306,6306,24033:1111; 24005:806; 24003:763; 24031:739; 24510:580,3214,1507,1576,9,0,50.97,23.9,24.99,national
2025,MD,5493003GQDUH26DNNH17,,11436,5163,24033:1106; 24003:912; 24031:559; 24017:422; 24021:309,4525,0,638,0,0,87.64,0.0,12.36,national
2025,MD,549300GPO6DWUZR4UY30,,4496,3559,24003:526; 24510:481; 24005:424; 24031:304; 24033:301,2343,719,452,45,0,65.83,20.2,12.7,national
2025,MD,JJKC32MCHWDI71265Z06,,6559,3245,24031:795; 24033:323; 24003:311; 24021:283; 24005:273,3159,55,27,4,0,97.35,1.69,0.83,national
2025,MD,WWB2V0FCW3A0EE3ZJN75,,5497,3115,24005:617; 24031:463; 24510:312; 24003:298; 24025:214,2919,164,32,0,0,93.71,5.26,1.03,national
2025,MD,AD6GFRVSDT01YPT1CS68,,5582,2948,24021:518; 24031:358; 24005:269; 24013:242; 24033:234,2910,29,8,1,0,98.71,0.98,0.27,national
2025,MD,RVDPPPGHCGZ40J4VQ731,,5411,2636,24033:410; 24003:312; 24031:290; 24005:283; 24021:184,1534,677,419,6,0,58.19,25.68,15.9,national
2025,MD,549300AY1W8F91VLTB05,,5624,2466,24005:478; 24003:382; 24031:253; 24510:239; 24027:222,2405,56,5,0,0,97.53,2.27,0.2,national
2025,MD,549300MCIFZSDHUT8X63,,2831,2255,24005:389; 24003:379; 24510:314; 24033:223; 24025:135,1482,499,268,6,0,65.72,22.13,11.88,national
2025,MD,B4TYDEB6GKMZO031MB27,,6051,2255,24031:488; 24005:327; 24003:260; 24033:246; 24027:199,2253,2,0,0,0,99.91,0.09,0.0,national
2025,MD,549300LYRWPSYPK6S325,,5078,2128,24033:406; 24003:277; 24005:235; 24017:221; 24031:130,237,874,1017,0,0,11.14,41.07,47.79,national
2025,MD,549300KBWX4NV5Q1E376,,2739,1912,24033:632; 24003:309; 24021:230; 24025:185; 24027:154,996,568,348,0,0,52.09,29.71,18.2,national
2025,MD,549300VZVN841I2ILS84,,2741,1763,24031:259; 24033:237; 24005:210; 24510:191; 24003:181,1126,388,240,9,0,63.87,22.01,13.61,national
