lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,massachusetts_originations,florida_originations,total_originations,priority_match,notes
DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association",433960,citizens-bank,"Citizens Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,10235,2297,10235,high,reuse_prior_state_curated_lei map for MA activity (10235 MA originations); slug=citizens-bank.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,6590,31530,6590,high,reuse_prior_state_curated_lei map for MA activity (6590 MA originations); slug=rocket-mortgage.
549300FK3AFCFVAPH234,"Leader Bank, National Association",449250,leader-bank,"Leader Bank, National Association",high,ma_curated+ma_curated_gleif+public_nmls,4926,0,4926,high,ma_curated map for MA activity (4926 MA originations); slug=leader-bank.
549300U3721PJGQZYY68,Nationstar Mortgage LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,4507,3204,4507,high,reuse_prior_state_curated_lei map for MA activity (4507 MA originations); slug=mr-cooper.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,4404,49897,4404,high,reuse_prior_state_curated_lei map for MA activity (4404 MA originations); slug=united-wholesale-mortgage.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3923,11987,3923,high,reuse_prior_state_curated_lei map for MA activity (3923 MA originations); slug=freedom-mortgage.
X8V2II80XTQHRH7NCB19,Eastern Bank,451827,eastern-bank,Eastern Bank,high,ma_curated+ma_curated_gleif+public_nmls,3620,0,3620,high,ma_curated map for MA activity (3620 MA originations); slug=eastern-bank.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3551,7938,3551,high,reuse_prior_state_curated_lei map for MA activity (3551 MA originations); slug=guaranteed-rate.
TKT6FH38184ZYBTPKS77,Rockland Trust Company,401447,rockland-trust,Rockland Trust Company,high,ma_curated+ma_curated_gleif+public_nmls,3239,0,3239,high,ma_curated map for MA activity (3239 MA originations); slug=rockland-trust.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2329,4388,2329,high,reuse_prior_state_curated_lei map for MA activity (2329 MA originations); slug=amerihome-mortgage.
549300AQ3T62GXDU7D76,Ally Bank,181005,ally-bank,Ally Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2282,2790,2282,high,reuse_prior_state_curated_lei map for MA activity (2282 MA originations); slug=ally-bank.
03D0JEWFDFUS0SEEKG89,"TD Bank, National Association",481428,td-bank,"TD Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1975,2722,1975,high,reuse_prior_state_curated_lei map for MA activity (1975 MA originations); slug=td-bank.
549300MGPZBLQDIL7538,"PrimeLending, a PlainsCapital Company",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_prior_state_curated_lei+curated_lei+directory_name,1954,3153,1954,high,reuse_prior_state_curated_lei map for MA activity (1954 MA originations); slug=primelending-columbus.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1900,7460,1900,high,reuse_prior_state_curated_lei map for MA activity (1900 MA originations); slug=pennymac.
WWB2V0FCW3A0EE3ZJN75,Manufacturers and Traders Trust Company,381076,mt-bank,Manufacturers and Traders Trust Company (M&T Bank),high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+nj_curated+nj_curated_gleif+public_nmls,1690,0,1690,high,reuse_prior_state_curated_lei map for MA activity (1690 MA originations); slug=mt-bank.
549300DD4R4SYK5RAQ92,"Cardinal Financial Company, Limited Partnership",66247,cardinal-financial,"Cardinal Financial Company, Limited Partnership",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1412,4122,1412,high,reuse_prior_state_curated_lei map for MA activity (1412 MA originations); slug=cardinal-financial.
549300VJQJVZKJBDWS17,"TOTAL MORTGAGE SERVICES, LLC",2764,total-mortgage-services,"Total Mortgage Services, LLC",high,ma_curated+ma_curated_gleif+public_nmls,1361,0,1361,high,ma_curated map for MA activity (1361 MA originations); slug=total-mortgage-services.
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,reuse_prior_state_curated_lei+curated_lei+directory_name,1315,9704,1315,high,reuse_prior_state_curated_lei map for MA activity (1315 MA originations); slug=fairway-mortgage-augusta-sheppard.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1248,6131,1248,high,reuse_prior_state_curated_lei map for MA activity (1248 MA originations); slug=jpmorgan-chase-bank.
549300H8H31LPYGJEW50,"SALEM FIVE MORTGAGE COMPANY, LLC",4662,salem-five-mortgage,"Salem Five Mortgage Company, LLC",high,ma_curated+ma_curated_gleif+public_nmls,1194,0,1194,high,ma_curated map for MA activity (1194 MA originations); slug=salem-five-mortgage.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1151,5643,1151,high,reuse_prior_state_curated_lei map for MA activity (1151 MA originations); slug=newrez.
549300E2UX99HKDBR481,"Broker Solutions, Inc.",6606,new-american-funding,"Broker Solutions, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1118,3881,1118,high,reuse_prior_state_curated_lei map for MA activity (1118 MA originations); slug=new-american-funding.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,932,3546,932,high,reuse_prior_state_curated_lei map for MA activity (932 MA originations); slug=mr-cooper.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,876,2279,876,high,reuse_prior_state_curated_lei map for MA activity (876 MA originations); slug=us-bank.
54930001NSTOD85LT125,"GUARANTEED RATE AFFINITY, LLC",1598647,guaranteed-rate-affinity,"Guaranteed Rate Affinity, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+reuse_fl_tx_ga_ca_nc_sc_curated_lei+sc_curated+sc_curated_gleif+public_nmls,816,0,816,high,reuse_prior_state_curated_lei map for MA activity (816 MA originations); slug=guaranteed-rate-affinity.
549300LYRWPSYPK6S325,Guild Mortgage Company LLC,3274,guild-mortgage-metrowest,Guild Mortgage (West Valley Branches),high,reuse_prior_state_curated_lei+curated_lei+directory_name,792,5374,792,high,reuse_prior_state_curated_lei map for MA activity (792 MA originations); slug=guild-mortgage-metrowest.
549300F8C5JA44WNMI75,AMERICAN NEIGHBORHOOD MORTGAGE ACCEPTANCE COMPANY LLC,338923,anniemac-home-mortgage,American Neighborhood Mortgage Acceptance Company LLC (dba AnnieMac),high,reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,739,0,739,high,reuse_prior_state_curated_lei map for MA activity (739 MA originations); slug=anniemac-home-mortgage.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,reuse_prior_state_curated_lei+curated_lei+directory_name,690,8416,690,high,reuse_prior_state_curated_lei map for MA activity (690 MA originations); slug=navy-federal-jacksonville.
549300OPCWU6E72WUT29,"MUTUAL OF OMAHA MORTGAGE, INC.",1025894,mutual-of-omaha-mortgage,"Mutual of Omaha Mortgage, Inc.",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+public_nmls,628,0,628,high,reuse_prior_state_curated_lei map for MA activity (628 MA originations); slug=mutual-of-omaha-mortgage.
549300DD5QQUHO6PCH70,"Movement Mortgage, LLC",39179,movement-mortgage-myrtle-beach,Movement Mortgage — Myrtle Beach,high,reuse_prior_state_curated_lei+curated_lei+directory_name,625,5506,625,high,reuse_prior_state_curated_lei map for MA activity (625 MA originations); slug=movement-mortgage-myrtle-beach.
549300EMNDEK4BA8WB53,EMM LOANS LLC,2926,emm-loans,EMM Loans LLC,high,reuse_prior_state_curated_lei+pa_curated+gleif+emm_loans_nmls,523,0,523,high,reuse_prior_state_curated_lei map for MA activity (523 MA originations); slug=emm-loans.
549300YIQ7S7Z8PIHE53,AMERISAVE MORTGAGE CORPORATION,1168,amerisave,AmeriSave Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,498,1667,498,high,reuse_prior_state_curated_lei map for MA activity (498 MA originations); slug=amerisave.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,390,3475,390,medium,reuse_prior_state_curated_lei map for MA activity (390 MA originations); slug=pnc-bank.
549300NOCASXPA34X033,"LAKEVIEW LOAN SERVICING, LLC",4095,lakeview-loan-servicing,"Lakeview Loan Servicing, LLC",high,reuse_prior_state_curated_lei+curated_public_nmls+directory_profile,375,1488,375,medium,reuse_prior_state_curated_lei map for MA activity (375 MA originations); slug=lakeview-loan-servicing.
54930054ET8KM4O1D485,"SOFI BANK, NATIONAL ASSOCIATION",1121636,sofi-bank,"SoFi Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,364,1042,364,medium,reuse_prior_state_curated_lei map for MA activity (364 MA originations); slug=sofi-bank.
549300121SF0K2LN2804,"PRIMELENDING, A PLAINSCAPITAL COMPANY",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_prior_state_curated_lei+gleif_name_to_directory,339,931,339,medium,reuse_prior_state_curated_lei map for MA activity (339 MA originations); slug=primelending-columbus.
KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association",399801,wells-fargo-bank,"Wells Fargo Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,282,2670,282,medium,reuse_prior_state_curated_lei map for MA activity (282 MA originations); slug=wells-fargo-bank.
549300PIL8LFAQ04XC20,Better Mortgage Corporation,330511,better-mortgage,Better Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,280,2675,280,medium,reuse_prior_state_curated_lei map for MA activity (280 MA originations); slug=better-mortgage.
213800QUAI2VH5YM6310,"EMBRACE HOME LOANS, INC.",2184,embrace-home-loans,"Embrace Home Loans, Inc.",high,reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,257,0,257,medium,reuse_prior_state_curated_lei map for MA activity (257 MA originations); slug=embrace-home-loans.
549300MCIFZSDHUT8X63,"NFM, INC.",2893,nfm-lending,"NFM, Inc. (dba NFM Lending)",high,reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,248,0,248,medium,reuse_prior_state_curated_lei map for MA activity (248 MA originations); slug=nfm-lending.
5493008CPTDVOS570626,"Primary Residential Mortgage, Inc.",3094,prmi-aaron-swenson,Primary Residential Mortgage (Aaron Swenson Branch),high,reuse_prior_state_curated_lei+curated_lei+directory_name,246,3765,246,medium,reuse_prior_state_curated_lei map for MA activity (246 MA originations); slug=prmi-aaron-swenson.
549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,1904,union-home-mortgage-reeves-team,Union Home Mortgage Corp.,high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+company_nmls+ga_directory,241,0,241,medium,reuse_prior_state_curated_lei map for MA activity (241 MA originations); slug=union-home-mortgage-reeves-team.
549300XY701IELCE5Q08,BETTER MORTGAGE CORPORATION,330511,better-mortgage,Better Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,218,1004,218,medium,reuse_prior_state_curated_lei map for MA activity (218 MA originations); slug=better-mortgage.
E57ODZWZ7FF32TWEFA76,"Citibank, National Association",412915,citibank,"Citibank, National Association",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,212,0,212,medium,reuse_prior_state_curated_lei map for MA activity (212 MA originations); slug=citibank.
L9VVX1KT5TFTKS0MLF66,First-Citizens Bank & Trust Company,503941,first-citizens-bank,First-Citizens Bank & Trust Company,high,reuse_prior_state_curated_lei+sc_curated+sc_curated_gleif+public_nmls,197,0,197,medium,reuse_prior_state_curated_lei map for MA activity (197 MA originations); slug=first-citizens-bank.
254900ZFWS2106HWPH46,"PARAMOUNT RESIDENTIAL MORTGAGE GROUP, INC.",75243,prmg,Paramount Residential Mortgage Group (PRMG),medium,reuse_prior_state_curated_lei+gleif_name_to_directory,184,3741,184,medium,reuse_prior_state_curated_lei map for MA activity (184 MA originations); slug=prmg.
5493005PKOSG7MYX0B34,"Prosperity Home Mortgage, LLC",75164,prosperity-home-mortgage,"Prosperity Home Mortgage, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+nj_curated+nj_curated_gleif+public_nmls,174,0,174,medium,reuse_prior_state_curated_lei map for MA activity (174 MA originations); slug=prosperity-home-mortgage.
5493001WHVQBGRSWEU75,"HOMEBRIDGE FINANCIAL SERVICES, INC.",6521,homebridge-financial,"Homebridge Financial Services, Inc.",high,reuse_prior_state_curated_lei+curated_public_nmls+directory_profile,168,2433,168,medium,reuse_prior_state_curated_lei map for MA activity (168 MA originations); slug=homebridge-financial.
549300T3F9S1MKFKHC53,HOMESTEAD FUNDING CORP.,3232,homestead-funding,Homestead Funding Corp.,high,reuse_prior_state_curated_lei+ny_curated+ny_curated_gleif+public_nmls,154,0,154,medium,reuse_prior_state_curated_lei map for MA activity (154 MA originations); slug=homestead-funding.
5493004WMLN60ZJ2ON46,"Paramount Residential Mortgage Group, Inc.",75243,prmg,Paramount Residential Mortgage Group (PRMG),high,reuse_prior_state_curated_lei+curated_lei+directory_name,141,4200,141,medium,reuse_prior_state_curated_lei map for MA activity (141 MA originations); slug=prmg.
549300DE8TS4EYTPX729,"AFFORDABLE MORTGAGE ADVISORS, LLC",139164,hma-mortgage,"Affordable Mortgage Advisors, LLC dba HMA Mortgage",high,reuse_prior_state_curated_lei+pa_curated+gleif+hma_mortgage_nmls,141,0,141,medium,reuse_prior_state_curated_lei map for MA activity (141 MA originations); slug=hma-mortgage.
5493008NWHQT1R22C024,"AMERICAN FINANCIAL NETWORK, INC.",237341,american-financial-network,"American Financial Network, Inc.",high,reuse_prior_state_curated_lei+ca_curated+ca_curated_gleif+public_nmls,138,0,138,medium,reuse_prior_state_curated_lei map for MA activity (138 MA originations); slug=american-financial-network.
549300O6Z0I6KYMESL47,AMWEST FUNDING CORP.,167441,amwest-funding,AmWest Funding Corp.,high,reuse_prior_state_curated_lei+ca_curated+ca_curated_gleif+public_nmls,136,0,136,medium,reuse_prior_state_curated_lei map for MA activity (136 MA originations); slug=amwest-funding.
C5654JQHZUHN0772B561,USAA Federal Savings Bank,399809,usaa-federal-savings-bank,USAA Federal Savings Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,129,825,129,medium,reuse_prior_state_curated_lei map for MA activity (129 MA originations); slug=usaa-federal-savings-bank.
549300JYXTZDSPJEPI44,"PLAZA HOME MORTGAGE, INC.",2113,plaza-home-mortgage,"Plaza Home Mortgage, Inc.",high,reuse_prior_state_curated_lei+ny_curated+ny_curated_gleif+public_nmls,124,0,124,medium,reuse_prior_state_curated_lei map for MA activity (124 MA originations); slug=plaza-home-mortgage.
549300RN01LBYR8ZVX74,"LOWER, LLC",1124061,lower,"Lower, LLC",high,reuse_prior_state_curated_lei+sc_curated+sc_curated_gleif+public_nmls,103,0,103,medium,reuse_prior_state_curated_lei map for MA activity (103 MA originations); slug=lower.
549300FX7K8PTEQUU487,PENTAGON FEDERAL CREDIT UNION,401822,penfed-dc-mid-city,Pentagon Federal Credit Union,high,reuse_prior_state_curated_lei+gleif_name_to_directory,102,972,102,medium,reuse_prior_state_curated_lei map for MA activity (102 MA originations); slug=penfed-dc-mid-city.
5493009BOQDC6PCFR785,"NBT Bank, National Association",500501,nbt-bank,"NBT Bank, National Association",high,reuse_prior_state_curated_lei+ny_curated+ny_curated_gleif+public_nmls,85,0,85,medium,reuse_prior_state_curated_lei map for MA activity (85 MA originations); slug=nbt-bank.
549300370QILXLFUWD20,"ZILLOW HOME LOANS, LLC",1027871,zillow-home-loans,"Zillow Home Loans, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+public_nmls,67,0,67,medium,reuse_prior_state_curated_lei map for MA activity (67 MA originations); slug=zillow-home-loans.
JJKC32MCHWDI71265Z06,Truist Bank,405457,truist-bank,Truist Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,56,6117,56,medium,reuse_prior_state_curated_lei map for MA activity (56 MA originations); slug=truist-bank.
549300SK2GVCQXPD4S58,"SUN WEST MORTGAGE COMPANY, INC.",3277,sun-west-mortgage,"Sun West Mortgage Company, Inc.",high,reuse_prior_state_curated_lei+ca_curated+ca_curated_gleif+public_nmls,55,0,55,medium,reuse_prior_state_curated_lei map for MA activity (55 MA originations); slug=sun-west-mortgage.
SS1TRMSN6BRNMOREEV51,"Flagstar Bank, National Association",399797,flagstar-bank,"Flagstar Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,50,737,50,medium,reuse_prior_state_curated_lei map for MA activity (50 MA originations); slug=flagstar-bank.
54930021WPEXNHYZUL09,"PLANET HOME LENDING, LLC",17022,planet-home-lending,"Planet Home Lending, LLC",high,reuse_prior_state_curated_lei+ga_curated_gleif+public_nmls,48,0,48,medium,reuse_prior_state_curated_lei map for MA activity (48 MA originations); slug=planet-home-lending.
2WHM8VNJH63UN14OL754,The Huntington National Bank,402436,huntington-national-bank,The Huntington National Bank,high,reuse_prior_state_curated_lei+pa_curated+gleif+huntington_nmls,46,0,46,medium,reuse_prior_state_curated_lei map for MA activity (46 MA originations); slug=huntington-national-bank.
549300KIOYNU323LVJ37,AMERICAN PACIFIC MORTGAGE CORPORATION,1850,american-pacific-mortgage-inland-empire,American Pacific Mortgage (Inland Empire),medium,reuse_prior_state_curated_lei+gleif_name_to_directory,41,1750,41,medium,reuse_prior_state_curated_lei map for MA activity (41 MA originations); slug=american-pacific-mortgage-inland-empire.
254900HA4DQWAE0W3342,"AMERIHOME MORTGAGE COMPANY, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_prior_state_curated_lei+ga_curated_alt_lei+company_nmls,40,0,40,medium,reuse_prior_state_curated_lei map for MA activity (40 MA originations); slug=amerihome-mortgage.
5493005JPZ3LXXMB0S24,"Carrington Mortgage Services, LLC",2250,carrington-mortgage,"Carrington Mortgage Services, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,32,2916,32,medium,reuse_prior_state_curated_lei map for MA activity (32 MA originations); slug=carrington-mortgage.
549300XWUSRVVOHPRY47,Academy Mortgage Corporation,3113,academy-mortgage,Academy Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,29,2938,29,medium,reuse_prior_state_curated_lei map for MA activity (29 MA originations); slug=academy-mortgage.
549300EM8ID8J7F8OM55,"First Heritage Mortgage, LLC",86548,first-heritage-mortgage,"First Heritage Mortgage, LLC",high,reuse_prior_state_curated_lei+sc_curated+sc_curated_gleif+public_nmls,17,0,17,medium,reuse_prior_state_curated_lei map for MA activity (17 MA originations); slug=first-heritage-mortgage.
549300CLRXFVF83ZL806,"NATIONWIDE MORTGAGE BANKERS, INC.",819382,nationwide-mortgage-bankers,"Nationwide Mortgage Bankers, Inc. (NMB / NMBNOW)",high,reuse_prior_state_curated_lei+ny_curated+ny_curated_gleif+public_nmls,17,0,17,medium,reuse_prior_state_curated_lei map for MA activity (17 MA originations); slug=nationwide-mortgage-bankers.
QFROUN1UWUYU0DVIWD51,"Eagle Home Mortgage, LLC",2925,eagle-home-mortgage,"Eagle Home Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,13,3553,13,medium,reuse_prior_state_curated_lei map for MA activity (13 MA originations); slug=eagle-home-mortgage.
549300LLKEKXL2RM1F61,CONTOUR MORTGAGE CORPORATION,34384,contour-mortgage,Contour Mortgage Corporation,high,reuse_prior_state_curated_lei+ny_curated+ny_curated_gleif+public_nmls,10,0,10,medium,reuse_prior_state_curated_lei map for MA activity (10 MA originations); slug=contour-mortgage.
254900DTLHVWQ7NP7R34,"CMG Mortgage, Inc.",2458338,cmg-home-loans-dennis-vo,CMG Home Loans (Dennis Vo Team),high,reuse_prior_state_curated_lei+curated_lei+directory_name,7,4627,7,medium,reuse_prior_state_curated_lei map for MA activity (7 MA originations); slug=cmg-home-loans-dennis-vo.
5493005DKMV1IHIM8E20,"Wilmington Savings Fund Society, FSB",417673,wsfs-bank,"Wilmington Savings Fund Society, FSB",high,reuse_prior_state_curated_lei+pa_curated+gleif+wsfs_nmls,7,0,7,medium,reuse_prior_state_curated_lei map for MA activity (7 MA originations); slug=wsfs-bank.
254900F9ZTVTX763V835,"Advisors Mortgage Group, L.L.C.",33041,advisors-mortgage-group,"Advisors Mortgage Group, L.L.C.",high,reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,6,0,6,medium,reuse_prior_state_curated_lei map for MA activity (6 MA originations); slug=advisors-mortgage-group.
549300R9S3MVDV4MGF56,"CARRINGTON MORTGAGE SERVICES, LLC",2250,carrington-mortgage,"Carrington Mortgage Services, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_alt_lei+company_nmls,5,0,5,medium,reuse_prior_state_curated_lei map for MA activity (5 MA originations); slug=carrington-mortgage.
KI0VI4JRMCIJ329YTN75,Valley National Bank,411254,valley-national-bank,Valley National Bank,high,reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,5,0,5,medium,reuse_prior_state_curated_lei map for MA activity (5 MA originations); slug=valley-national-bank.
IUGPUX5LWRZ3B6KIZ697,Ameris Bank,405455,ameris-bank,Ameris Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,4,1846,4,medium,reuse_prior_state_curated_lei map for MA activity (4 MA originations); slug=ameris-bank.
254900ACUWEGW702BR80,"FM Home Loans, LLC",2212,fm-home-loans,"FM Home Loans, LLC",high,reuse_prior_state_curated_lei+ny_curated+ny_curated_gleif+public_nmls,4,0,4,medium,reuse_prior_state_curated_lei map for MA activity (4 MA originations); slug=fm-home-loans.
EQTWLK1G7ODGC2MGLV11,Regions Bank,467341,regions-bank,Regions Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3,5826,3,medium,reuse_prior_state_curated_lei map for MA activity (3 MA originations); slug=regions-bank.
5493002N5168AC238149,"OceanFirst Bank, National Association",409701,oceanfirst-bank,"OceanFirst Bank, National Association",high,reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,2,0,2,medium,reuse_prior_state_curated_lei map for MA activity (2 MA originations); slug=oceanfirst-bank.
254900XN7UWEWK13RO81,PREMIUM MORTGAGE CORPORATION,3254,premium-mortgage,Premium Mortgage Corporation,high,reuse_prior_state_curated_lei+ny_curated+ny_curated_gleif+public_nmls,2,0,2,medium,reuse_prior_state_curated_lei map for MA activity (2 MA originations); slug=premium-mortgage.
COOWI3L2W9TPYR3WJX37,First Horizon Bank,405456,first-horizon-bank,First Horizon Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1,1045,1,medium,reuse_prior_state_curated_lei map for MA activity (1 MA originations); slug=first-horizon-bank.
549300D4ZYLSQ5LMTV35,ABSOLUTE HOME MORTGAGE CORPORATION,176743,absolute-home-mortgage,Absolute Home Mortgage Corporation,high,reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,1,0,1,medium,reuse_prior_state_curated_lei map for MA activity (1 MA originations); slug=absolute-home-mortgage.
