lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,michigan_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,22693,31530,22693,high,reuse_prior_state_curated_lei map for MI activity (22693 MI originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,22015,49897,22015,high,reuse_prior_state_curated_lei map for MI activity (22015 MI originations); slug=united-wholesale-mortgage.
549300YB1H2FRI6JPM51,LAKE MICHIGAN CREDIT UNION,442967,lake-michigan-credit-union,Lake Michigan Credit Union,high,mi_in_curated+mi_in_curated_gleif+public_nmls,12864,0,12864,high,mi_in_curated map for MI activity (12864 MI originations); slug=lake-michigan-credit-union.
2WHM8VNJH63UN14OL754,The Huntington National Bank,402436,huntington-national-bank,The Huntington National Bank,high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+pa_curated+gleif+huntington_nmls,10932,0,10932,high,reuse_prior_state_curated_lei map for MI activity (10932 MI originations); slug=huntington-national-bank.
QFROUN1UWUYU0DVIWD51,"Eagle Home Mortgage, LLC",2925,eagle-home-mortgage,"Eagle Home Mortgage, LLC",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+curated_lei_public_nmls,6106,3553,6106,high,reuse_prior_state_curated_lei map for MI activity (6106 MI originations); slug=eagle-home-mortgage.
549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,1904,union-home-mortgage-reeves-team,Union Home Mortgage Corp.,high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+company_nmls+ga_directory,4118,0,4118,high,reuse_prior_state_curated_lei map for MI activity (4118 MI originations); slug=union-home-mortgage-reeves-team.
DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association",433960,citizens-bank,"Citizens Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3697,2297,3697,high,reuse_prior_state_curated_lei map for MI activity (3697 MI originations); slug=citizens-bank.
549300IWE0Y507LPF493,MORTGAGE 1 INCORPORATED,129386,mortgage-1,Mortgage 1 Incorporated,high,mi_in_curated+mi_in_curated_gleif+public_nmls,3342,0,3342,high,mi_in_curated map for MI activity (3342 MI originations); slug=mortgage-1.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2995,6131,2995,high,reuse_prior_state_curated_lei map for MI activity (2995 MI originations); slug=jpmorgan-chase-bank.
549300W6K140RN8NQB93,DFCU FINANCIAL,409709,dfcu-financial,DFCU Financial,high,mi_in_curated+mi_in_curated_gleif+public_nmls,2985,0,2985,high,mi_in_curated map for MI activity (2985 MI originations); slug=dfcu-financial.
549300WWLOUWIJ1Q0H29,MICHIGAN SCHOOLS AND GOVERNMENT,423037,msgcu,Michigan Schools and Government Credit Union (MSGCU),high,mi_in_curated+mi_in_deepen_gleif+public_nmls,2902,0,2902,high,mi_in_curated map for MI activity (2902 MI originations); slug=msgcu.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2885,3475,2885,high,reuse_prior_state_curated_lei map for MI activity (2885 MI originations); slug=pnc-bank.
549300QIUZLVR1OLDH55,Genisys Credit Union,409008,genisys-credit-union,Genisys Credit Union,high,mi_in_curated+mi_in_curated_gleif+public_nmls,2770,0,2770,high,mi_in_curated map for MI activity (2770 MI originations); slug=genisys-credit-union.
SS1TRMSN6BRNMOREEV51,"Flagstar Bank, National Association",399797,flagstar-bank,"Flagstar Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2677,737,2677,high,reuse_prior_state_curated_lei map for MI activity (2677 MI originations); slug=flagstar-bank.
5493008P6YO2KM3EO556,The Dart Bank,406384,dart-bank,Dart Bank,high,mi_in_curated+mi_in_deepen_gleif+public_nmls,2600,0,2600,high,mi_in_curated map for MI activity (2600 MI originations); slug=dart-bank.
