lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,mississippi_originations,florida_originations,total_originations,priority_match,notes
01J4SO3XTWZF4PP38209,Trustmark Bank,449605,trustmark-bank,Trustmark National Bank,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,4094,0,4094,high,ar_ms_ok_curated map for MS activity (4094 MS originations); slug=trustmark-bank.
Q7C315HKI8VX0SSKBS64,Cadence Bank,402436,cadence-bank,Cadence Bank,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,3510,0,3510,high,ar_ms_ok_curated map for MS activity (3510 MS originations); slug=cadence-bank.
5493005QK4NV0ZZ5EM64,Community Bank of Mississippi,402411,community-bank-of-mississippi,Community Bank of Mississippi,high,ar_ms_ok_curated+ar_ms_ok_gleif+public_nmls,3017,0,3017,high,ar_ms_ok_curated map for MS activity (3017 MS originations); slug=community-bank-of-mississippi.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,2997,0,2997,high,ar_ms_ok_curated map for MS activity (2997 MS originations); slug=rocket-mortgage.
5493002RF1ERFA2XR050,Renasant Bank,402669,renasant-bank,Renasant Bank,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,2189,0,2189,high,ar_ms_ok_curated map for MS activity (2189 MS originations); slug=renasant-bank.
549300SFG15JDKI5MD22,BankPlus,431487,bankplus,BankPlus,high,ar_ms_ok_curated+ar_ms_ok_gleif+public_nmls,1973,0,1973,high,ar_ms_ok_curated map for MS activity (1973 MS originations); slug=bankplus.
EQTWLK1G7ODGC2MGLV11,Regions Bank,467341,regions-bank,Regions Bank,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,1886,0,1886,high,ar_ms_ok_curated map for MS activity (1886 MS originations); slug=regions-bank.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,1430,0,1430,high,ar_ms_ok_curated map for MS activity (1430 MS originations); slug=united-wholesale-mortgage.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,1220,0,1220,high,ar_ms_ok_curated map for MS activity (1220 MS originations); slug=veterans-united-west-valley.
549300XQVJ1XBNFA5536,21ST MORTGAGE CORPORATION,2280,21st-mortgage,21st Mortgage Corporation,medium,reuse_prior_state_curated_lei+curated_public_nmls+directory_profile,1068,2098,1068,high,reuse_prior_state_curated_lei map for MS activity (1068 MS originations); slug=21st-mortgage.
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,3274,guild-mortgage-metrowest,Guild Mortgage Company LLC,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,808,0,808,high,ar_ms_ok_curated map for MS activity (808 MS originations); slug=guild-mortgage-metrowest.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,770,0,770,high,ar_ms_ok_curated map for MS activity (770 MS originations); slug=amerihome-mortgage.
549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,2767,freedom-mortgage,Freedom Mortgage Corporation,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,694,0,694,high,ar_ms_ok_curated map for MS activity (694 MS originations); slug=freedom-mortgage.
5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD.",14622,dhi-mortgage-buckeye,"DHI Mortgage Company, Ltd.",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+directory_slug,645,0,645,high,ar_ms_ok_curated map for MS activity (645 MS originations); slug=dhi-mortgage-buckeye.
549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",174457,loandepot,"loanDepot.com, LLC",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,638,0,638,high,ar_ms_ok_curated map for MS activity (638 MS originations); slug=loandepot.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,633,0,633,high,ar_ms_ok_curated map for MS activity (633 MS originations); slug=navy-federal-jacksonville.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,603,0,603,high,ar_ms_ok_curated map for MS activity (603 MS originations); slug=pennymac.
549300E2UX99HKDBR481,"NEW AMERICAN FUNDING, LLC",6606,new-american-funding,"New American Funding, LLC",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,571,0,571,high,ar_ms_ok_curated map for MS activity (571 MS originations); slug=new-american-funding.
549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",3029,crosscountry-mortgage-metrowest,"CrossCountry Mortgage, LLC",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,539,0,539,high,ar_ms_ok_curated map for MS activity (539 MS originations); slug=crosscountry-mortgage-metrowest.
NSGZD26XPW2CUM2JKU70,HANCOCK WHITNEY BANK,454781,hancock-whitney-bank,Hancock Whitney Bank,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,480,0,480,medium,ar_ms_ok_curated map for MS activity (480 MS originations); slug=hancock-whitney-bank.
549300QR0KFPEDZPEI42,STOCKTON MORTGAGE CORPORATION,,stockton-mortgage,Stockton Mortgage Corporation,high,reuse_prior_state_curated_lei+mo_ky_curated+mo_ky_gleif+lei_identity,391,0,391,medium,reuse_prior_state_curated_lei map for MS activity (391 MS originations); slug=stockton-mortgage.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,364,0,364,medium,ar_ms_ok_curated map for MS activity (364 MS originations); slug=mr-cooper.
549300VNBQD8FDHF7563,"MORTGAGE INVESTORS GROUP, INC.",34391,mortgage-investors-group-knoxville,"Mortgage Investors Group, Inc.",high,reuse_prior_state_curated_lei+tn_curated+tn_curated_gleif+public_nmls,341,0,341,medium,reuse_prior_state_curated_lei map for MS activity (341 MS originations); slug=mortgage-investors-group-knoxville.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,329,0,329,medium,ar_ms_ok_curated map for MS activity (329 MS originations); slug=newrez.
5493000YNV8IX4VD3X12,"VANDERBILT MORTGAGE AND FINANCE, INC.",1561,silverton-mortgage-myrtle-beach,"Vanderbilt Mortgage and Finance, Inc. (dba Silverton Mortgage)",high,reuse_prior_state_curated_lei+sc_curated+sc_curated_gleif+public_nmls+silverton_dba,313,0,313,medium,reuse_prior_state_curated_lei map for MS activity (313 MS originations); slug=silverton-mortgage-myrtle-beach.
549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,1904,union-home-mortgage-reeves-team,Union Home Mortgage Corp.,high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+company_nmls+ga_directory,299,0,299,medium,reuse_prior_state_curated_lei map for MS activity (299 MS originations); slug=union-home-mortgage-reeves-team.
54930021WPEXNHYZUL09,"PLANET HOME LENDING, LLC",17022,planet-home-lending,"Planet Home Lending, LLC",high,reuse_prior_state_curated_lei+ga_curated_gleif+public_nmls,288,0,288,medium,reuse_prior_state_curated_lei map for MS activity (288 MS originations); slug=planet-home-lending.
549300YIQ7S7Z8PIHE53,AMERISAVE MORTGAGE CORPORATION,1168,amerisave,AmeriSave Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,268,1667,268,medium,reuse_prior_state_curated_lei map for MS activity (268 MS originations); slug=amerisave.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,258,0,258,medium,ar_ms_ok_curated map for MS activity (258 MS originations); slug=jpmorgan-chase-bank.
5493001F7QT2YW3K8D98,"DSLD MORTGAGE, LLC",120308,dsld-mortgage,"DSLD Mortgage, LLC",high,reuse_prior_state_curated_lei+al_la_curated+al_la_gleif+public_nmls,249,0,249,medium,reuse_prior_state_curated_lei map for MS activity (249 MS originations); slug=dsld-mortgage.
549300OBO7DOF2KOP535,FirstBank,472433,firstbank-tennessee,FirstBank,high,reuse_prior_state_curated_lei+tn_curated+tn_curated_gleif+public_nmls,248,0,248,medium,reuse_prior_state_curated_lei map for MS activity (248 MS originations); slug=firstbank-tennessee.
549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage Corporation,high,ar_ms_ok_curated+ar_ms_ok_gleif_reidentify+public_nmls,246,0,246,medium,ar_ms_ok_curated map for MS activity (246 MS originations); slug=fairway-mortgage-augusta-sheppard.
549300R0SXC1JU7ZU290,"FIRST COMMUNITY MORTGAGE, INC.",629700,first-community-mortgage,"First Community Mortgage, Inc.",high,reuse_prior_state_curated_lei+tn_curated+tn_curated_gleif+public_nmls,244,0,244,medium,reuse_prior_state_curated_lei map for MS activity (244 MS originations); slug=first-community-mortgage.
549300SUCQ1358EGVE89,"NEW DAY FINANCIAL, LLC",1043,new-day-financial,"New Day Financial, LLC",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+sc_curated+sc_curated_gleif+public_nmls,219,0,219,medium,reuse_prior_state_curated_lei map for MS activity (219 MS originations); slug=new-day-financial.
