year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MS,01J4SO3XTWZF4PP38209,Trustmark Bank,5531,4094,28121:656; 28049:495; 28089:367; 28033:287; 28075:215,3032,809,183,70,0,74.06,19.76,4.47,national
2025,MS,Q7C315HKI8VX0SSKBS64,Cadence Bank,5301,3510,28121:395; 28033:348; 28049:294; 28081:259; 28047:246,3019,380,68,43,0,86.01,10.83,1.94,national
2025,MS,5493005QK4NV0ZZ5EM64,Community Bank of Mississippi,3856,3017,28067:419; 28121:412; 28049:239; 28047:219; 28059:154,2814,149,22,32,0,93.27,4.94,0.73,national
2025,MS,549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",4668,2997,28033:363; 28047:270; 28121:228; 28059:188; 28049:172,1865,799,333,0,0,62.23,26.66,11.11,national
2025,MS,5493002RF1ERFA2XR050,Renasant Bank,3188,2189,28081:320; 28087:122; 28095:119; 28089:118; 28071:114,1762,279,64,84,0,80.49,12.75,2.92,national
2025,MS,549300SFG15JDKI5MD22,BankPlus,2638,1973,28089:320; 28049:264; 28071:201; 28121:201; 28081:156,1863,84,21,5,0,94.42,4.26,1.06,national
2025,MS,EQTWLK1G7ODGC2MGLV11,Regions Bank,4916,1886,28049:228; 28033:204; 28121:168; 28089:124; 28047:86,1688,144,24,30,0,89.5,7.64,1.27,national
2025,MS,549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",2109,1430,28033:202; 28049:199; 28047:165; 28121:155; 28089:154,538,386,497,9,0,37.62,26.99,34.76,national
2025,MS,549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",2628,1220,28047:191; 28033:121; 28059:90; 28049:71; 28121:67,58,52,1107,3,0,4.75,4.26,90.74,national
2025,MS,549300XQVJ1XBNFA5536,21ST MORTGAGE CORPORATION,6764,1068,28087:32; 28121:31; 28107:31; 28047:31; 28031:28,1068,0,0,0,0,100.0,0.0,0.0,national
2025,MS,549300M03EN3OQEDU087,KEESLER,2422,1066,28047:353; 28059:232; 28045:114; 28109:86; 28035:49,795,173,94,4,0,74.58,16.23,8.82,national
2025,MS,549300CB67L6KPJLHE19,"TRIAD FINANCIAL SERVICES, INC.",3140,1014,28067:48; 28061:30; 28075:27; 28085:27; 28153:26,1014,0,0,0,0,100.0,0.0,0.0,national
2025,MS,5493007B7MEWKMDWUZ73,Guaranty Bank And Trust Company,1386,973,28071:104; 28033:96; 28081:83; 28141:69; 28151:65,868,77,15,13,0,89.21,7.91,1.54,national
2025,MS,549300BR7OTD25RTS027,BankFirst Financial Services,1044,869,28071:97; 28087:95; 28161:91; 28105:73; 28137:59,822,39,5,3,0,94.59,4.49,0.58,national
2025,MS,549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,1143,808,28121:142; 28047:94; 28089:85; 28033:76; 28049:61,403,302,69,34,0,49.88,37.38,8.54,national
2025,MS,549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1151,770,28047:296; 28059:197; 28033:78; 28045:76; 28109:22,224,286,143,117,0,29.09,37.14,18.57,national
2025,MS,549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,1626,694,28033:115; 28047:95; 28059:53; 28121:44; 28109:32,32,232,430,0,0,4.61,33.43,61.96,national
2025,MS,5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD.",1014,645,28047:192; 28093:116; 28059:88; 28033:65; 28039:56,128,273,222,22,0,19.84,42.33,34.42,national
2025,MS,549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",1195,638,28047:168; 28059:87; 28033:64; 28121:32; 28049:22,306,224,108,0,0,47.96,35.11,16.93,national
2025,MS,5493003GQDUH26DNNH17,Navy Federal Credit Union,1519,633,28047:164; 28033:75; 28059:73; 28075:35; 28045:32,407,0,226,0,0,64.3,0.0,35.7,national
2025,MS,549300CYL5ZW4ISL7T55,PriorityOne Bank,758,612,28121:130; 28089:93; 28073:68; 28049:60; 28127:44,457,123,18,14,0,74.67,20.1,2.94,national
2025,MS,RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",1342,603,28033:115; 28047:58; 28121:47; 28059:33; 28049:30,253,205,144,1,0,41.96,34.0,23.88,national
2025,MS,549300E2UX99HKDBR481,"NEW AMERICAN FUNDING, LLC",1585,571,28033:52; 28047:49; 28073:40; 28059:36; 28121:36,236,263,60,12,0,41.33,46.06,10.51,national
2025,MS,254900RFZH9I62FGU045,"AMERICAN MORTGAGE BANK, INC.",762,546,28049:169; 28121:164; 28089:88; 28149:15; 28123:13,215,233,30,68,0,39.38,42.67,5.49,national
2025,MS,549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",941,539,28047:115; 28033:94; 28059:52; 28085:29; 28089:24,218,206,87,28,0,40.45,38.22,16.14,national
