lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,missouri_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,7481,31530,7481,high,reuse_prior_state_curated_lei map for MO activity (7481 MO originations); slug=rocket-mortgage.
549300LXKO1O7CSK5J52,"FLAT BRANCH MORTGAGE, INC.",,flat-branch-mortgage,"Flat Branch Mortgage, Inc.",high,mo_ky_curated+mo_ky_gleif+lei_identity,7301,0,7301,high,mo_ky_curated map for MO activity (7301 MO originations); slug=flat-branch-mortgage.
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,3274,guild-mortgage-metrowest,Guild Mortgage Company LLC,high,mo_ky_curated+mo_ky_gleif_reidentify+public_nmls,5462,0,5462,high,mo_ky_curated map for MO activity (5462 MO originations); slug=guild-mortgage-metrowest.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,5338,49897,5338,high,reuse_prior_state_curated_lei map for MO activity (5338 MO originations); slug=united-wholesale-mortgage.
549300UF3FPC7U6RFC59,The Central Trust Bank,,central-trust-bank,The Central Trust Bank,high,mo_ky_curated+mo_ky_gleif+lei_identity,4768,0,4768,high,mo_ky_curated map for MO activity (4768 MO originations); slug=central-trust-bank.
5493002QRULT2T40BH09,COMMUNITYAMERICA FEDERAL CREDIT UNION,,communityamerica-federal-credit-union,CommunityAmerica Federal Credit Union,high,mo_ky_curated+mo_ky_gleif+lei_identity,3721,0,3721,high,mo_ky_curated map for MO activity (3721 MO originations); slug=communityamerica-federal-credit-union.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3622,2279,3622,high,reuse_prior_state_curated_lei map for MO activity (3622 MO originations); slug=us-bank.
549300ZZME37MXI1EF14,"DAS ACQUISITION COMPANY, LLC",,das-acquisition-company,"DAS Acquisition Company, LLC",high,mo_ky_curated+mo_ky_gleif+lei_identity,3201,0,3201,high,mo_ky_curated map for MO activity (3201 MO originations); slug=das-acquisition-company.
549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",1907,veterans-united-west-valley,"Mortgage Research Center, LLC (Veterans United Home Loans)",high,mo_ky_curated+mo_ky_gleif_reidentify+public_nmls,2901,0,2901,high,mo_ky_curated map for MO activity (2901 MO originations); slug=veterans-united-west-valley.
549300E2UX99HKDBR481,"Broker Solutions, Inc.",6606,new-american-funding,"Broker Solutions, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2619,3881,2619,high,reuse_prior_state_curated_lei map for MO activity (2619 MO originations); slug=new-american-funding.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,mo_ky_curated+mo_ky_gleif_reidentify+public_nmls,2580,0,2580,high,mo_ky_curated map for MO activity (2580 MO originations); slug=pennymac.
7DMUJTL9FFTVIAG9H788,Commerce Bank,,commerce-bank,Commerce Bank,high,mo_ky_curated+mo_ky_gleif+lei_identity,2488,0,2488,high,mo_ky_curated map for MO activity (2488 MO originations); slug=commerce-bank.
