year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MO,549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",10591,7481,29189:987; 29095:874; 29183:620; 29077:412; 29047:410,5338,1480,663,0,0,71.35,19.78,8.86,national
2025,MO,549300LXKO1O7CSK5J52,"FLAT BRANCH MORTGAGE, INC.",9334,7301,29097:768; 29019:506; 29077:479; 29189:449; 29095:427,4298,1732,733,538,0,58.87,23.72,10.04,national
2025,MO,549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,7511,5462,29189:1517; 29183:576; 29099:535; 29095:452; 29510:420,3735,1128,292,307,0,68.38,20.65,5.35,national
2025,MO,549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",6709,5338,29189:1197; 29095:750; 29183:554; 29099:347; 29047:311,3544,952,816,26,0,66.39,17.83,15.29,national
2025,MO,549300UF3FPC7U6RFC59,The Central Trust Bank,7022,4768,29019:675; 29051:480; 29189:401; 29077:329; 29029:278,4353,292,76,47,0,91.3,6.12,1.59,national
2025,MO,5493002QRULT2T40BH09,COMMUNITYAMERICA FEDERAL CREDIT UNION,5843,3721,29095:1654; 29047:1020; 29165:368; 29037:246; 29189:93,3539,137,40,5,0,95.11,3.68,1.07,national
2025,MO,6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,7187,3622,29189:823; 29183:426; 29095:296; 29099:167; 29077:161,3445,127,42,8,0,95.11,3.51,1.16,national
2025,MO,549300ZZME37MXI1EF14,"DAS ACQUISITION COMPANY, LLC",4149,3201,29189:689; 29183:378; 29099:278; 29077:188; 29510:164,1886,817,208,290,0,58.92,25.52,6.5,national
2025,MO,549300DD5QQUHO6PCH70,"MORTGAGE RESEARCH CENTER, LLC",5734,2901,29189:242; 29095:221; 29077:192; 29019:149; 29183:137,289,181,2411,20,0,9.96,6.24,83.11,national
2025,MO,549300E2UX99HKDBR481,"NEW AMERICAN FUNDING, LLC",5007,2619,29189:759; 29183:397; 29099:224; 29510:168; 29077:135,1777,663,152,27,0,67.85,25.32,5.8,national
2025,MO,RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",4610,2580,29189:312; 29095:287; 29077:220; 29183:192; 29099:143,1276,832,461,11,0,49.46,32.25,17.87,national
2025,MO,7DMUJTL9FFTVIAG9H788,Commerce Bank,4903,2488,29189:603; 29095:411; 29183:220; 29077:163; 29047:139,2420,57,9,2,0,97.27,2.29,0.36,national
2025,MO,549300T67186NPGCHI50,FIRST COMMUNITY,4343,2430,29189:1019; 29183:747; 29099:265; 29510:141; 29071:90,2430,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300MGPZBLQDIL7538,FAIRWAY INDEPENDENT MORTGAGE CORPORATION,3107,2363,29095:698; 29047:304; 29021:257; 29037:170; 29189:151,1616,516,205,26,0,68.39,21.84,8.68,national
2025,MO,COINQMNIM6RBU631DD85,Arvest Bank,3204,2139,29095:360; 29097:302; 29077:277; 29145:148; 29043:109,1903,160,56,20,0,88.97,7.48,2.62,national
2025,MO,549300F04B6FGYBJY412,First State Community Bank,2851,1937,29187:323; 29099:201; 29031:170; 29071:127; 29105:94,1848,61,0,28,0,95.41,3.15,0.0,national
2025,MO,549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION,3946,1814,29095:222; 29189:187; 29183:158; 29047:99; 29077:87,169,783,862,0,0,9.32,43.16,47.52,national
2025,MO,549300NB3SBC1KHAWB92,GERSHMAN INVESTMENT CORP.,2317,1690,29077:298; 29189:263; 29183:168; 29099:148; 29043:97,1070,407,130,83,0,63.31,24.08,7.69,national
