lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,montana_originations,florida_originations,total_originations,priority_match,notes
549300FVJ3IB88LTR841,Stockman Bank of Montana,,stockman-bank-of-montana,Stockman Bank of Montana,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,2183,0,2183,high,id_mt_wy_curated map for MT activity (2183 MT originations); slug=stockman-bank-of-montana.
549300ESRQ6OLBB56N04,Glacier Bank,,glacier-bank,Glacier Bank,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,1904,0,1904,high,id_mt_wy_curated map for MT activity (1904 MT originations); slug=glacier-bank.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1465,31530,1465,high,reuse_prior_state_curated_lei map for MT activity (1465 MT originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1414,49897,1414,high,reuse_prior_state_curated_lei map for MT activity (1414 MT originations); slug=united-wholesale-mortgage.
5493007ZF78YQRSXQG49,OPPORTUNITY BANK OF MONTANA,,opportunity-bank-of-montana,Opportunity Bank of Montana,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,1139,0,1139,high,id_mt_wy_curated map for MT activity (1139 MT originations); slug=opportunity-bank-of-montana.
54930060G4MDPWHISD89,EVERGREEN MONEYSOURCE MORTGAGE COMPANY,,evergreen-moneysource-mortgage,Evergreen MoneySource Mortgage Company,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,816,0,816,high,id_mt_wy_curated map for MT activity (816 MT originations); slug=evergreen-moneysource-mortgage.
549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",3029,crosscountry-mortgage-metrowest,"CrossCountry Mortgage, LLC",high,id_mt_wy_curated+id_mt_wy_gleif_reidentify+public_nmls,640,0,640,high,id_mt_wy_curated map for MT activity (640 MT originations); slug=crosscountry-mortgage-metrowest.
549300RFSMIRUODUVW59,First Interstate Bank,,first-interstate-bank,First Interstate Bank,high,id_mt_wy_curated+id_mt_wy_gleif+lei_identity,610,0,610,high,id_mt_wy_curated map for MT activity (610 MT originations); slug=first-interstate-bank.
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,3274,guild-mortgage-metrowest,Guild Mortgage Company LLC,high,id_mt_wy_curated+id_mt_wy_gleif_reidentify+public_nmls,547,0,547,high,id_mt_wy_curated map for MT activity (547 MT originations); slug=guild-mortgage-metrowest.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,538,2279,538,high,reuse_prior_state_curated_lei map for MT activity (538 MT originations); slug=us-bank.
