year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,NE,31055,Douglas,21760,14294,2785,12.8,10427,6451,4882,47.92,29.65,17739,2368,1601,52,0,81.52,10.88,7.36,11851,1387,1013,43,0,82.91,9.7,7.09,national
2025,NE,31109,Lancaster,10860,7800,1008,9.28,5773,3428,1659,53.16,31.57,8893,1071,866,30,0,81.89,9.86,7.97,6555,701,522,22,0,84.04,8.99,6.69,national
2025,NE,31153,Sarpy,8947,6142,997,11.14,4206,2784,1957,47.01,31.12,6269,961,1707,10,0,70.07,10.74,19.08,4338,605,1190,9,0,70.63,9.85,19.37,national
2025,NE,31079,Hall,1756,1224,216,12.3,814,571,371,46.36,32.52,1322,324,106,4,0,75.28,18.45,6.04,952,204,66,2,0,77.78,16.67,5.39,national
2025,NE,31053,Dodge,1296,899,182,14.04,644,408,244,49.69,31.48,1038,169,84,5,0,80.09,13.04,6.48,740,113,42,4,0,82.31,12.57,4.67,national
2025,NE,31019,Buffalo,1259,880,160,12.71,611,397,251,48.53,31.53,1012,136,111,0,0,80.38,10.8,8.82,721,91,68,0,0,81.93,10.34,7.73,national
2025,NE,31025,Cass,1241,831,146,11.76,510,483,248,41.1,38.92,931,128,168,14,0,75.02,10.31,13.54,644,73,104,10,0,77.5,8.78,12.52,national
2025,NE,31111,Lincoln,1073,690,177,16.5,557,300,216,51.91,27.96,808,155,108,2,0,75.3,14.45,10.07,532,96,62,0,0,77.1,13.91,8.99,national
2025,NE,31141,Platte,1003,676,134,13.36,504,326,173,50.25,32.5,708,219,63,13,0,70.59,21.83,6.28,498,134,34,10,0,73.67,19.82,5.03,national
2025,NE,31155,Saunders,904,619,89,9.85,402,317,185,44.47,35.07,765,81,53,5,0,84.62,8.96,5.86,542,43,31,3,0,87.56,6.95,5.01,national
2025,NE,31177,Washington,833,555,96,11.52,335,313,185,40.22,37.58,698,59,72,4,0,83.79,7.08,8.64,475,38,39,3,0,85.59,6.85,7.03,national
2025,NE,31119,Madison,826,553,107,12.95,421,287,118,50.97,34.75,601,142,71,12,0,72.76,17.19,8.6,406,89,47,11,0,73.42,16.09,8.5,national
2025,NE,31001,Adams,819,549,116,14.16,423,247,149,51.65,30.16,605,147,63,4,0,73.87,17.95,7.69,421,89,37,2,0,76.68,16.21,6.74,national
2025,NE,31157,Scotts Bluff,769,407,153,19.9,287,303,179,37.32,39.4,502,151,103,13,0,65.28,19.64,13.39,275,67,54,11,0,67.57,16.46,13.27,national
