lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,nebraska_originations,florida_originations,total_originations,priority_match,notes
549300PZ44DNQDPOV865,Pinnacle Bank,,pinnacle-bank-nebraska,Pinnacle Bank,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,2875,0,2875,high,ia_ks_ne_curated map for NE activity (2875 NE originations); slug=pinnacle-bank-nebraska.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,2480,31530,2480,high,reuse_prior_state_curated_lei map for NE activity (2480 NE originations); slug=rocket-mortgage.
LDVFX8JEECFFE8HRWA73,First National Bank of Omaha,,first-national-bank-of-omaha,First National Bank of Omaha,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,1773,0,1773,high,ia_ks_ne_curated map for NE activity (1773 NE originations); slug=first-national-bank-of-omaha.
549300QLO8TSQW5JTK72,WEST GATE BANK,,west-gate-bank,West Gate Bank,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,1724,0,1724,high,ia_ks_ne_curated map for NE activity (1724 NE originations); slug=west-gate-bank.
549300GG5XNEIGHQTG04,CHARTER WEST BANK,,charter-west-bank,Charter West Bank,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,1606,0,1606,high,ia_ks_ne_curated map for NE activity (1606 NE originations); slug=charter-west-bank.
549300KER3YVZ3U5RK57,VERIDIAN CREDIT UNION,,veridian-credit-union,Veridian Credit Union,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,1444,0,1444,high,ia_ks_ne_curated map for NE activity (1444 NE originations); slug=veridian-credit-union.
R6KJ2D7C3UT8OVTWHS39,Union Bank and Trust Company,,union-bank-and-trust-nebraska,Union Bank and Trust Company,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,1373,0,1373,high,ia_ks_ne_curated map for NE activity (1373 NE originations); slug=union-bank-and-trust-nebraska.
549300TTNSX94TR06G13,CENTRIS FEDERAL CREDIT UNION,,centris-federal-credit-union,Centris Federal Credit Union,high,ia_ks_ne_curated+ia_ks_ne_gleif+lei_identity,1318,0,1318,high,ia_ks_ne_curated map for NE activity (1318 NE originations); slug=centris-federal-credit-union.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1211,49897,1211,high,reuse_prior_state_curated_lei map for NE activity (1211 NE originations); slug=united-wholesale-mortgage.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1112,2279,1112,high,reuse_prior_state_curated_lei map for NE activity (1112 NE originations); slug=us-bank.
