year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,NV,32003,Clark,87475,49879,15624,17.86,40452,29244,17779,46.24,33.43,61739,15117,10538,81,0,70.58,17.28,12.05,34800,8965,6058,56,0,69.77,17.97,12.15,national
2025,NV,32031,Washoe,17481,10588,2634,15.07,8066,5615,3800,46.14,32.12,13739,2333,1405,4,0,78.59,13.35,8.04,8332,1422,830,4,0,78.69,13.43,7.84,national
2025,NV,32019,Lyon,3271,2006,500,15.29,1645,1113,513,50.29,34.03,1782,862,613,14,0,54.48,26.35,18.74,1078,562,357,9,0,53.74,28.02,17.8,national
2025,NV,32023,Nye,2871,1408,588,20.48,1302,1073,496,45.35,37.37,1548,693,625,5,0,53.92,24.14,21.77,762,347,298,1,0,54.12,24.64,21.16,national
2025,NV,32005,Douglas,2134,1353,295,13.82,922,655,557,43.21,30.69,1794,162,178,0,0,84.07,7.59,8.34,1140,100,113,0,0,84.26,7.39,8.35,national
2025,NV,32007,Elko,1809,1124,255,14.1,976,592,241,53.95,32.73,965,651,180,13,0,53.34,35.99,9.95,573,423,120,8,0,50.98,37.63,10.68,national
2025,NV,32510,Carson City,1797,1108,277,15.41,841,570,386,46.8,31.72,1365,260,172,0,0,75.96,14.47,9.57,849,162,97,0,0,76.62,14.62,8.75,national
2025,NV,32001,Churchill,970,565,144,14.85,452,397,121,46.6,40.93,447,165,350,8,0,46.08,17.01,36.08,266,95,199,5,0,47.08,16.81,35.22,national
2025,NV,32013,Humboldt,696,419,102,14.66,344,257,95,49.43,36.93,387,239,69,1,0,55.6,34.34,9.91,223,156,39,1,0,53.22,37.23,9.31,national
2025,NV,32033,White Pine,334,195,57,17.07,163,126,45,48.8,37.72,197,94,31,12,0,58.98,28.14,9.28,118,49,18,10,0,60.51,25.13,9.23,national
2025,NV,32029,Storey,261,125,49,18.77,107,100,54,41.0,38.31,183,49,29,0,0,70.11,18.77,11.11,84,20,21,0,0,67.2,16.0,16.8,national
2025,NV,32015,Lander,177,102,31,17.51,82,73,22,46.33,41.24,85,67,23,2,0,48.02,37.85,12.99,46,39,16,1,0,45.1,38.24,15.69,national
2025,NV,32017,Lincoln,156,87,32,20.51,63,62,31,40.38,39.74,119,23,13,1,0,76.28,14.74,8.33,66,12,8,1,0,75.86,13.79,9.2,national
2025,NV,32027,Pershing,150,85,29,19.33,68,57,25,45.33,38.0,75,54,21,0,0,50.0,36.0,14.0,38,37,10,0,0,44.71,43.53,11.76,national
2025,NV,32021,Mineral,122,63,21,17.21,63,36,23,51.64,29.51,71,26,25,0,0,58.2,21.31,20.49,34,15,14,0,0,53.97,23.81,22.22,national
