lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,nevada_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,ut_nv_curated+ut_nv_gleif_reidentify+public_nmls,5226,0,5226,high,ut_nv_curated map for NV activity (5226 NV originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,ut_nv_curated+ut_nv_gleif_reidentify+public_nmls,5215,0,5215,high,ut_nv_curated map for NV activity (5215 NV originations); slug=united-wholesale-mortgage.
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,3274,guild-mortgage-metrowest,Guild Mortgage Company LLC,high,ut_nv_curated+ut_nv_gleif_reidentify+public_nmls,3882,0,3882,high,ut_nv_curated map for NV activity (3882 NV originations); slug=guild-mortgage-metrowest.
5493007I0X1GRWIU8B34,AMERICA FIRST Federal Credit Union,412819,america-first-federal-credit-union,America First Federal Credit Union,high,ut_nv_curated+ut_nv_gleif+public_nmls,2393,0,2393,high,ut_nv_curated map for NV activity (2393 NV originations); slug=america-first-federal-credit-union.
5493001SXWZ4OFP8Z903,"DHI MORTGAGE COMPANY, LTD.",14622,dhi-mortgage-buckeye,"DHI Mortgage Company, Ltd.",high,ut_nv_curated+ut_nv_gleif_reidentify+directory_slug,2059,0,2059,high,ut_nv_curated map for NV activity (2059 NV originations); slug=dhi-mortgage-buckeye.
RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,ut_nv_curated+ut_nv_gleif_reidentify+public_nmls,1834,0,1834,high,ut_nv_curated map for NV activity (1834 NV originations); slug=pennymac.
549300H3IZO24NSOO931,"LENNAR MORTGAGE, LLC",1058,lennar-mortgage-queen-creek,"Lennar Mortgage, LLC",high,ut_nv_curated+ut_nv_gleif_reidentify+public_nmls,1669,0,1669,high,ut_nv_curated map for NV activity (1669 NV originations); slug=lennar-mortgage-queen-creek.
6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,402216,us-bank,U.S. Bank National Association,high,ut_nv_curated+ut_nv_gleif_reidentify+public_nmls,1593,0,1593,high,ut_nv_curated map for NV activity (1593 NV originations); slug=us-bank.
549300AG64NHILB7ZP05,"LOANDEPOT.COM, LLC",174457,loandepot,"loanDepot.com, LLC",high,ut_nv_curated+ut_nv_gleif_reidentify+public_nmls,1512,0,1512,high,ut_nv_curated map for NV activity (1512 NV originations); slug=loandepot.
549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",3029,crosscountry-mortgage-metrowest,"CrossCountry Mortgage, LLC",high,ut_nv_curated+ut_nv_gleif_reidentify+public_nmls,1424,0,1424,high,ut_nv_curated map for NV activity (1424 NV originations); slug=crosscountry-mortgage-metrowest.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1233,7938,1233,high,reuse_prior_state_curated_lei map for NV activity (1233 NV originations); slug=guaranteed-rate.
549300E2UX99HKDBR481,"NEW AMERICAN FUNDING, LLC",6606,new-american-funding,"New American Funding, LLC",high,ut_nv_curated+ut_nv_gleif_reidentify+public_nmls,1190,0,1190,high,ut_nv_curated map for NV activity (1190 NV originations); slug=new-american-funding.
