lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,new_jersey_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_fl_tx_ga_ca_nc_sc_curated_lei+curated_lei_public_nmls,12035,31530,12035,high,reuse_fl_tx_ga_ca_nc_sc_curated_lei map for NJ activity (12035 NJ originations); slug=rocket-mortgage.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_fl_tx_ga_ca_nc_sc_curated_lei+curated_lei_public_nmls,7558,11987,7558,high,reuse_fl_tx_ga_ca_nc_sc_curated_lei map for NJ activity (7558 NJ originations); slug=freedom-mortgage.
DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association",433960,citizens-bank,"Citizens Bank, National Association",high,reuse_fl_tx_ga_ca_nc_sc_curated_lei+curated_lei_public_nmls,7208,2297,7208,high,reuse_fl_tx_ga_ca_nc_sc_curated_lei map for NJ activity (7208 NJ originations); slug=citizens-bank.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_fl_tx_ga_ca_nc_sc_curated_lei+curated_lei_public_nmls,7084,49897,7084,high,reuse_fl_tx_ga_ca_nc_sc_curated_lei map for NJ activity (7084 NJ originations); slug=united-wholesale-mortgage.
03D0JEWFDFUS0SEEKG89,"TD Bank, National Association",481428,td-bank,"TD Bank, National Association",high,reuse_fl_tx_ga_ca_nc_sc_curated_lei+curated_lei_public_nmls,6695,2722,6695,high,reuse_fl_tx_ga_ca_nc_sc_curated_lei map for NJ activity (6695 NJ originations); slug=td-bank.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_fl_tx_ga_ca_nc_sc_curated_lei+curated_lei_public_nmls,5755,3475,5755,high,reuse_fl_tx_ga_ca_nc_sc_curated_lei map for NJ activity (5755 NJ originations); slug=pnc-bank.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_fl_tx_ga_ca_nc_sc_curated_lei+curated_lei_public_nmls,5136,7938,5136,high,reuse_fl_tx_ga_ca_nc_sc_curated_lei map for NJ activity (5136 NJ originations); slug=guaranteed-rate.
549300U3721PJGQZYY68,Nationstar Mortgage LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_fl_tx_ga_ca_nc_sc_curated_lei+curated_lei_public_nmls,4826,3204,4826,high,reuse_fl_tx_ga_ca_nc_sc_curated_lei map for NJ activity (4826 NJ originations); slug=mr-cooper.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_fl_tx_ga_ca_nc_sc_curated_lei+curated_lei_public_nmls,4334,7460,4334,high,reuse_fl_tx_ga_ca_nc_sc_curated_lei map for NJ activity (4334 NJ originations); slug=pennymac.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_fl_tx_ga_ca_nc_sc_curated_lei+curated_lei_public_nmls,3325,6131,3325,high,reuse_fl_tx_ga_ca_nc_sc_curated_lei map for NJ activity (3325 NJ originations); slug=jpmorgan-chase-bank.
