year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,NJ,549300FGXN1K3HLB1R50,,16617,12035,Middlesex:1281; 34029:1210; 34025:1016; Bergen:979; 34005:841,10433,1206,396,0,0,86.69,10.02,3.29,yes
2025,NJ,549300VZVN841I2ILS84,,12042,7558,34025:780; Bergen:660; Hudson:641; 34029:602; Essex:543,6016,1290,250,2,0,79.6,17.07,3.31,yes
2025,NJ,DRMSV1Q0EKMEXLAU1P80,,12113,7208,34025:770; Bergen:728; 34029:720; Middlesex:652; Essex:569,7178,25,5,0,0,99.58,0.35,0.07,yes
2025,NJ,549300HW662MN1WU8550,,10552,7084,Middlesex:1057; 34029:670; Bergen:619; 34025:531; Essex:530,5002,1486,595,1,0,70.61,20.98,8.4,yes
2025,NJ,03D0JEWFDFUS0SEEKG89,,12532,6695,Bergen:854; 34029:830; 34025:610; 34007:474; 34005:433,6684,11,0,0,0,99.84,0.16,0.0,yes
2025,NJ,AD6GFRVSDT01YPT1CS68,,10815,5755,34029:853; Middlesex:509; 34025:497; 34007:437; Bergen:406,5735,18,2,0,0,99.65,0.31,0.03,yes
2025,NJ,B4TYDEB6GKMZO031MB27,,12142,5136,Bergen:730; 34025:605; Middlesex:461; 34027:446; 34029:389,5125,11,0,0,0,99.79,0.21,0.0,yes
2025,NJ,549300U3721PJGQZYY68,,8641,4826,34029:511; 34027:492; Essex:458; Bergen:395; 34007:368,4173,493,153,7,0,86.47,10.22,3.17,yes
2025,NJ,549300AG64NHILB7ZP05,,6491,4334,Hudson:632; 34029:420; 34025:406; Bergen:382; Middlesex:311,3712,519,102,1,0,85.65,11.98,2.35,yes
2025,NJ,7H6GLXDRUGQFU57RNE97,,5588,3325,Bergen:515; 34025:349; Essex:311; Hudson:281; 34027:280,3272,35,18,0,0,98.41,1.05,0.54,yes
2025,NJ,RVDPPPGHCGZ40J4VQ731,,6343,3144,34029:484; 34025:291; Middlesex:266; 34005:232; Bergen:225,2220,748,175,1,0,70.61,23.79,5.57,yes
2025,NJ,549300GKFNPRWNS0GF29,,3798,2257,34029:268; 34005:182; 34025:179; Middlesex:165; Bergen:163,1598,429,91,139,0,70.8,19.01,4.03,yes
2025,NJ,54930063XGNMIXS57091,,4063,2136,34007:641; 34005:564; 34015:459; 34001:130; 34009:116,2136,0,0,0,0,100.0,0.0,0.0,yes
