year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,NY,36103,Suffolk,45476,26408,9239,20.32,17587,14052,13837,38.67,30.9,40140,4454,824,58,0,88.27,9.79,1.81,23278,2608,486,36,0,88.15,9.88,1.84,yes
2025,NY,36059,Nassau,34585,19225,7679,22.2,13532,10300,10753,39.13,29.78,31932,2262,379,12,0,92.33,6.54,1.1,17834,1178,204,9,0,92.76,6.13,1.06,yes
2025,NY,36029,Erie,24261,16228,4315,17.79,10445,6918,6898,43.05,28.51,21067,2318,868,8,0,86.83,9.55,3.58,14140,1480,605,3,0,87.13,9.12,3.73,yes
2025,NY,36055,Monroe,23071,15921,3709,16.08,8549,5853,8669,37.06,25.37,21109,1468,492,2,0,91.5,6.36,2.13,14744,870,307,0,0,92.61,5.46,1.93,yes
2025,NY,36081,Queens,27259,13998,6099,22.37,14544,6902,5813,53.35,25.32,25194,1838,211,16,0,92.42,6.74,0.77,12968,916,105,9,0,92.64,6.54,0.75,yes
2025,NY,36047,Kings,24942,12897,5234,20.98,12174,7881,4887,48.81,31.6,23737,1094,107,4,0,95.17,4.39,0.43,12400,452,44,1,0,96.15,3.5,0.34,yes
2025,NY,36119,Westchester,20701,12210,3648,17.62,9837,5432,5432,47.52,26.24,19561,922,216,2,0,94.49,4.45,1.04,11638,449,122,1,0,95.32,3.68,1.0,yes
2025,NY,36067,Onondaga,13046,8764,2203,16.89,5534,3315,4197,42.42,25.41,11719,873,453,1,0,89.83,6.69,3.47,7990,496,277,1,0,91.17,5.66,3.16,yes
2025,NY,36061,New York,13135,7521,1957,14.9,8592,2850,1693,65.41,21.7,13098,24,13,0,0,99.72,0.18,0.1,7510,5,6,0,0,99.85,0.07,0.08,yes
2025,NY,36071,Orange,12276,7180,2505,20.41,5093,3746,3437,41.49,30.51,10966,935,370,5,0,89.33,7.62,3.01,6455,499,221,5,0,89.9,6.95,3.08,yes
2025,NY,36001,Albany,9083,5656,1616,17.79,3958,2130,2995,43.58,23.45,8267,575,234,7,0,91.02,6.33,2.58,5189,325,135,7,0,91.74,5.75,2.39,yes
2025,NY,36085,Richmond,9269,5382,1835,19.8,4463,2442,2364,48.15,26.35,8551,600,116,2,0,92.25,6.47,1.25,5018,302,61,1,0,93.24,5.61,1.13,yes
2025,NY,36027,Dutchess,8554,5064,1748,20.43,3256,2396,2902,38.06,28.01,7785,585,183,1,0,91.01,6.84,2.14,4651,304,108,1,0,91.84,6.0,2.13,yes
2025,NY,36091,Saratoga,7886,4898,1399,17.74,3716,1680,2490,47.12,21.3,7277,345,258,6,0,92.28,4.37,3.27,4537,197,158,6,0,92.63,4.02,3.23,yes
2025,NY,36087,Rockland,8237,4849,1558,18.91,3683,2533,2021,44.71,30.75,7770,357,110,0,0,94.33,4.33,1.34,4610,177,62,0,0,95.07,3.65,1.28,yes
2025,NY,36005,Bronx,8489,3990,2121,24.99,4033,2668,1788,47.51,31.43,7708,698,80,3,0,90.8,8.22,0.94,3621,330,38,1,0,90.75,8.27,0.95,yes
2025,NY,36063,Niagara,5940,3894,1138,19.16,2484,1627,1829,41.82,27.39,4924,709,301,6,0,82.9,11.94,5.07,3219,477,192,6,0,82.67,12.25,4.93,yes
2025,NY,36065,Oneida,5885,3752,1207,20.51,2639,1308,1938,44.84,22.23,5013,614,249,9,0,85.18,10.43,4.23,3226,365,155,6,0,85.98,9.73,4.13,yes
2025,NY,36093,Schenectady,5336,3225,1072,20.09,2406,1282,1648,45.09,24.03,4510,620,204,2,0,84.52,11.62,3.82,2761,341,122,1,0,85.61,10.57,3.78,yes
2025,NY,36083,Rensselaer,4936,3088,890,18.03,2152,1190,1594,43.6,24.11,4309,439,176,12,0,87.3,8.89,3.57,2741,240,96,11,0,88.76,7.77,3.11,yes
2025,NY,36111,Ulster,5185,3041,1113,21.47,2111,1534,1540,40.71,29.59,4790,299,93,3,0,92.38,5.77,1.79,2837,144,59,1,0,93.29,4.74,1.94,yes
2025,NY,36007,Broome,4830,2919,959,19.86,2115,1080,1635,43.79,22.36,4202,460,160,8,0,87.0,9.52,3.31,2553,268,93,5,0,87.46,9.18,3.19,yes
2025,NY,36069,Ontario,3467,2413,524,15.11,1445,831,1191,41.68,23.97,3148,194,119,6,0,90.8,5.6,3.43,2212,125,72,4,0,91.67,5.18,2.98,yes
2025,NY,36075,Oswego,3487,2251,623,17.87,1528,901,1058,43.82,25.84,3005,297,174,11,0,86.18,8.52,4.99,1975,167,104,5,0,87.74,7.42,4.62,yes
2025,NY,36117,Wayne,2929,2022,537,18.33,1044,736,1149,35.64,25.13,2599,220,99,11,0,88.73,7.51,3.38,1816,140,59,7,0,89.81,6.92,2.92,yes
2025,NY,36045,Jefferson,3051,1984,528,17.31,1625,669,757,53.26,21.93,2009,228,802,12,0,65.85,7.47,26.29,1300,141,534,9,0,65.52,7.11,26.92,yes
2025,NY,36079,Putnam,3022,1878,562,18.6,1266,809,947,41.89,26.77,2728,215,77,2,0,90.27,7.11,2.55,1719,112,46,1,0,91.53,5.96,2.45,yes
2025,NY,36101,Steuben,2543,1685,415,16.32,1157,522,864,45.5,20.53,2194,203,132,14,0,86.28,7.98,5.19,1481,119,76,9,0,87.89,7.06,4.51,yes
2025,NY,36013,Chautauqua,2648,1656,564,21.3,1285,593,770,48.53,22.39,2196,308,134,10,0,82.93,11.63,5.06,1384,192,74,6,0,83.57,11.59,4.47,yes
2025,NY,36105,Sullivan,3006,1638,649,21.59,1351,934,721,44.94,31.07,2740,207,56,3,0,91.15,6.89,1.86,1486,118,32,2,0,90.72,7.2,1.95,yes
2025,NY,36015,Chemung,2228,1394,424,19.03,1113,418,697,49.96,18.76,1829,290,106,3,0,82.09,13.02,4.76,1134,187,71,2,0,81.35,13.41,5.09,yes
2025,NY,36113,Warren,2056,1255,395,19.21,977,473,606,47.52,23.01,1805,176,74,1,0,87.79,8.56,3.6,1112,103,39,1,0,88.61,8.21,3.11,yes
2025,NY,36053,Madison,1872,1246,330,17.63,786,451,635,41.99,24.09,1631,146,88,7,0,87.13,7.8,4.7,1091,85,66,4,0,87.56,6.82,5.3,yes
2025,NY,36011,Cayuga,1895,1226,356,18.79,805,486,604,42.48,25.65,1678,162,54,1,0,88.55,8.55,2.85,1102,88,35,1,0,89.89,7.18,2.85,yes
2025,NY,36021,Columbia,1991,1160,425,21.35,763,536,692,38.32,26.92,1861,100,28,2,0,93.47,5.02,1.41,1092,50,17,1,0,94.14,4.31,1.47,yes
2025,NY,36109,Tompkins,1644,1122,273,16.61,858,304,482,52.19,18.49,1543,68,32,1,0,93.86,4.14,1.95,1074,35,12,1,0,95.72,3.12,1.07,yes
