lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ny_originations,states_with_originations,priority_match,new_york_originations
549300FGXN1K3HLB1R50,,,,unmatched,609400,429332,13729,CA:42202;FL:31530;TX:30579;MI:22693;GA:21182;NC:18462;OH:16656;PA:16043;VA:14489;NY:13729,high,13729
549300HW662MN1WU8550,,,,unmatched,576697,422119,11157,CA:57281;FL:49897;TX:42285;MI:22015;AZ:19328;CO:18178;GA:17047;NC:13671;IL:11397;NY:11157,high,11157
DRMSV1Q0EKMEXLAU1P80,,,,unmatched,119620,68902,11000,NY:11000;PA:10441;MA:10235;NJ:7208;OH:4732;RI:3762;MI:3697;NH:3194;CT:3030;FL:2297,high,11000
7H6GLXDRUGQFU57RNE97,,,,unmatched,152415,94243,9163,CA:14032;TX:9775;NY:9163;IL:8778;FL:6131;OH:4171;NJ:3325;MI:2995;AZ:2864;IN:2857,high,9163
WWB2V0FCW3A0EE3ZJN75,,,,unmatched,40592,23443,7073,NY:7073;MD:3115;PA:3099;CT:2398;MA:1690;NJ:1501;VA:901;DE:767;VT:352;FL:342,high,7073
549300KUYF5QOROM7N37,,,,unmatched,7833,5532,5532,NY:5532,high,5532
549300VZVN841I2ILS84,,,,unmatched,190472,125099,5429,FL:11987;OH:11011;CA:9599;PA:8399;TX:7734;NJ:7558;IL:5600;NY:5429;AZ:4945;WA:4877,high,5429
254900XN7UWEWK13RO81,,,,unmatched,5960,5199,5094,NY:5094;FL:74;OH:7;SC:6;TX:5;PA:4;CT:3;NJ:2;MA:2;VT:2,high,5094
5493008RNHC5I1E3IZ56,,,,unmatched,7432,4585,4585,NY:4585,high,4585
03D0JEWFDFUS0SEEKG89,,,,unmatched,46634,23499,4324,NJ:6695;NY:4324;FL:2722;MA:1975;PA:1803;SC:1143;CT:1002;NH:997;ME:699;NC:555,high,4324
549300KTR1JGH3K6LU06,,,,unmatched,17668,7240,4085,NY:4085;CA:552;FL:358;NJ:336;GA:195;NC:136;CT:119;PA:113;IL:112;WA:111,high,4085
