lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,new_york_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+curated_lei_public_nmls,13729,31530,13729,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei map for NY activity (13729 NY originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+curated_lei_public_nmls,11157,49897,11157,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei map for NY activity (11157 NY originations); slug=united-wholesale-mortgage.
DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association",433960,citizens-bank,"Citizens Bank, National Association",high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+curated_lei_public_nmls,11000,2297,11000,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei map for NY activity (11000 NY originations); slug=citizens-bank.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+curated_lei_public_nmls,9163,6131,9163,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei map for NY activity (9163 NY originations); slug=jpmorgan-chase-bank.
WWB2V0FCW3A0EE3ZJN75,Manufacturers and Traders Trust Company,381076,mt-bank,Manufacturers and Traders Trust Company (M&T Bank),high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+nj_curated+nj_curated_gleif+public_nmls,7073,0,7073,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei map for NY activity (7073 NY originations); slug=mt-bank.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+curated_lei_public_nmls,5429,11987,5429,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei map for NY activity (5429 NY originations); slug=freedom-mortgage.
03D0JEWFDFUS0SEEKG89,"TD Bank, National Association",481428,td-bank,"TD Bank, National Association",high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+curated_lei_public_nmls,4324,2722,4324,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei map for NY activity (4324 NY originations); slug=td-bank.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+curated_lei_public_nmls,3897,7938,3897,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei map for NY activity (3897 NY originations); slug=guaranteed-rate.
E57ODZWZ7FF32TWEFA76,"Citibank, National Association",412915,citibank,"Citibank, National Association",high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+nj_curated+nj_curated_gleif+public_nmls,3687,0,3687,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei map for NY activity (3687 NY originations); slug=citibank.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+curated_lei_public_nmls,3123,5643,3123,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei map for NY activity (3123 NY originations); slug=newrez.
KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association",399801,wells-fargo-bank,"Wells Fargo Bank, National Association",high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+curated_lei_public_nmls,2733,2670,2733,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei map for NY activity (2733 NY originations); slug=wells-fargo-bank.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+curated_lei_public_nmls,2612,7460,2612,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei map for NY activity (2612 NY originations); slug=pennymac.
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+curated_lei+directory_name,2278,9704,2278,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei map for NY activity (2278 NY originations); slug=fairway-mortgage-augusta-sheppard.
5493001WHVQBGRSWEU75,"HOMEBRIDGE FINANCIAL SERVICES, INC.",6521,homebridge-financial,"Homebridge Financial Services, Inc.",high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+curated_public_nmls+directory_profile,1590,2433,1590,high,reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei map for NY activity (1590 NY originations); slug=homebridge-financial.
