lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,north_carolina_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,18462,31530,18462,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (18462 NC originations); slug=rocket-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,13671,49897,13671,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (13671 NC originations); slug=united-wholesale-mortgage.
549300DD4R4SYK5RAQ92,"Cardinal Financial Company, Limited Partnership",66247,cardinal-financial,"Cardinal Financial Company, Limited Partnership",high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,8138,4122,8138,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (8138 NC originations); slug=cardinal-financial.
JJKC32MCHWDI71265Z06,Truist Bank,405457,truist-bank,Truist Bank,high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,7920,6117,7920,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (7920 NC originations); slug=truist-bank.
5493001SXWZ4OFP8Z903,"CrossCountry Mortgage, LLC",3029,crosscountry-mortgage-charlotte,CrossCountry Mortgage (West Valley),high,reuse_fl_tx_ga_ca_curated_lei+curated_lei+directory_name,5258,11582,5258,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (5258 NC originations); slug=crosscountry-mortgage-charlotte.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,reuse_fl_tx_ga_ca_curated_lei+curated_lei+directory_name,5249,8416,5249,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (5249 NC originations); slug=navy-federal-jacksonville.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,4880,7938,4880,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (4880 NC originations); slug=guaranteed-rate.
549300DD5QQUHO6PCH70,"Movement Mortgage, LLC",39179,movement-mortgage-charlotte,Movement Mortgage — Myrtle Beach,high,reuse_fl_tx_ga_ca_curated_lei+curated_lei+directory_name,4769,5506,4769,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (4769 NC originations); slug=movement-mortgage-charlotte.
549300LYRWPSYPK6S325,Guild Mortgage Company LLC,3274,guild-mortgage-charlotte,Guild Mortgage (West Valley Branches),high,reuse_fl_tx_ga_ca_curated_lei+curated_lei+directory_name,4463,5374,4463,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (4463 NC originations); slug=guild-mortgage-charlotte.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,4431,11987,4431,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (4431 NC originations); slug=freedom-mortgage.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,3969,7460,3969,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (3969 NC originations); slug=pennymac.
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,reuse_fl_tx_ga_ca_curated_lei+curated_lei+directory_name,3751,9704,3751,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (3751 NC originations); slug=fairway-mortgage-augusta-sheppard.
549300MGPZBLQDIL7538,"PrimeLending, a PlainsCapital Company",1921,primelending-columbus,PrimeLending — Columbus Team,high,reuse_fl_tx_ga_ca_curated_lei+curated_lei+directory_name,2993,3153,2993,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (2993 NC originations); slug=primelending-columbus.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,2787,5643,2787,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (2787 NC originations); slug=newrez.
549300H3IZO24NSOO931,"loanDepot.com, LLC",174457,loandepot,"loanDepot.com, LLC",high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,2756,10692,2756,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (2756 NC originations); slug=loandepot.
549300U3721PJGQZYY68,Nationstar Mortgage LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,2491,3204,2491,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (2491 NC originations); slug=mr-cooper.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,2361,3475,2361,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (2361 NC originations); slug=pnc-bank.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,2307,6131,2307,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (2307 NC originations); slug=jpmorgan-chase-bank.
KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association",399801,wells-fargo-bank,"Wells Fargo Bank, National Association",high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,2302,2670,2302,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (2302 NC originations); slug=wells-fargo-bank.
QFROUN1UWUYU0DVIWD51,"Eagle Home Mortgage, LLC",2925,eagle-home-mortgage,"Eagle Home Mortgage, LLC",high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,2216,3553,2216,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (2216 NC originations); slug=eagle-home-mortgage.
549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,1904,union-home-mortgage-reeves-team,Union Home Mortgage Corp.,high,reuse_fl_tx_ga_ca_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+company_nmls+ga_directory,2127,0,2127,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (2127 NC originations); slug=union-home-mortgage-reeves-team.
549300AQ3T62GXDU7D76,Ally Bank,181005,ally-bank,Ally Bank,high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,1957,2790,1957,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (1957 NC originations); slug=ally-bank.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,1949,3546,1949,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (1949 NC originations); slug=mr-cooper.
549300E2UX99HKDBR481,"Broker Solutions, Inc.",6606,new-american-funding,"Broker Solutions, Inc.",high,reuse_fl_tx_ga_ca_curated_lei+curated_lei_public_nmls,1619,3881,1619,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (1619 NC originations); slug=new-american-funding.
5493004WMLN60ZJ2ON46,"Paramount Residential Mortgage Group, Inc.",75243,prmg,Paramount Residential Mortgage Group (PRMG),high,reuse_fl_tx_ga_ca_curated_lei+curated_lei+directory_name,1555,4200,1555,high,reuse_fl_tx_ga_ca_curated_lei map for NC activity (1555 NC originations); slug=prmg.
