lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,ohio_originations,florida_originations,total_originations,priority_match,notes
2WHM8VNJH63UN14OL754,The Huntington National Bank,402436,huntington-national-bank,The Huntington National Bank,high,reuse_prior_state_curated_lei+pa_curated+gleif+huntington_nmls,24819,0,24819,high,reuse_prior_state_curated_lei map for OH activity (24819 OH originations); slug=huntington-national-bank.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,16656,31530,16656,high,reuse_prior_state_curated_lei map for OH activity (16656 OH originations); slug=rocket-mortgage.
QFROUN1UWUYU0DVIWD51,"Eagle Home Mortgage, LLC",2925,eagle-home-mortgage,"Eagle Home Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,12389,3553,12389,high,reuse_prior_state_curated_lei map for OH activity (12389 OH originations); slug=eagle-home-mortgage.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,11011,11987,11011,high,reuse_prior_state_curated_lei map for OH activity (11011 OH originations); slug=freedom-mortgage.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,10425,49897,10425,high,reuse_prior_state_curated_lei map for OH activity (10425 OH originations); slug=united-wholesale-mortgage.
5493008CPTDVOS570626,"Primary Residential Mortgage, Inc.",3094,prmi-aaron-swenson,Primary Residential Mortgage (Aaron Swenson Branch),high,reuse_prior_state_curated_lei+curated_lei+directory_name,7970,3765,7970,high,reuse_prior_state_curated_lei map for OH activity (7970 OH originations); slug=prmi-aaron-swenson.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,6725,3475,6725,high,reuse_prior_state_curated_lei map for OH activity (6725 OH originations); slug=pnc-bank.
549300HFBEONQN2CK447,Union Savings Bank,446047,union-savings-bank,Union Savings Bank,high,il_oh_curated+il_oh_curated_gleif+public_nmls,5594,0,5594,high,il_oh_curated map for OH activity (5594 OH originations); slug=union-savings-bank.
549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,1904,union-home-mortgage-reeves-team,Union Home Mortgage Corp.,high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_ca_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+company_nmls+ga_directory,5380,0,5380,high,reuse_prior_state_curated_lei map for OH activity (5380 OH originations); slug=union-home-mortgage-reeves-team.
549300N1YEXP02MHBR47,"WRIGHT-PATT CREDIT UNION, INC.",510034,wright-patt-credit-union,"Wright-Patt Credit Union, Inc.",high,il_oh_curated+il_oh_curated_gleif+public_nmls,5207,0,5207,high,il_oh_curated map for OH activity (5207 OH originations); slug=wright-patt-credit-union.
