year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,OH,2WHM8VNJH63UN14OL754,,42683,24819,39049:2572; Cuyahoga:2312; 39153:1813; 39151:1551; 39095:1209,23483,1038,278,20,0,94.62,4.18,1.12,national
2025,OH,549300FGXN1K3HLB1R50,,23480,16656,Cuyahoga:1800; 39049:1415; 39153:923; 39061:829; 39113:707,11831,3584,1241,0,0,71.03,21.52,7.45,national
2025,OH,QFROUN1UWUYU0DVIWD51,,21939,12389,39061:1606; 39049:1339; Cuyahoga:1097; 39113:821; 39017:767,11954,332,94,9,0,96.49,2.68,0.76,national
2025,OH,549300VZVN841I2ILS84,,16066,11011,Cuyahoga:1758; 39153:999; 39049:971; 39151:713; 39085:680,6937,3217,721,136,0,63.0,29.22,6.55,national
2025,OH,549300HW662MN1WU8550,,14624,10425,39049:1320; Cuyahoga:1158; 39061:946; 39017:541; 39095:464,6249,2263,1900,13,0,59.94,21.71,18.23,national
2025,OH,5493008CPTDVOS570626,,12622,7970,Cuyahoga:2383; 39153:778; 39049:677; 39093:603; 39061:527,7970,0,0,0,0,100.0,0.0,0.0,national
2025,OH,AD6GFRVSDT01YPT1CS68,,11607,6725,Cuyahoga:1170; 39049:701; 39061:629; 39153:451; 39113:237,6598,93,33,1,0,98.11,1.38,0.49,national
2025,OH,549300HFBEONQN2CK447,,6982,5594,39061:961; 39113:915; 39049:771; 39165:554; 39017:521,5206,259,113,16,0,93.06,4.63,2.02,national
2025,OH,549300RPOGWJRH63HS39,,7129,5380,39049:589; 39095:454; 39061:417; Cuyahoga:314; 39153:231,3827,1118,340,95,0,71.13,20.78,6.32,national
2025,OH,549300N1YEXP02MHBR47,,8791,5207,39113:1684; 39057:741; 39049:496; 39023:412; 39109:384,5064,76,64,3,0,97.25,1.46,1.23,national
2025,OH,DRMSV1Q0EKMEXLAU1P80,,7775,4732,Cuyahoga:1337; 39153:522; 39151:492; 39095:416; 39085:340,4619,102,11,0,0,97.61,2.16,0.23,national
2025,OH,7H6GLXDRUGQFU57RNE97,,6671,4171,39049:804; Cuyahoga:407; 39153:256; 39041:225; 39061:194,3911,177,83,0,0,93.77,4.24,1.99,national
2025,OH,6BYL5QZYBDK8S7L73M02,,8621,3965,39061:527; 39049:395; Cuyahoga:319; 39017:269; 39113:194,3735,155,49,26,0,94.2,3.91,1.24,national
2025,OH,549300AG64NHILB7ZP05,,5699,3505,39063:349; 39147:198; 39113:184; 39049:179; Cuyahoga:164,2111,1080,274,40,0,60.23,30.81,7.82,national
2025,OH,549300MCIFZSDHUT8X63,,4370,3308,39049:1360; 39041:236; 39089:154; 39045:138; 39095:122,2473,654,178,3,0,74.76,19.77,5.38,national
2025,OH,549300DD5QQUHO6PCH70,,6947,3302,39113:313; Cuyahoga:254; 39049:190; 39151:167; 39061:144,199,138,2957,8,0,6.03,4.18,89.55,national
2025,OH,549300CEHN5CVC6INV48,,4600,3251,39049:395; 39089:383; 39119:336; 39083:308; 39139:267,3217,18,13,3,0,98.95,0.55,0.4,national
2025,OH,QGPGHQ1ENZOOLJRFTH41,,4397,3020,39099:273; 39049:216; 39063:131; 39061:123; 39013:122,2841,137,19,23,0,94.07,4.54,0.63,national
2025,OH,RVDPPPGHCGZ40J4VQ731,,5767,2964,39049:442; Cuyahoga:242; 39061:164; 39113:137; 39153:128,1430,1022,505,7,0,48.25,34.48,17.04,national
2025,OH,MV4O55SH8HO6KQSGW013,,4284,2850,39049:711; 39061:532; 39017:437; 39113:158; 39041:158,2788,55,7,0,0,97.82,1.93,0.25,national
2025,OH,549300U3721PJGQZYY68,,4955,2795,39049:536; 39061:254; Cuyahoga:241; 39141:188; 39113:155,2100,430,229,36,0,75.13,15.38,8.19,national
2025,OH,549300MGPZBLQDIL7538,,3558,2685,39153:401; 39151:235; 39049:185; 39113:149; 39139:148,1937,552,155,41,0,72.14,20.56,5.77,national
2025,OH,549300LYRWPSYPK6S325,,5665,2477,39049:274; 39113:187; 39061:147; Cuyahoga:128; 39017:114,240,1171,1066,0,0,9.69,47.27,43.04,national
2025,OH,549300FNXYY540N23N64,,5795,2258,39049:228; 39061:172; 39095:150; 39037:130; Cuyahoga:118,1328,497,382,51,0,58.81,22.01,16.92,national
2025,OH,254900ARL5FDX2OOH702,,3107,2178,39003:709; 39011:295; 39137:240; 39061:183; 39107:114,2175,0,0,3,0,99.86,0.0,0.0,national
2025,OH,HUX2X73FUCYHUVH1BK78,,3468,2071,Cuyahoga:663; 39095:244; 39049:129; 39151:109; 39153:107,1970,76,25,0,0,95.12,3.67,1.21,national
2025,OH,5493006VAGP3GQ8FJT49,,3993,1967,Cuyahoga:541; 39049:311; 39061:216; 39099:141; 39153:91,1967,0,0,0,0,100.0,0.0,0.0,national
2025,OH,549300Y6FMTOZSY0VW06,,3331,1869,39049:1026; 39041:271; 39045:150; 39089:92; 39091:48,1869,0,0,0,0,100.0,0.0,0.0,national
2025,OH,5493003GQDUH26DNNH17,,3865,1830,Cuyahoga:236; 39049:180; 39113:138; 39061:90; 39153:81,1265,0,565,0,0,69.13,0.0,30.87,national
2025,OH,549300KBWX4NV5Q1E376,,2433,1817,39093:301; 39041:175; 39025:169; 39113:133; 39153:118,1083,509,223,2,0,59.6,28.01,12.27,national
2025,OH,549300GSCUJKJINRJ980,,2461,1793,Cuyahoga:246; 39049:193; 39153:173; 39093:172; 39061:127,1291,396,88,18,0,72.0,22.09,4.91,national
2025,OH,549300LBCBNR1OT00651,,2660,1768,39049:171; Cuyahoga:139; 39061:123; 39113:88; 39153:84,1388,262,118,0,0,78.51,14.82,6.67,national
2025,OH,549300157R33LDICP344,,2100,1720,Cuyahoga:482; 39153:226; 39093:120; 39085:111; 39103:86,1409,216,84,11,0,81.92,12.56,4.88,national
2025,OH,549300RN01LBYR8ZVX74,,2641,1641,39049:548; 39041:112; 39045:96; 39061:77; 39089:71,1125,412,95,9,0,68.56,25.11,5.79,national
2025,OH,549300567BJCXPG9IV35,,2553,1636,39155:763; 39099:476; 39133:146; 39029:69; 39153:68,1636,0,0,0,0,100.0,0.0,0.0,national
2025,OH,254900UL88QFG0E40516,,3065,1553,Cuyahoga:138; 39049:126; 39061:97; 39113:93; 39017:75,1553,0,0,0,0,100.0,0.0,0.0,national
2025,OH,549300E2UX99HKDBR481,,4499,1553,39119:168; 39113:167; Cuyahoga:104; 39061:97; 39049:82,686,746,103,18,0,44.17,48.04,6.63,national
2025,OH,5493005PD34O8ZT7QT17,,2012,1513,Cuyahoga:628; 39049:193; 39095:141; 39153:139; 39113:70,1513,0,0,0,0,100.0,0.0,0.0,national
2025,OH,N8T7HW55LK5D2ORCKP39,,2206,1491,Cuyahoga:477; 39099:145; 39153:122; 39093:115; 39155:112,1479,5,6,1,0,99.2,0.34,0.4,national
2025,OH,VN1JLT1F3FLLVN3FZG89,,2066,1386,39151:378; 39041:159; 39049:134; 39153:114; 39061:85,1326,45,13,2,0,95.67,3.25,0.94,national
2025,OH,5493001GCBD5XGNIC815,,4733,1359,39049:138; Cuyahoga:115; 39153:63; 39061:60; 39095:55,1359,0,0,0,0,100.0,0.0,0.0,national
2025,OH,2549004FXPNKCLIN8250,,1908,1310,Cuyahoga:425; 39153:238; 39085:99; 39151:69; 39103:63,915,343,49,3,0,69.85,26.18,3.74,national
2025,OH,549300YNUT7D0FWKU636,,1746,1309,39099:322; 39155:230; 39169:211; 39151:153; 39029:98,1267,34,8,0,0,96.79,2.6,0.61,national
2025,OH,549300OPCWU6E72WUT29,,2023,1270,39151:181; Cuyahoga:149; 39049:128; 39153:102; 39093:54,670,494,99,7,0,52.76,38.9,7.8,national
2025,OH,549300H8JJI69WD7I525,,1642,1250,39043:279; 39049:84; Cuyahoga:81; 39061:79; 39095:74,1216,24,8,2,0,97.28,1.92,0.64,national
2025,OH,I70W3N0Z6KOX8FYIH023,,1750,1244,39167:167; 39059:88; 39145:81; 39027:75; 39165:62,1203,33,1,7,0,96.7,2.65,0.08,national
2025,OH,549300MSU5WVAU4ZN645,,1900,1229,Cuyahoga:602; 39093:199; 39085:125; 39153:83; 39103:65,1209,20,0,0,0,98.37,1.63,0.0,national
2025,OH,549300R0SXC1JU7ZU290,,1518,1167,39061:278; 39017:225; 39113:138; 39165:109; 39025:70,783,259,105,20,0,67.1,22.19,9.0,national
2025,OH,549300DPWFIO1S3DF358,,1604,1143,Cuyahoga:542; 39093:103; 39153:81; 39103:77; 39085:73,1107,25,9,2,0,96.85,2.19,0.79,national
2025,OH,549300121SF0K2LN2804,,1466,1134,39113:252; 39135:161; 39061:122; 39165:108; 39023:74,782,204,110,38,0,68.96,17.99,9.7,national
2025,OH,549300LEOR2LO8J9RT29,,1355,1130,39025:252; 39165:184; 39057:126; 39159:119; 39049:103,811,188,131,0,0,71.77,16.64,11.59,national
2025,OH,549300PXL1KA5TOL2O82,,1365,1088,39041:259; 39049:190; 39159:132; 39017:129; 39113:94,798,190,100,0,0,73.35,17.46,9.19,national
2025,OH,5493004WMLN60ZJ2ON46,,1408,1064,39041:281; 39049:207; 39093:181; 39159:91; 39153:85,903,108,53,0,0,84.87,10.15,4.98,national
2025,OH,549300T9P3WXNMXX0I34,,1415,1044,39155:440; 39099:249; 39029:83; 39007:56; Cuyahoga:39,515,426,59,44,0,49.33,40.8,5.65,national
2025,OH,549300G2LV8W3C1G3762,,1522,1027,39095:212; 39089:184; 39049:112; 39041:56; 39045:53,730,210,76,11,0,71.08,20.45,7.4,national
2025,OH,UBNR8NKAK8J9JL4NZF88,,1383,1023,39049:232; 39171:106; 39039:105; 39125:90; 39051:80,987,29,4,3,0,96.48,2.83,0.39,national
2025,OH,549300YIQ7S7Z8PIHE53,,3876,991,Cuyahoga:83; 39049:70; 39061:56; 39153:46; 39113:45,669,284,38,0,0,67.51,28.66,3.83,national
2025,OH,5493001SXWZ4OFP8Z903,,1465,933,39049:204; 39045:148; 39097:105; 39041:96; 39025:88,279,516,132,6,0,29.9,55.31,14.15,national
2025,OH,549300KIOYNU323LVJ37,,1223,854,Cuyahoga:187; 39049:121; 39061:82; 39153:76; 39093:42,564,232,51,7,0,66.04,27.17,5.97,national
2025,OH,549300ZZME37MXI1EF14,,1131,849,39113:211; 39017:99; 39049:76; 39061:66; 39165:63,443,285,89,32,0,52.18,33.57,10.48,national
2025,OH,549300PIL8LFAQ04XC20,,2963,845,39049:92; Cuyahoga:69; 39061:48; 39153:47; 39017:42,845,0,0,0,0,100.0,0.0,0.0,national
2025,OH,549300ENNFGLHCMQ1U82,,1133,823,39061:377; 39025:170; 39017:128; 39165:91; 39015:14,795,26,2,0,0,96.6,3.16,0.24,national
2025,OH,5493007SZD2OVPMXT217,,1169,821,39055:235; 39155:133; 39007:112; 39133:72; 39091:40,821,0,0,0,0,100.0,0.0,0.0,national
2025,OH,B4TYDEB6GKMZO031MB27,,2149,810,39049:141; Cuyahoga:133; 39061:103; 39153:44; 39041:41,801,7,2,0,0,98.89,0.86,0.25,national
2025,OH,549300MH5OXXJKWZZY83,,1213,798,39061:311; 39017:181; 39165:131; 39025:120; 39015:11,798,0,0,0,0,100.0,0.0,0.0,national
2025,OH,54930049L5WINET09Q97,,1089,780,39095:180; 39173:61; 39049:48; Cuyahoga:38; 39017:31,472,212,37,59,0,60.51,27.18,4.74,national
2025,OH,254900O2K17TNH5CL873,,901,776,Cuyahoga:161; 39049:134; 39153:103; 39113:77; 39151:47,776,0,0,0,0,100.0,0.0,0.0,national
2025,OH,549300KJKBXR3PD3QQ56,,1044,748,39049:165; 39061:86; 39025:75; 39017:49; 39045:45,434,254,47,13,0,58.02,33.96,6.28,national
2025,OH,549300B2JJHSM77T5Y41,,1099,746,Cuyahoga:225; 39153:88; 39085:64; 39093:38; 39133:31,374,334,32,6,0,50.13,44.77,4.29,national
2025,OH,54930063578UDYE3JR69,,1021,744,39151:129; 39081:106; 39061:52; 39157:51; 39153:47,292,348,38,66,0,39.25,46.77,5.11,national
2025,OH,5493000YNV8IX4VD3X12,,3440,738,39097:76; 39109:66; 39113:58; 39023:55; 39129:39,539,141,57,1,0,73.04,19.11,7.72,national
