year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,OR,41051,Multnomah,23754,14559,3385,14.25,10859,6848,6047,45.71,28.83,20593,2191,967,3,0,86.69,9.22,4.07,12782,1260,517,0,0,87.79,8.65,3.55,national
2025,OR,41067,Washington,19145,12075,2524,13.18,8622,5839,4684,45.04,30.5,16383,1779,968,15,0,85.57,9.29,5.06,10421,1074,572,8,0,86.3,8.89,4.74,national
2025,OR,41005,Clackamas,15967,9748,2425,15.19,6258,5070,4639,39.19,31.75,13792,1306,857,12,0,86.38,8.18,5.37,8482,791,468,7,0,87.01,8.11,4.8,national
2025,OR,41039,Lane,12825,7821,2017,15.73,5157,4012,3656,40.21,31.28,10318,1460,1030,17,0,80.45,11.38,8.03,6298,929,584,10,0,80.53,11.88,7.47,national
2025,OR,41047,Marion,11417,6795,1818,15.92,4630,3707,3080,40.55,32.47,8602,1818,975,22,0,75.34,15.92,8.54,5136,1121,527,11,0,75.58,16.5,7.76,national
2025,OR,41017,Deschutes,10227,6684,1395,13.64,4466,3025,2736,43.67,29.58,8683,911,626,7,0,84.9,8.91,6.12,5761,561,358,4,0,86.19,8.39,5.36,national
2025,OR,41029,Jackson,7895,4731,1154,14.62,3589,2375,1931,45.46,30.08,6014,1021,822,38,0,76.17,12.93,10.41,3637,605,462,27,0,76.88,12.79,9.77,national
2025,OR,41043,Linn,4832,2864,722,14.94,2075,1627,1130,42.94,33.67,3426,849,545,12,0,70.9,17.57,11.28,2006,531,318,9,0,70.04,18.54,11.1,national
2025,OR,41071,Yamhill,3971,2409,668,16.82,1547,1345,1079,38.96,33.87,3074,531,346,20,0,77.41,13.37,8.71,1876,314,204,15,0,77.87,13.03,8.47,national
2025,OR,41019,Douglas,3890,2137,741,19.05,1605,1396,889,41.26,35.89,2544,618,675,53,0,65.4,15.89,17.35,1408,338,358,33,0,65.89,15.82,16.75,national
2025,OR,41053,Polk,3307,2020,537,16.24,1301,1040,966,39.34,31.45,2499,480,318,10,0,75.57,14.51,9.62,1530,293,190,7,0,75.74,14.5,9.41,national
2025,OR,41033,Josephine,3002,1719,497,16.56,1247,980,775,41.54,32.64,2159,438,399,6,0,71.92,14.59,13.29,1259,242,214,4,0,73.24,14.08,12.45,national
2025,OR,41059,Umatilla,2698,1610,449,16.64,1182,988,528,43.81,36.62,1667,661,342,28,0,61.79,24.5,12.68,974,410,203,23,0,60.5,25.47,12.61,national
2025,OR,41035,Klamath,2809,1596,498,17.73,1158,1030,621,41.22,36.67,1867,427,467,48,0,66.46,15.2,16.63,1063,219,285,29,0,66.6,13.72,17.86,national
2025,OR,41003,Benton,2234,1432,255,11.41,939,626,669,42.03,28.02,1978,141,113,2,0,88.54,6.31,5.06,1289,86,56,1,0,90.01,6.01,3.91,national
2025,OR,41011,Coos,2533,1405,471,18.59,1019,881,633,40.23,34.78,1798,350,369,16,0,70.98,13.82,14.57,1003,197,190,15,0,71.39,14.02,13.52,national
2025,OR,41041,Lincoln,2414,1308,431,17.85,1004,780,630,41.59,32.31,1925,256,231,2,0,79.74,10.6,9.57,1067,133,108,0,0,81.57,10.17,8.26,national
2025,OR,41009,Columbia,2126,1301,328,15.43,824,779,523,38.76,36.64,1559,320,231,16,0,73.33,15.05,10.87,946,191,153,11,0,72.71,14.68,11.76,national
2025,OR,41007,Clatsop,1736,1004,305,17.57,678,603,455,39.06,34.74,1405,170,160,1,0,80.93,9.79,9.22,825,92,87,0,0,82.17,9.16,8.67,national
2025,OR,41013,Crook,1437,899,190,13.22,601,526,310,41.82,36.6,992,246,194,5,0,69.03,17.12,13.5,635,153,108,3,0,70.63,17.02,12.01,national
2025,OR,41057,,1365,825,201,14.73,560,444,361,41.03,32.53,1150,138,71,6,0,84.25,10.11,5.2,711,76,35,3,0,86.18,9.21,4.24,national
