year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,OR,2549008LK3474E9U2888,ONPOINT COMMUNITY CREDIT UNION,10710,7535,41051:2559; 41067:1578; 41005:1519; 41017:466; 41071:334,7423,89,23,0,0,98.51,1.18,0.31,national
2025,OR,549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",6600,4910,41051:898; 41067:673; 41005:634; 41039:482; 41047:316,3041,946,915,8,0,61.93,19.27,18.64,national
2025,OR,549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",6734,4851,41051:603; 41067:575; 41005:463; 41047:450; 41039:401,3907,567,377,0,0,80.54,11.69,7.77,national
2025,OR,549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY LLC,6084,4218,41051:724; 41067:475; 41005:397; 41047:359; 41029:339,3066,867,248,37,0,72.69,20.55,5.88,national
2025,OR,6BYL5QZYBDK8S7L73M02,U.S. Bank National Association,4874,2465,41067:401; 41051:394; 41005:303; 41017:207; 41047:184,2408,35,18,4,0,97.69,1.42,0.73,national
2025,OR,IFQSIUC9AGQV2NE8CN25,Columbia Bank,3155,1939,41039:194; 41017:187; 41051:166; 41047:154; 41005:139,1837,61,38,3,0,94.74,3.15,1.96,national
2025,OR,549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",2672,1919,41039:311; 41051:260; 41029:251; 41067:248; 41005:219,1298,398,189,34,0,67.64,20.74,9.85,national
2025,OR,549300HH0V8LECLNPQ26,ROGUE,2511,1751,41029:904; 41033:277; 41019:146; 41035:130; 41015:103,1718,0,33,0,0,98.12,0.0,1.88,national
2025,OR,549300IEP77RKJ87Z176,OREGON COMMUNITY,2232,1593,41039:969; 41047:169; 41051:64; 41043:55; 41005:55,1593,0,0,0,0,100.0,0.0,0.0,national
2025,OR,549300Q02LGIN9AXKP98,FIRST TECHNOLOGY FEDERAL CREDIT UNION,2236,1545,41067:660; 41051:244; 41005:177; 41047:151; 41017:56,1545,0,0,0,0,100.0,0.0,0.0,national
2025,OR,RVDPPPGHCGZ40J4VQ731,"PENNYMAC LOAN SERVICES, LLC",2642,1517,41067:225; 41051:211; 41005:169; 41047:144; 41017:124,1119,239,157,2,0,73.76,15.75,10.35,national
2025,OR,549300VZVN841I2ILS84,"CROSSCOUNTRY MORTGAGE, LLC",2360,1515,41051:267; 41029:167; 41067:156; 41017:144; 41005:136,1097,288,127,3,0,72.41,19.01,8.38,national
2025,OR,549300QKL5FUBZ8LSF50,"NATIONS DIRECT MORTGAGE, LLC",1728,1427,41051:368; 41067:235; 41005:233; 41047:157; 41017:77,1010,239,178,0,0,70.78,16.75,12.47,national
2025,OR,549300FNXYY540N23N64,Newrez LLC,2945,1321,41051:156; 41067:154; 41047:128; 41005:123; 41039:93,850,234,226,11,0,64.35,17.71,17.11,national
