year,state,county_fips,county_name,total_applications,total_originations,denial_count,denial_rate_pct,purchase_count,refinance_count,purpose_other_count,purchase_pct_of_apps,refinance_pct_of_apps,apps_conventional,apps_fha,apps_va,apps_usda_other,apps_other_loan_type,apps_conventional_pct,apps_fha_pct,apps_va_pct,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,PA,42003,Allegheny,43145,26765,7281,16.88,16328,13778,13039,37.84,31.93,37397,3919,1812,17,0,86.68,9.08,4.2,23754,2046,956,9,0,88.75,7.64,3.57,yes
2025,PA,42101,Philadelphia,47514,24937,10590,22.29,19141,16697,11676,40.28,35.14,39531,6495,1420,68,0,83.2,13.67,2.99,21070,3174,644,49,0,84.49,12.73,2.58,yes
2025,PA,42091,Montgomery,30873,19325,4880,15.81,11002,10498,9373,35.64,34.0,27718,2183,945,27,0,89.78,7.07,3.06,17672,1145,490,18,0,91.45,5.92,2.54,yes
2025,PA,42017,Bucks,23471,14376,3955,16.85,7695,8401,7375,32.79,35.79,20814,1830,802,25,0,88.68,7.8,3.42,12943,980,436,17,0,90.03,6.82,3.03,yes
2025,PA,42029,Chester,20842,13202,3031,14.54,7738,6833,6271,37.13,32.78,19152,1069,608,13,0,91.89,5.13,2.92,12293,560,342,7,0,93.11,4.24,2.59,yes
2025,PA,42133,York,19825,12502,3561,17.96,7730,6523,5572,38.99,32.9,15681,2588,1465,91,0,79.1,13.05,7.39,10111,1517,802,72,0,80.88,12.13,6.41,yes
2025,PA,42045,Delaware,20574,12101,3724,18.1,7227,7391,5956,35.13,35.92,17233,2547,770,24,0,83.76,12.38,3.74,10410,1293,378,20,0,86.03,10.69,3.12,yes
2025,PA,42071,Lancaster,18272,11699,3264,17.86,6765,5730,5777,37.02,31.36,16073,1502,674,23,0,87.97,8.22,3.69,10501,819,363,16,0,89.76,7.0,3.1,yes
2025,PA,42011,Berks,15444,9491,3053,19.77,5632,5149,4663,36.47,33.34,12668,2082,650,44,0,82.03,13.48,4.21,7933,1196,327,35,0,83.58,12.6,3.45,yes
2025,PA,42129,Westmoreland,12806,8236,2349,18.34,4708,4029,4069,36.76,31.46,10529,1460,705,112,0,82.22,11.4,5.51,6945,832,384,75,0,84.32,10.1,4.66,yes
2025,PA,42077,Lehigh,12878,7771,2354,18.28,5065,4298,3515,39.33,33.37,10693,1732,443,10,0,83.03,13.45,3.44,6589,955,220,7,0,84.79,12.29,2.83,yes
2025,PA,42095,Northampton,11438,6891,2033,17.77,4272,3902,3264,37.35,34.11,9449,1492,485,12,0,82.61,13.04,4.24,5801,827,254,9,0,84.18,12.0,3.69,yes
2025,PA,42079,Luzerne,10961,6634,1962,17.9,4411,3655,2895,40.24,33.35,8506,1916,513,26,0,77.6,17.48,4.68,5284,1074,259,17,0,79.65,16.19,3.9,yes
2025,PA,42043,Dauphin,10776,6555,2047,19.0,4154,3496,3126,38.55,32.44,8793,1223,723,37,0,81.6,11.35,6.71,5477,658,393,27,0,83.55,10.04,6.0,yes
2025,PA,42041,Cumberland,10054,6526,1657,16.48,3986,3093,2975,39.65,30.76,8542,804,681,27,0,84.96,8.0,6.77,5670,449,386,21,0,86.88,6.88,5.91,yes
