lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,fl_originations,states_with_originations,priority_match
549300HW662MN1WU8550,,,,unmatched,316245,227778,49897,CA:57281;FL:49897;TX:42285;GA:17047;NC:13671;NY:11157;PA:9333;TN:8992,high
549300FGXN1K3HLB1R50,,,,unmatched,308528,214500,31530,CA:42202;FL:31530;TX:30579;GA:21182;NC:18462;PA:16043;NY:13729;NJ:12035,high
549300VZVN841I2ILS84,,,,unmatched,103347,67285,11987,FL:11987;CA:9599;PA:8399;TX:7734;NJ:7558;NY:5429;NC:4431;MA:3923,high
5493001SXWZ4OFP8Z903,,,,unmatched,69554,47561,11582,TX:17748;FL:11582;NC:5258;SC:4153;GA:2777;CA:2776;TN:2122;PA:612,high
549300H3IZO24NSOO931,,,,unmatched,56426,40735,10692,TX:15642;FL:10692;CA:6607;NC:2756;SC:2694;GA:816;TN:641;NJ:546,high
RVDPPPGHCGZ40J4VQ731,,,,unmatched,101509,52420,9704,CA:10749;FL:9704;TX:6849;GA:5272;PA:4488;NC:3751;NJ:3144;TN:2566,high
5493003GQDUH26DNNH17,,,,unmatched,93193,39919,8416,FL:8416;CA:6361;NC:5249;GA:5118;TX:4267;SC:2487;PA:2141;TN:1902,high
B4TYDEB6GKMZO031MB27,,,,unmatched,145167,58449,7938,CA:17758;FL:7938;TX:6141;NJ:5136;NC:4880;NY:3897;MA:3551;GA:3440,high
549300AG64NHILB7ZP05,,,,unmatched,83369,49757,7460,CA:9983;TX:8535;FL:7460;NJ:4334;GA:4168;NC:3969;SC:2670;NY:2612,high
7H6GLXDRUGQFU57RNE97,,,,unmatched,85842,52360,6131,CA:14032;TX:9775;NY:9163;FL:6131;NJ:3325;NC:2307;GA:2140;PA:1667,high
JJKC32MCHWDI71265Z06,,,,unmatched,57755,27554,6117,NC:7920;FL:6117;GA:4837;SC:2178;PA:2152;TN:2014;TX:1260;NJ:417,high
EQTWLK1G7ODGC2MGLV11,,,,unmatched,37774,16469,5826,FL:5826;TN:5322;GA:2869;TX:1252;SC:604;NC:544;PA:15;NJ:11,high
549300FNXYY540N23N64,,,,unmatched,97703,32624,5643,CA:5772;FL:5643;TX:4793;NY:3123;NC:2787;GA:2480;PA:2124;NJ:1951,high
549300DD5QQUHO6PCH70,,,,unmatched,76971,34380,5506,TX:6918;FL:5506;NC:4769;GA:4139;TN:3178;PA:2643;CA:2515;SC:2333,high
549300LYRWPSYPK6S325,,,,unmatched,79057,32573,5374,TX:5759;FL:5374;NC:4463;GA:3946;CA:3918;TN:2436;SC:2168;PA:1673,high
2549005SIVTHG14U2905,,,,unmatched,18315,10774,5245,FL:5245;CA:1446;TX:1050;NY:948;GA:471;NJ:453;PA:339;SC:296,high
254900DTLHVWQ7NP7R34,,,,unmatched,33354,21859,4627,CA:8432;FL:4627;TX:3502;GA:1055;NC:1029;NJ:918;PA:691;SC:669,high
549300GKFNPRWNS0GF29,,,,unmatched,53476,35702,4388,TX:10655;CA:4698;FL:4388;TN:3925;PA:2626;MA:2329;NJ:2257;NY:1410,high
5493004WMLN60ZJ2ON46,,,,unmatched,18211,12405,4200,FL:4200;TX:3108;NC:1555;SC:1148;CA:943;GA:803;TN:213;NJ:165,high
549300DD4R4SYK5RAQ92,,,,unmatched,45528,32390,4122,NC:8138;FL:4122;PA:3902;SC:2978;GA:2388;TX:2367;TN:2207;CA:1690,high
549300E2UX99HKDBR481,,,,unmatched,69444,28219,3881,TX:5508;CA:5105;GA:4063;FL:3881;PA:2148;NC:1619;TN:1519;NJ:1346,high
5493008CPTDVOS570626,,,,unmatched,19834,9698,3765,FL:3765;CA:2301;GA:772;NJ:746;NC:672;PA:392;NY:288;TN:248,high
254900ZFWS2106HWPH46,,,,unmatched,21650,14606,3741,CA:3975;FL:3741;TX:3136;NJ:1490;GA:977;PA:431;SC:230;NC:219,high
QFROUN1UWUYU0DVIWD51,,,,unmatched,18376,8501,3553,FL:3553;NC:2216;TN:971;SC:863;GA:691;CA:51;TX:47;PA:39,high
549300LBCBNR1OT00651,,,,unmatched,38219,24320,3546,CA:4657;TX:3609;FL:3546;GA:2560;NC:1949;PA:1746;NJ:1625;TN:1452,high
AD6GFRVSDT01YPT1CS68,,,,unmatched,62298,31644,3475,PA:11263;NJ:5755;FL:3475;TX:2930;CA:2688;NC:2361;GA:1096;SC:624,high
549300U3721PJGQZYY68,,,,unmatched,63434,33460,3204,CA:6248;NJ:4826;MA:4507;TX:3318;FL:3204;PA:3119;NC:2491;TN:1868,high
549300MGPZBLQDIL7538,,,,unmatched,39451,27933,3153,TX:7468;GA:3631;FL:3153;NC:2993;CA:2867;MA:1954;TN:1593;SC:1326,high
549300XWUSRVVOHPRY47,,,,unmatched,19139,11125,2938,FL:2938;TX:2750;GA:2402;CA:1342;NY:748;TN:425;NC:200;PA:105,high
5493005JPZ3LXXMB0S24,,,,unmatched,6640,4843,2916,FL:2916;SC:805;NC:313;TX:270;GA:262;CA:130;PA:75;MA:32,high
254900UL88QFG0E40516,,,,unmatched,36248,16262,2872,CA:5234;FL:2872;GA:1717;NC:1212;NJ:1197;PA:1075;TN:887;TX:825,high
5493007CXTOHZ2JBEJ61,,,,unmatched,3798,2964,2851,FL:2851;GA:62;TN:18;TX:13;NC:9;SC:8;PA:3,high
549300AQ3T62GXDU7D76,,,,unmatched,40833,28518,2790,TX:6877;CA:4118;GA:3788;PA:3258;FL:2790;SC:2670;MA:2282;NC:1957,high
03D0JEWFDFUS0SEEKG89,,,,unmatched,38552,19327,2722,NJ:6695;NY:4324;FL:2722;MA:1975;PA:1803;SC:1143;NC:555;DC:110,high
549300PIL8LFAQ04XC20,,,,unmatched,60930,17434,2675,CA:6742;FL:2675;TX:1571;GA:1319;NJ:1279;NC:1116;PA:909;TN:821,high
KB1H1DSPRFMYMCUFXT09,,,,unmatched,49190,26714,2670,CA:9616;NY:2733;FL:2670;TX:2647;NC:2302;NJ:1716;PA:1628;GA:1509,high
