lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,pennsylvania_originations,florida_originations,total_originations,priority_match,notes
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,16043,31530,16043,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (16043 PA originations); slug=rocket-mortgage.
AD6GFRVSDT01YPT1CS68,"PNC Bank, National Association",446038,pnc-bank,"PNC Bank, National Association",high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,11263,3475,11263,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (11263 PA originations); slug=pnc-bank.
DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association",433960,citizens-bank,"Citizens Bank, National Association",high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,10441,2297,10441,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (10441 PA originations); slug=citizens-bank.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,9333,49897,9333,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (9333 PA originations); slug=united-wholesale-mortgage.
549300VZVN841I2ILS84,Freedom Mortgage Corporation,2767,freedom-mortgage,Freedom Mortgage Corporation,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,8399,11987,8399,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (8399 PA originations); slug=freedom-mortgage.
N8T7HW55LK5D2ORCKP39,First National Bank of Pennsylvania,766529,first-national-bank-of-pennsylvania,First National Bank of Pennsylvania,high,pa_curated+gleif+fnb_online_nmls,5819,0,5819,high,pa_curated map for PA activity (5819 PA originations); slug=first-national-bank-of-pennsylvania.
RVDPPPGHCGZ40J4VQ731,Fairway Independent Mortgage Corporation,2909,fairway-mortgage-augusta-sheppard,Fairway Independent Mortgage — Augusta (Sheppard Team),high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei+directory_name,4488,9704,4488,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (4488 PA originations); slug=fairway-mortgage-augusta-sheppard.
54930063XGNMIXS57091,POLICE & FIRE FEDERAL CREDIT UNION,800659,police-fire-federal-credit-union,Police & Fire Federal Credit Union,high,pa_curated+gleif+pffcu_mortgage_nmls,3973,0,3973,high,pa_curated map for PA activity (3973 PA originations); slug=police-fire-federal-credit-union.
549300DD4R4SYK5RAQ92,"Cardinal Financial Company, Limited Partnership",66247,cardinal-financial,"Cardinal Financial Company, Limited Partnership",high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,3902,4122,3902,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (3902 PA originations); slug=cardinal-financial.
549300AQ3T62GXDU7D76,Ally Bank,181005,ally-bank,Ally Bank,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,3258,2790,3258,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (3258 PA originations); slug=ally-bank.
VN1JLT1F3FLLVN3FZG89,First Commonwealth Bank,479240,first-commonwealth-bank,First Commonwealth Bank,high,pa_curated+gleif+fcbanking_nmls,3223,0,3223,high,pa_curated map for PA activity (3223 PA originations); slug=first-commonwealth-bank.
DZC62HF6UIZYJ08V1J90,"Fulton Bank, National Association",485401,fulton-bank,"Fulton Bank, National Association",high,pa_curated+gleif+public_nmls_zillow_company,3211,0,3211,high,pa_curated map for PA activity (3211 PA originations); slug=fulton-bank.
549300U3721PJGQZYY68,Nationstar Mortgage LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,3119,3204,3119,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (3119 PA originations); slug=mr-cooper.
WWB2V0FCW3A0EE3ZJN75,Manufacturers and Traders Trust Company,381076,mt-bank,Manufacturers and Traders Trust Company (M&T Bank),high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+reuse_fl_tx_ga_ca_nc_sc_nj_curated_lei+nj_curated+nj_curated_gleif+public_nmls,3099,0,3099,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (3099 PA originations); slug=mt-bank.
549300DD5QQUHO6PCH70,"Movement Mortgage, LLC",39179,movement-mortgage-charlotte,Movement Mortgage — Myrtle Beach,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei+directory_name,2643,5506,2643,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (2643 PA originations); slug=movement-mortgage-charlotte.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,2626,4388,2626,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (2626 PA originations); slug=amerihome-mortgage.
LVR1UQE8OOCO93IHEB52,Northwest Bank,419814,northwest-bank,Northwest Bank,high,pa_curated+gleif+public_nmls_company,2412,0,2412,high,pa_curated map for PA activity (2412 PA originations); slug=northwest-bank.
5493005PKOSG7MYX0B34,"Prosperity Home Mortgage, LLC",75164,prosperity-home-mortgage,"Prosperity Home Mortgage, LLC",high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+nj_curated+nj_curated_gleif+public_nmls,2325,0,2325,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (2325 PA originations); slug=prosperity-home-mortgage.
JJKC32MCHWDI71265Z06,Truist Bank,405457,truist-bank,Truist Bank,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,2152,6117,2152,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (2152 PA originations); slug=truist-bank.
549300E2UX99HKDBR481,"Broker Solutions, Inc.",6606,new-american-funding,"Broker Solutions, Inc.",high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,2148,3881,2148,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (2148 PA originations); slug=new-american-funding.
5493003GQDUH26DNNH17,Navy Federal Credit Union,399807,navy-federal-jacksonville,Navy Federal Credit Union (Jacksonville Area),high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei+directory_name,2141,8416,2141,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (2141 PA originations); slug=navy-federal-jacksonville.
549300FNXYY540N23N64,Newrez LLC,2289,newrez,Newrez LLC,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,2124,5643,2124,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (2124 PA originations); slug=newrez.
549300AG64NHILB7ZP05,"PennyMac Loan Services, LLC",35953,pennymac,"PennyMac Loan Services, LLC",high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,2123,7460,2123,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (2123 PA originations); slug=pennymac.
549300RPOGWJRH63HS39,UNION HOME MORTGAGE CORP.,1904,union-home-mortgage-myrtle-beach,Union Home Mortgage Corp.,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+reuse_fl_tx_ga_ca_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+company_nmls+ga_directory,1934,0,1934,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (1934 PA originations); slug=union-home-mortgage-myrtle-beach.
549300N5GF79IZ5Y7G10,AMERICAN HERITAGE FCU,433838,american-heritage-federal-credit-union,American Heritage Federal Credit Union,high,pa_curated+gleif+ahfcu_nmls,1847,0,1847,high,pa_curated map for PA activity (1847 PA originations); slug=american-heritage-federal-credit-union.
B4TYDEB6GKMZO031MB27,"Guaranteed Rate, Inc.",2611,guaranteed-rate,"Guaranteed Rate, Inc.",high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,1841,7938,1841,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (1841 PA originations); slug=guaranteed-rate.
2WHM8VNJH63UN14OL754,The Huntington National Bank,402436,huntington-national-bank,The Huntington National Bank,high,pa_curated+gleif+huntington_nmls,1812,0,1812,high,pa_curated map for PA activity (1812 PA originations); slug=huntington-national-bank.
03D0JEWFDFUS0SEEKG89,"TD Bank, National Association",481428,td-bank,"TD Bank, National Association",high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,1803,2722,1803,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (1803 PA originations); slug=td-bank.
549300LBCBNR1OT00651,NATIONSTAR MORTGAGE LLC,2104,mr-cooper,Nationstar Mortgage LLC,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,1746,3546,1746,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (1746 PA originations); slug=mr-cooper.
5493005DKMV1IHIM8E20,"Wilmington Savings Fund Society, FSB",417673,wsfs-bank,"Wilmington Savings Fund Society, FSB",high,pa_curated+gleif+wsfs_nmls,1700,0,1700,high,pa_curated map for PA activity (1700 PA originations); slug=wsfs-bank.
549300LYRWPSYPK6S325,Guild Mortgage Company LLC,3274,guild-mortgage-nj-suburbs,Guild Mortgage (West Valley Branches),high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei+directory_name,1673,5374,1673,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (1673 PA originations); slug=guild-mortgage-nj-suburbs.
7H6GLXDRUGQFU57RNE97,"JPMorgan Chase Bank, National Association",399798,jpmorgan-chase-bank,"JPMorgan Chase Bank, National Association",high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,1667,6131,1667,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (1667 PA originations); slug=jpmorgan-chase-bank.
KB1H1DSPRFMYMCUFXT09,"Wells Fargo Bank, National Association",399801,wells-fargo-bank,"Wells Fargo Bank, National Association",high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei+curated_lei_public_nmls,1628,2670,1628,high,reuse_fl_tx_ga_ca_nc_sc_nj_ny_curated_lei map for PA activity (1628 PA originations); slug=wells-fargo-bank.
