lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ri_originations,states_with_originations,priority_match,rhode_island_originations
DRMSV1Q0EKMEXLAU1P80,,,,unmatched,119620,68902,3762,NY:11000;PA:10441;MA:10235;NJ:7208;OH:4732;RI:3762;MI:3697;NH:3194;CT:3030;FL:2297,high,3762
549300YIBRM1ZYA6GT07,,,,unmatched,3216,2076,1833,RI:1833;MA:150;CT:57;FL:18;NH:9;ME:3;SC:2;NY:1;NC:1;NJ:1,medium,1833
549300UK3Z5PC7V71K69,,,,unmatched,2281,1572,1317,RI:1317;MA:238;CT:6;FL:4;SC:2;ME:2;NH:2;NC:1,medium,1317
549300HKYBSATM44Q425,,,,unmatched,2241,1290,1040,RI:1040;MA:158;CT:83;NH:5;ME:4,medium,1040
54930052M48FOD3CWA54,,,,unmatched,13770,9570,690,MD:1466;NM:1071;RI:690;FL:582;NC:479;TX:475;CO:384;CA:363;UT:355;TN:283,high,690
549300RYJCJ7JPQ4RF20,,,,unmatched,1112,710,656,RI:656;MA:44;CT:9;NC:1,medium,656
549300SYR11CYON0JE74,,,,unmatched,1455,1119,429,MA:597;RI:429;CT:51;NH:17;FL:13;SC:4;VA:2;NJ:2;NC:2;MD:1,high,429
549300Q4BYXP7YD9UI61,,,,unmatched,757,576,409,RI:409;CT:116;MA:51,medium,409
549300BUIG4G67S5O712,,,,unmatched,821,466,346,RI:346;CT:50;ME:32;NH:31;MA:7,low,346
549300F8C5JA44WNMI75,,,,unmatched,18919,12172,334,VA:2520;NJ:1899;FL:856;NY:768;CT:755;MA:739;OH:544;IN:489;PA:397;RI:334,high,334
549300JD1162QW84ZO34,,,,unmatched,818,581,315,RI:315;NY:53;MI:41;AZ:40;MA:24;PA:20;WA:14;CT:13;NJ:12;OH:9,medium,315
5493001B4TX233UP4J06,,,,unmatched,590,306,285,RI:285;MA:20;CT:1,low,285
5493008XQDQ2YZPQKX53,,,,unmatched,630,494,284,RI:284;CT:127;MA:63;NH:17;FL:3,medium,284
549300Q61S3IBOJITT02,,,,unmatched,1510,1079,261,MA:801;RI:261;CT:8;NH:4;FL:4;ME:1,high,261
549300KT5OWPGQKWUN86,,,,unmatched,523,415,212,RI:212;MA:99;CT:29;PA:22;TX:16;NJ:14;FL:10;NH:6;CA:1;NY:1,medium,212
549300LLQD0X2OTG0Y27,,,,unmatched,1196,581,205,RI:205;MA:77;NH:31;DE:20;LA:17;OH:16;NC:16;TX:15;SC:15;FL:14,medium,205
562V2SM4I80MJO5HYB83,,,,unmatched,312,186,165,RI:165;MA:17;CT:2;VT:1;FL:1,low,165
549300OTLWFQPOOSC346,,,,unmatched,936,717,164,MA:496;RI:164;CT:14;NH:6;NY:5;NJ:5;AZ:5;ID:4;FL:4;PA:3,high,164
