lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,rhode_island_originations,florida_originations,total_originations,priority_match,notes
DRMSV1Q0EKMEXLAU1P80,"Citizens Bank, National Association",433960,citizens-bank,"Citizens Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,3762,2297,3762,high,reuse_prior_state_curated_lei map for RI activity (3762 RI originations); slug=citizens-bank.
549300HKYBSATM44Q425,"The Washington Trust Company, of Westerly",901927,washington-trust-mortgage,The Washington Trust Company / Washington Trust Mortgage Company LLC,high,ne_curated+ne_curated_gleif+public_nmls,1040,0,1040,high,ne_curated map for RI activity (1040 RI originations); slug=washington-trust-mortgage.
549300FGXN1K3HLB1R50,"Rocket Mortgage, LLC",3030,rocket-mortgage,"Rocket Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1016,31530,1016,high,reuse_prior_state_curated_lei map for RI activity (1016 RI originations); slug=rocket-mortgage.
549300DD4R4SYK5RAQ92,"Cardinal Financial Company, Limited Partnership",66247,cardinal-financial,"Cardinal Financial Company, Limited Partnership",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,1001,4122,1001,high,reuse_prior_state_curated_lei map for RI activity (1001 RI originations); slug=cardinal-financial.
54930052M48FOD3CWA54,"PRIMARY RESIDENTIAL MORTGAGE, INC.",3094,primary-residential-mortgage,"Primary Residential Mortgage, Inc.",high,ne_curated+ne_curated_gleif+public_nmls,690,0,690,high,ne_curated map for RI activity (690 RI originations); slug=primary-residential-mortgage.
549300RYJCJ7JPQ4RF20,BankNewport,407964,banknewport,BankNewport,high,ne_curated+ne_curated_gleif+public_nmls,656,0,656,high,ne_curated map for RI activity (656 RI originations); slug=banknewport.
549300GKFNPRWNS0GF29,"AmeriHome Mortgage Company, LLC",1120271,amerihome-mortgage,"AmeriHome Mortgage Company, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,587,4388,587,high,reuse_prior_state_curated_lei map for RI activity (587 RI originations); slug=amerihome-mortgage.
549300AQ3T62GXDU7D76,Ally Bank,181005,ally-bank,Ally Bank,high,reuse_prior_state_curated_lei+curated_lei_public_nmls,556,2790,556,high,reuse_prior_state_curated_lei map for RI activity (556 RI originations); slug=ally-bank.
549300HW662MN1WU8550,"United Wholesale Mortgage, LLC",3038,united-wholesale-mortgage,"United Wholesale Mortgage, LLC",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,531,49897,531,high,reuse_prior_state_curated_lei map for RI activity (531 RI originations); slug=united-wholesale-mortgage.
549300MCIFZSDHUT8X63,"NFM, INC.",2893,nfm-lending,"NFM, Inc. (dba NFM Lending)",high,reuse_prior_state_curated_lei+nj_curated+nj_curated_gleif+public_nmls,459,0,459,high,reuse_prior_state_curated_lei map for RI activity (459 RI originations); slug=nfm-lending.
